miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	135741	28066.635748	N
hsa-let-7a-2	271292	56093.985939	Y
hsa-let-7a-3	136496	28222.744146	N
hsa-let-7b	251990	52102.986881	N
hsa-let-7c	51474	10643.077688	Y
hsa-let-7d	1513	312.837093	N
hsa-let-7e	8932	1846.834711	N
hsa-let-7f-1	49709	10278.135541	N
hsa-let-7f-2	50052	10349.056309	N
hsa-let-7g	2336	483.005585	N
hsa-let-7i	2152	444.960624	N
hsa-mir-100	26914	5564.902531	Y
hsa-mir-101-1	30856	6379.974456	N
hsa-mir-101-2	31003	6410.369071	N
hsa-mir-103a-1	69680	14407.461113	Y
hsa-mir-103a-2	69468	14363.626702	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	28	5.789451	Y
hsa-mir-106b	1993	412.084816	N
hsa-mir-107	472	97.593594	Y
hsa-mir-10a	52344	10822.964186	N
hsa-mir-10b	150052	31025.665254	N
hsa-mir-1-1	5	1.033830	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	80	16.541287	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	2	0.413532	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	8	1.654129	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	1	0.206766	N
hsa-mir-1226	1	0.206766	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	5	1.033830	N
hsa-mir-1229	1	0.206766	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.206766	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	1	0.206766	N
hsa-mir-1243	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	8	1.654129	N
hsa-mir-1245b	1	0.206766	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	338	69.886938	N
hsa-mir-1248	1	0.206766	N
hsa-mir-1249	8	1.654129	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	0	0.000000	N
hsa-mir-1254-2	0	0.000000	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	7	1.447363	N
hsa-mir-125a	2342	484.246181	N
hsa-mir-125b-1	1065	220.205885	N
hsa-mir-125b-2	1224	253.081693	N
hsa-mir-126	1824	377.141347	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	4	0.827064	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	77	15.920989	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	0	0.000000	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	7634	1578.452327	N
hsa-mir-1270	3	0.620298	N
hsa-mir-1271	3	0.620298	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	2	0.413532	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-128-1	333	68.853108	N
hsa-mir-1282	0	0.000000	N
hsa-mir-128-2	236	48.796797	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	0	0.000000	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	1	0.206766	N
hsa-mir-1287	62	12.819498	N
hsa-mir-1288	1	0.206766	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	1	0.206766	N
hsa-mir-129-1	2	0.413532	N
hsa-mir-1292	0	0.000000	N
hsa-mir-129-2	2	0.413532	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	1	0.206766	N
hsa-mir-1295a	1	0.206766	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	5	1.033830	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	24	4.962386	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	4	0.827064	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	9	1.860895	N
hsa-mir-1307	1648	340.750515	N
hsa-mir-130a	102	21.090141	N
hsa-mir-130b	34	7.030047	N
hsa-mir-132	273	56.447142	N
