miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	133167	17751.448528	N
hsa-let-7a-2	266707	35552.618761	Y
hsa-let-7a-3	133689	17821.032255	N
hsa-let-7b	288879	38508.194217	N
hsa-let-7c	184338	24572.653275	Y
hsa-let-7d	3355	447.228741	N
hsa-let-7e	14967	1995.133405	N
hsa-let-7f-1	29048	3872.161097	N
hsa-let-7f-2	29427	3922.682615	N
hsa-let-7g	4329	577.065044	N
hsa-let-7i	5733	764.221274	N
hsa-mir-100	241442	32184.739729	Y
hsa-mir-101-1	47193	6290.928761	N
hsa-mir-101-2	48260	6433.162164	N
hsa-mir-103a-1	159267	21230.634862	Y
hsa-mir-103a-2	160180	21352.339733	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	116	15.463050	Y
hsa-mir-106b	3389	451.761015	N
hsa-mir-107	1335	177.958381	Y
hsa-mir-10a	252972	33721.713615	N
hsa-mir-10b	1051777	140204.144257	N
hsa-mir-1-1	26	3.465856	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	173	23.061273	N
hsa-mir-1181	4	0.533209	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	10	1.333022	N
hsa-mir-1185-2	1	0.133302	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	5	0.666511	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	21	2.799345	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	8	1.066417	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	5	0.666511	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	6	0.799813	N
hsa-mir-1229	0	0.000000	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-1243	1	0.133302	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	19	2.532741	N
hsa-mir-1245b	1	0.133302	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	853	113.706741	N
hsa-mir-1248	3	0.399906	N
hsa-mir-1249	17	2.266137	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	2	0.266604	N
hsa-mir-1254-2	3	0.399906	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	22	2.932647	N
hsa-mir-125a	9102	1213.316246	N
hsa-mir-125b-1	11992	1598.559484	N
hsa-mir-125b-2	13158	1753.989800	N
hsa-mir-126	31122	4148.629774	N
hsa-mir-1260a	1	0.133302	N
hsa-mir-1260b	1	0.133302	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	8	1.066417	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	40	5.332086	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	0	0.000000	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	20413	2721.096959	N
hsa-mir-1270	24	3.199252	N
hsa-mir-1271	13	1.732928	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	0	0.000000	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-128-1	518	69.050518	N
hsa-mir-1282	0	0.000000	N
hsa-mir-128-2	408	54.387281	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	1	0.133302	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	272	36.258187	N
hsa-mir-1288	5	0.666511	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	1	0.133302	N
hsa-mir-129-1	11	1.466324	N
hsa-mir-1292	1	0.133302	N
hsa-mir-129-2	13	1.732928	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	2	0.266604	N
hsa-mir-1295a	22	2.932647	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	64	8.531338	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	37	4.932180	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	37	4.932180	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	48	6.398504	N
hsa-mir-1307	3740	498.550072	N
hsa-mir-130a	993	132.369043	N
hsa-mir-130b	69	9.197849	N
hsa-mir-132	1462	194.887756	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	50	6.665108	Y
hsa-mir-133a-2	62	8.264734	Y
hsa-mir-133b	4	0.533209	Y
hsa-mir-134	3644	485.753065	N
hsa-mir-1343	8	1.066417	N
hsa-mir-135a-1	1	0.133302	N
hsa-mir-135a-2	2	0.266604	N
hsa-mir-135b	29	3.865763	N
hsa-mir-136	494	65.851266	N
hsa-mir-137	0	0.000000	N
hsa-mir-138-1	4	0.533209	N
hsa-mir-138-2	0	0.000000	N
