miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	218400	8963.157238	N
hsa-let-7a-2	437116	17939.283146	Y
hsa-let-7a-3	219445	9006.044139	N
hsa-let-7b	273663	11231.156132	N
hsa-let-7c	151855	6232.143967	Y
hsa-let-7d	5335	218.948919	N
hsa-let-7e	26583	1090.968905	N
hsa-let-7f-1	107147	4397.323299	N
hsa-let-7f-2	107602	4415.996543	N
hsa-let-7g	12207	500.976467	N
hsa-let-7i	14679	602.427587	N
hsa-mir-100	225552	9256.676013	Y
hsa-mir-101-1	157099	6447.358237	N
hsa-mir-101-2	158021	6485.197206	N
hsa-mir-103a-1	1203264	49382.071568	Y
hsa-mir-103a-2	1201337	49302.987300	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	1	0.041040	N
hsa-mir-106a	128	5.253132	Y
hsa-mir-106b	26608	1091.994907	N
hsa-mir-107	7865	322.780365	Y
hsa-mir-10a	333400	13682.768420	N
hsa-mir-10b	1136670	46649.047332	N
hsa-mir-1-1	35	1.436403	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	6	0.246241	N
hsa-mir-1180	258	10.588345	N
hsa-mir-1181	6	0.246241	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	5	0.205200	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	2	0.082080	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	42	1.723684	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	1	0.041040	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	22	0.902882	N
hsa-mir-1225	1	0.041040	N
hsa-mir-1226	35	1.436403	N
hsa-mir-1227	1	0.041040	N
hsa-mir-1228	12	0.492481	N
hsa-mir-1229	23	0.943922	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	3	0.123120	N
