miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	99033	7638.414593	N
hsa-let-7a-2	196428	15150.490258	Y
hsa-let-7a-3	98707	7613.270215	N
hsa-let-7b	186085	14352.734740	N
hsa-let-7c	75220	5801.718071	Y
hsa-let-7d	2539	195.833052	N
hsa-let-7e	5972	460.620318	N
hsa-let-7f-1	30112	2322.538348	N
hsa-let-7f-2	30147	2325.237898	N
hsa-let-7g	4683	361.199757	N
hsa-let-7i	3866	298.184553	N
hsa-mir-100	121069	9338.051118	Y
hsa-mir-101-1	177747	13709.624859	N
hsa-mir-101-2	178404	13760.299264	N
hsa-mir-103a-1	260198	20069.069909	Y
hsa-mir-103a-2	259980	20052.255570	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	1	0.077130	N
hsa-mir-106a	142	10.952459	Y
hsa-mir-106b	5571	429.691191	N
hsa-mir-107	1815	139.990937	Y
hsa-mir-10a	989803	76343.498424	N
hsa-mir-10b	548964	42341.589456	N
hsa-mir-1-1	5	0.385650	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	202	15.580259	N
hsa-mir-1181	2	0.154260	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	5	0.385650	N
hsa-mir-1185-2	4	0.308520	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	2	0.154260	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	7	0.539910	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	0	0.000000	N
