miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	107901	9338.091244	N
hsa-let-7a-2	215938	18687.952356	Y
hsa-let-7a-3	109080	9440.125605	N
hsa-let-7b	309620	26795.486706	N
hsa-let-7c	62223	5384.973740	Y
hsa-let-7d	10302	891.567418	N
hsa-let-7e	4325	374.299076	N
hsa-let-7f-1	30317	2623.728346	N
hsa-let-7f-2	30277	2620.266620	N
hsa-let-7g	7924	685.767834	N
hsa-let-7i	12532	1084.558618	N
hsa-mir-100	112570	9742.161160	Y
hsa-mir-101-1	125088	10825.508175	N
hsa-mir-101-2	125951	10900.194904	N
hsa-mir-103a-1	281753	24383.789051	Y
hsa-mir-103a-2	283365	24523.296591	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	3	0.259629	N
hsa-mir-106a	2306	199.568479	Y
hsa-mir-106b	17315	1498.494452	N
hsa-mir-107	5897	510.344891	Y
hsa-mir-10a	247079	21382.992248	N
hsa-mir-10b	1708199	147832.903546	N
hsa-mir-1-1	526	45.521691	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	12	1.038518	N
hsa-mir-1180	558	48.291072	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	4	0.346173	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	2	0.173086	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	585	50.627736	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	55	4.759873	N
hsa-mir-1225	1	0.086543	N
hsa-mir-1226	23	1.990492	N
hsa-mir-1227	4	0.346173	N
hsa-mir-1228	9	0.778888	N
hsa-mir-1229	15	1.298147	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	2	0.173086	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	1	0.086543	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	22	1.903949	N
hsa-mir-1245b	0	0.000000	N
