miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	61870	11869.268838	N
hsa-let-7a-2	61780	11852.003052	N
hsa-let-7a-3	61775	11851.043841	N
hsa-let-7b	54162	10390.550167	N
hsa-let-7c	2629	504.352801	N
hsa-let-7d	2324	445.840969	N
hsa-let-7e	15002	2878.014726	N
hsa-let-7f-1	64047	12286.909023	N
hsa-let-7f-2	66057	12672.511583	N
hsa-let-7g	3422	656.483562	N
hsa-let-7i	1098	210.642592	N
hsa-mir-100	4414	846.790895	N
hsa-mir-101-1	10463	2007.243573	N
hsa-mir-101-2	10422	1999.378048	N
hsa-mir-103a-1	151100	28987.336697	Y
hsa-mir-103a-2	151887	29138.316406	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1	0.191842	N
hsa-mir-105-2	1	0.191842	N
hsa-mir-106a	76	14.579997	Y
hsa-mir-106b	2071	397.304926	N
hsa-mir-107	871	167.094443	Y
hsa-mir-10a	129069	24760.864064	N
hsa-mir-10b	1017528	195204.677263	N
hsa-mir-1-1	36	6.906315	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	186	35.682625	N
hsa-mir-1181	2	0.383684	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	38	7.289999	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	1	0.191842	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	7	1.342894	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	7	1.342894	N
hsa-mir-1229	1	0.191842	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	1	0.191842	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	6	1.151052	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	4	0.767368	N
hsa-mir-1248	0	0.000000	N
hsa-mir-1249	4	0.767368	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	1	0.191842	N
hsa-mir-1254-2	3	0.575526	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	5378	1031.726650	N
hsa-mir-125b-1	341	65.418146	N
hsa-mir-125b-2	345	66.185514	N
hsa-mir-126	4243	813.985901	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	0	0.000000	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	29	5.563420	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	0	0.000000	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	1257	241.145481	N
hsa-mir-1270	16	3.069473	N
hsa-mir-1271	0	0.000000	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	2	0.383684	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-128-1	657	126.040240	N
hsa-mir-1282	0	0.000000	N
hsa-mir-128-2	474	90.933141	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	0	0.000000	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	200	38.368414	N
hsa-mir-1288	2	0.383684	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	1	0.191842	N
hsa-mir-129-1	0	0.000000	N
hsa-mir-1292	3	0.575526	N
hsa-mir-129-2	0	0.000000	N
hsa-mir-1293	1	0.191842	N
hsa-mir-1294	3	0.575526	N
hsa-mir-1295a	2	0.383684	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	19	3.644999	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	138	26.474206	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	0	0.000000	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	18	3.453157	N
hsa-mir-1307	9278	1779.910721	N
hsa-mir-130a	40	7.673683	N
hsa-mir-130b	48	9.208419	N
hsa-mir-132	198	37.984730	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
