miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	60703	18929.243987	N
hsa-let-7a-2	60366	18824.156014	N
hsa-let-7a-3	60930	19000.030248	N
hsa-let-7b	95055	29641.356888	N
hsa-let-7c	5419	1689.827079	N
hsa-let-7d	3950	1231.743303	N
hsa-let-7e	2585	806.090238	N
hsa-let-7f-1	32121	10016.411810	N
hsa-let-7f-2	32595	10164.221007	N
hsa-let-7g	2378	741.540652	N
hsa-let-7i	1640	511.407346	N
hsa-mir-100	8510	2653.705193	Y
hsa-mir-101-1	33068	10311.718369	N
hsa-mir-101-2	33033	10300.804188	N
hsa-mir-103a-1	65528	20433.841820	Y
hsa-mir-103a-2	66085	20607.533217	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	571	178.057070	Y
hsa-mir-106b	7772	2423.571887	N
hsa-mir-107	795	247.907829	Y
hsa-mir-10a	8811	2747.567151	N
hsa-mir-10b	36193	11286.198831	N
hsa-mir-1-1	3	0.935501	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	253	78.893938	N
hsa-mir-1181	1	0.311834	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	3	0.935501	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	1	0.311834	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	7	2.182836	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	1	0.311834	N
hsa-mir-1227	1	0.311834	N
hsa-mir-1228	1	0.311834	N
hsa-mir-1229	0	0.000000	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	4	1.247335	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-1243	1	0.311834	N
hsa-mir-124-3	3	0.935501	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
