miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	12548	6030.086035	N
hsa-let-7a-2	12344	5932.051484	N
hsa-let-7a-3	12855	6177.618424	N
hsa-let-7b	59088	28395.419480	N
hsa-let-7c	1532	736.220259	N
hsa-let-7d	1434	689.125229	N
hsa-let-7e	1402	673.747260	N
hsa-let-7f-1	2513	1207.651116	N
hsa-let-7f-2	2428	1166.803386	N
hsa-let-7g	1389	667.499960	N
hsa-let-7i	936	449.805589	N
hsa-mir-100	2830	1359.989120	N
hsa-mir-101-1	5088	2445.097047	N
hsa-mir-101-2	4947	2377.337872	N
hsa-mir-103a-1	27687	13305.306985	Y
hsa-mir-103a-2	27766	13343.271346	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	10	4.805615	N
hsa-mir-105-2	6	2.883369	N
hsa-mir-106a	402	193.185734	Y
hsa-mir-106b	2516	1209.092801	N
hsa-mir-107	223	107.165220	Y
hsa-mir-10a	39030	18756.316381	N
hsa-mir-10b	108300	52044.813323	N
hsa-mir-1-1	2	0.961123	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	18	8.650107	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.480562	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	8	3.844492	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	1	0.480562	N
hsa-mir-1224	6	2.883369	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	3	1.441685	N
hsa-mir-1227	0	0.000000	N
