miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	38589	9074.482290	N
hsa-let-7a-2	77031	18114.396467	Y
hsa-let-7a-3	38930	9154.670905	N
hsa-let-7b	77456	18214.338289	N
hsa-let-7c	436641	102679.287398	Y
hsa-let-7d	4089	961.557907	N
hsa-let-7e	5081	1194.833878	N
hsa-let-7f-1	12181	2864.450200	N
hsa-let-7f-2	12302	2892.904225	N
hsa-let-7g	3567	838.805834	N
hsa-let-7i	2925	687.834893	N
hsa-mir-100	10203	2399.309202	Y
hsa-mir-101-1	27731	6521.145103	N
hsa-mir-101-2	27758	6527.494348	N
hsa-mir-103a-1	140479	33034.652299	Y
hsa-mir-103a-2	141698	33321.308960	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1	0.235157	N
hsa-mir-105-2	1	0.235157	N
hsa-mir-106a	196	46.090817	Y
hsa-mir-106b	6841	1608.710600	N
hsa-mir-107	1009	237.273644	Y
hsa-mir-10a	16991	3995.556469	N
hsa-mir-10b	28850	6784.286041	N
hsa-mir-1-1	2	0.470314	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	311	73.133898	N
hsa-mir-1181	3	0.705472	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	3	0.705472	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	1	0.235157	N
hsa-mir-1225	2	0.470314	N
hsa-mir-1226	47	11.052390	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	4	0.940629	N
hsa-mir-1229	6	1.410943	N
hsa-mir-1231	1	0.235157	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-1243	1	0.235157	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	1	0.235157	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	2	0.470314	N
hsa-mir-1247	3	0.705472	N
hsa-mir-1248	9	2.116415	N
hsa-mir-1249	2	0.470314	N
hsa-mir-1250	1	0.235157	N
hsa-mir-1251	10	2.351572	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	2	0.470314	N
hsa-mir-1254-2	0	0.000000	N
hsa-mir-1255a	3	0.705472	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	3341	785.660300	N
hsa-mir-125b-1	13099	3080.324536	N
hsa-mir-125b-2	15216	3578.152388	N
hsa-mir-126	4159	978.018913	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	2	0.470314	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	1	0.235157	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	16	3.762516	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	2	0.470314	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	1125	264.551882	N
hsa-mir-1270	7	1.646101	N
hsa-mir-1271	26	6.114088	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	1	0.235157	N
hsa-mir-1276	4	0.940629	N
hsa-mir-1277	8	1.881258	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-128-1	914	214.933707	N
hsa-mir-1282	0	0.000000	N
hsa-mir-128-2	631	148.384211	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	5	1.175786	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	1	0.235157	N
hsa-mir-1287	318	74.779999	N
hsa-mir-1288	10	2.351572	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	2	0.470314	N
hsa-mir-129-1	12	2.821887	N
hsa-mir-1292	9	2.116415	N
hsa-mir-129-2	11	2.586730	N
hsa-mir-1293	2	0.470314	N
hsa-mir-1294	0	0.000000	N
hsa-mir-1295a	1	0.235157	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	69	16.225849	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	22	5.173459	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	10	2.351572	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	107	25.161823	N
hsa-mir-1307	40290	9474.484735	N
hsa-mir-130a	141	33.157169	N
hsa-mir-130b	225	52.910376	N
hsa-mir-132	475	111.699684	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	1	0.235157	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	0	0.000000	N
hsa-mir-133a-2	2	0.470314	N
hsa-mir-133b	0	0.000000	N
hsa-mir-134	270	63.492452	N
hsa-mir-1343	15	3.527358	N
hsa-mir-135a-1	1	0.235157	N
hsa-mir-135a-2	0	0.000000	N
hsa-mir-135b	74	17.401635	N
hsa-mir-136	95	22.339937	N
hsa-mir-137	8	1.881258	N
hsa-mir-138-1	203	47.736917	N
hsa-mir-138-2	123	28.924339	N
hsa-mir-139	111	26.102452	N
hsa-mir-140	1454	341.918610	N
hsa-mir-141	9766	2296.545493	N
hsa-mir-142	3403	800.240048	N
hsa-mir-143	139772	32868.396138	N
hsa-mir-144	131	30.805597	N
hsa-mir-145	1863	438.097917	N
hsa-mir-1468	24	5.643773	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	112	26.337610	N
hsa-mir-146b	1378	324.046661	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	2	0.470314	N
hsa-mir-148a	169630	39889.720666	N
hsa-mir-148b	1560	366.845276	N
hsa-mir-149	209	49.147861	N
hsa-mir-150	557	130.982576	N
hsa-mir-151a	24740	5817.789832	N
hsa-mir-151b	10	2.351572	N
hsa-mir-152	882	207.408676	N
hsa-mir-153-1	2	0.470314	N
hsa-mir-153-2	26	6.114088	N
hsa-mir-1537	2	0.470314	N
hsa-mir-1538	1	0.235157	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	9	2.116415	N
hsa-mir-155	7974	1875.143740	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	466	109.583268	N
hsa-mir-15b	914	214.933707	N
hsa-mir-16-1	582	136.861507	N
hsa-mir-16-2	582	136.861507	N
hsa-mir-17	19936	4688.094507	Y
hsa-mir-181a-1	21387	5029.307645	N
hsa-mir-181a-2	22843	5371.696570	N
hsa-mir-181b-1	4519	1062.675515	N
hsa-mir-181b-2	4245	998.242435	N
hsa-mir-181c	285	67.019810	N
hsa-mir-181d	46	10.817233	N
hsa-mir-182	37909	8914.575374	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	25183	5921.964485	N
hsa-mir-184	11	2.586730	N
hsa-mir-185	814	191.417984	N
hsa-mir-186	2745	645.506592	N
hsa-mir-187	10	2.351572	N
hsa-mir-188	75	17.636792	N
hsa-mir-18a	445	104.644967	Y
hsa-mir-18b	16	3.762516	Y
hsa-mir-1908	0	0.000000	N
hsa-mir-1909	1	0.235157	N
hsa-mir-190a	14	3.292201	N
hsa-mir-190b	10	2.351572	N
hsa-mir-191	2583	607.411121	N
hsa-mir-1910	5	1.175786	N
hsa-mir-1911	0	0.000000	N
hsa-mir-1912	0	0.000000	N
hsa-mir-1913	0	0.000000	N
hsa-mir-1914	0	0.000000	N
hsa-mir-1915	13	3.057044	N
hsa-mir-192	8419	1979.788707	Y
hsa-mir-193a	3912	919.935078	N
hsa-mir-193b	1007	236.803329	N
hsa-mir-194-1	628	147.678739	N
hsa-mir-194-2	739	173.781192	N
hsa-mir-195	101	23.750880	N
hsa-mir-196a-1	743	174.721821	N
hsa-mir-196a-2	792	186.244525	N
hsa-mir-196b	411	96.649621	N
hsa-mir-197	1067	250.912763	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	85	19.988364	N
hsa-mir-198	0	0.000000	N
hsa-mir-199a-1	5026	1181.900230	Y
hsa-mir-199a-2	8603	2023.057637	Y
hsa-mir-199b	12024	2827.530515	Y
hsa-mir-19a	384	90.300376	N
hsa-mir-19b-1	725	170.488991	N
hsa-mir-19b-2	694	163.199117	N
hsa-mir-200a	7739	1819.881791	N
hsa-mir-200b	7159	1683.490599	N
hsa-mir-200c	55440	13037.116747	N
hsa-mir-202	2	0.470314	N
hsa-mir-203a	20829	4898.089912	N
hsa-mir-203b	108	25.396981	N
hsa-mir-204	10	2.351572	N
hsa-mir-205	24554	5774.050588	N
hsa-mir-2052	0	0.000000	N
hsa-mir-2053	0	0.000000	N
hsa-mir-2054	0	0.000000	N
hsa-mir-206	0	0.000000	N
hsa-mir-208a	0	0.000000	N
hsa-mir-208b	0	0.000000	N
hsa-mir-20a	3864	908.647531	N
hsa-mir-20b	12	2.821887	N
hsa-mir-21	963114	226483.218945	N
hsa-mir-210	3728	876.666148	N
hsa-mir-211	0	0.000000	N
hsa-mir-2110	5	1.175786	N
hsa-mir-2113	0	0.000000	N
hsa-mir-2114	5	1.175786	N
hsa-mir-2115	0	0.000000	N
hsa-mir-2116	1	0.235157	N
hsa-mir-2117	0	0.000000	N
hsa-mir-212	19	4.467987	N
hsa-mir-214	57	13.403962	N
hsa-mir-215	71	16.696163	Y
hsa-mir-216a	3	0.705472	N
hsa-mir-216b	0	0.000000	N
hsa-mir-217	42	9.876604	N
hsa-mir-218-1	50	11.757861	N
hsa-mir-218-2	52	12.228176	N
hsa-mir-219a-1	24	5.643773	N
hsa-mir-219a-2	3	0.705472	N
hsa-mir-219b	8	1.881258	N
hsa-mir-22	373598	87854.270244	N
hsa-mir-221	3524	828.694073	N
hsa-mir-222	1176	276.544901	N
hsa-mir-223	93	21.869622	N
hsa-mir-224	51	11.993019	N
hsa-mir-2276	0	0.000000	N
hsa-mir-2277	6	1.410943	N
hsa-mir-2278	0	0.000000	N
hsa-mir-2355	196	46.090817	N
hsa-mir-2392	0	0.000000	N
