miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	146599	17763.385487	N
hsa-let-7a-2	146019	17693.106948	N
hsa-let-7a-3	145962	17686.200264	N
hsa-let-7b	183295	22209.835966	N
hsa-let-7c	28318	3431.289096	N
hsa-let-7d	6152	745.437196	N
hsa-let-7e	16636	2015.782379	N
hsa-let-7f-1	51560	6247.519804	N
hsa-let-7f-2	52202	6325.310877	N
hsa-let-7g	7576	917.983127	N
hsa-let-7i	4285	519.213002	N
hsa-mir-100	13821	1674.689123	N
hsa-mir-101-1	38311	4642.139860	N
hsa-mir-101-2	38362	4648.319525	N
hsa-mir-103a-1	166172	20135.043848	Y
hsa-mir-103a-2	166577	20184.117656	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	364	44.105842	Y
hsa-mir-106b	5496	665.949745	N
hsa-mir-107	1196	144.919195	Y
hsa-mir-10a	41548	5034.366812	N
hsa-mir-10b	143293	17362.797813	N
hsa-mir-1-1	27	3.271587	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	196	23.749299	N
hsa-mir-1181	2	0.242340	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	2	0.242340	N
hsa-mir-1185-2	1	0.121170	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	38	4.604456	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	2	0.242340	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	6	0.727019	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	14	1.696379	N
hsa-mir-1229	2	0.242340	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.121170	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	2	0.242340	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	5	0.605849	N
hsa-mir-1243	1	0.121170	N
hsa-mir-124-3	1	0.121170	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	10	1.211699	N
hsa-mir-1245b	1	0.121170	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	1640	198.718628	N
hsa-mir-1248	9	1.090529	N
