miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	220318	19068.412359	N
hsa-let-7a-2	220524	19086.241555	N
hsa-let-7a-3	220967	19124.582983	N
hsa-let-7b	411237	35592.356018	N
hsa-let-7c	40552	3509.755254	N
hsa-let-7d	2229	192.918832	N
hsa-let-7e	18436	1595.626550	N
hsa-let-7f-1	67048	5802.970760	N
hsa-let-7f-2	68065	5890.991599	N
hsa-let-7g	4243	367.229521	N
hsa-let-7i	3000	259.648495	N
hsa-mir-100	36504	3159.402885	N
hsa-mir-101-1	117109	10135.725192	N
hsa-mir-101-2	118654	10269.444167	N
hsa-mir-103a-1	157782	13655.952935	Y
hsa-mir-103a-2	157540	13635.007956	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	202	17.482999	Y
hsa-mir-106b	2360	204.256816	N
hsa-mir-107	1113	96.329592	Y
hsa-mir-10a	168431	14577.618542	N
hsa-mir-10b	891746	77180.168879	N
hsa-mir-1-1	14	1.211693	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	95	8.222202	N
hsa-mir-1181	1	0.086549	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	6	0.519297	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	10	0.865495	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	2	0.173099	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	4	0.346198	N
