miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	20720	7937.164624	N
hsa-let-7a-2	40949	15686.242963	Y
hsa-let-7a-3	20907	8008.798301	N
hsa-let-7b	33772	12936.965429	N
hsa-let-7c	6816	2610.990062	Y
hsa-let-7d	2176	833.555513	N
hsa-let-7e	2628	1006.702154	N
hsa-let-7f-1	6596	2526.715148	N
hsa-let-7f-2	6601	2528.630487	N
hsa-let-7g	2828	1083.315712	N
hsa-let-7i	1747	669.219430	N
hsa-mir-100	4263	1633.017992	N
hsa-mir-101-1	6544	2506.795623	N
hsa-mir-101-2	6564	2514.456978	N
hsa-mir-103a-1	33101	12679.926941	Y
hsa-mir-103a-2	33014	12646.600044	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	1	0.383068	N
hsa-mir-105-2	3	1.149203	N
hsa-mir-106a	192	73.549016	Y
hsa-mir-106b	1164	445.890908	N
hsa-mir-107	248	95.000812	Y
hsa-mir-10a	38974	14929.684076	N
hsa-mir-10b	353670	135479.585551	N
hsa-mir-1-1	8	3.064542	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	2	0.766136	N
hsa-mir-1180	28	10.725898	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	2	0.766136	N
hsa-mir-1185-2	3	1.149203	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	11	4.213746	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	4	1.532271	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	10	3.830678	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	9	3.447610	N
hsa-mir-1229	4	1.532271	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	2	0.766136	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	596	228.308403	N
hsa-mir-1248	5	1.915339	N
hsa-mir-1249	12	4.596813	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	3	1.149203	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	2	0.766136	N
hsa-mir-1254-2	2	0.766136	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	2	0.766136	N
hsa-mir-125a	2305	882.971258	N
hsa-mir-125b-1	1006	385.366197	N
hsa-mir-125b-2	1002	383.833926	N
hsa-mir-126	11970	4585.321455	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	1	0.383068	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	47	18.004186	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	1	0.383068	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	3617	1385.556199	N
hsa-mir-1270	11	4.213746	N
hsa-mir-1271	6	2.298407	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	1	0.383068	N
hsa-mir-1277	10	3.830678	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-1281	1	0.383068	N
hsa-mir-128-1	110	42.137457	N
hsa-mir-1282	0	0.000000	N
hsa-mir-128-2	86	32.943830	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	0	0.000000	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	52	19.919525	N
hsa-mir-1288	0	0.000000	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	3	1.149203	N
hsa-mir-129-1	1	0.383068	N
hsa-mir-1292	2	0.766136	N
hsa-mir-129-2	3	1.149203	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	0	0.000000	N
hsa-mir-1295a	3	1.149203	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	16	6.129085	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	58	22.217932	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
