miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	201861	16280.705524	N
hsa-let-7a-2	404060	32588.671779	Y
hsa-let-7a-3	203252	16392.893918	N
hsa-let-7b	458068	36944.581756	N
hsa-let-7c	246554	19885.332331	Y
hsa-let-7d	4926	397.296929	N
hsa-let-7e	12835	1035.181909	N
hsa-let-7f-1	40162	3239.187833	N
hsa-let-7f-2	40348	3254.189301	N
hsa-let-7g	4793	386.570073	N
hsa-let-7i	8043	648.692489	N
hsa-mir-100	446257	35991.988571	Y
hsa-mir-101-1	148290	11960.040930	N
hsa-mir-101-2	149935	12092.715199	N
hsa-mir-103a-1	192083	15492.079991	Y
hsa-mir-103a-2	191808	15469.900402	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	1	0.080653	N
hsa-mir-106a	100	8.065305	Y
hsa-mir-106b	4260	343.581997	N
hsa-mir-107	1193	96.219090	Y
hsa-mir-10a	400819	32327.275241	N
hsa-mir-10b	1825728	147250.533459	N
hsa-mir-1-1	32	2.580898	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	3	0.241959	N
hsa-mir-1180	209	16.856488	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	3	0.241959	N
hsa-mir-1185-2	1	0.080653	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	46	3.710040	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	2	0.161306	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	15	1.209796	N
hsa-mir-1227	1	0.080653	N
hsa-mir-1228	19	1.532408	N
hsa-mir-1229	6	0.483918	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.080653	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	3	0.241959	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-1243	2	0.161306	N
hsa-mir-124-3	1	0.080653	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	27	2.177632	N
hsa-mir-1245b	2	0.161306	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	1124	90.654029	N
hsa-mir-1248	3	0.241959	N
hsa-mir-1249	19	1.532408	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	0	0.000000	N
hsa-mir-1254-2	1	0.080653	N
hsa-mir-1255a	3	0.241959	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	17	1.371102	N
hsa-mir-125a	18869	1521.842419	N
hsa-mir-125b-1	21934	1769.044020	N
hsa-mir-125b-2	22836	1841.793072	N
hsa-mir-126	44851	3617.369989	N
hsa-mir-1260a	1	0.080653	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	19	1.532408	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	31	2.500245	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	174	14.033631	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	12818	1033.810807	N
hsa-mir-1270	18	1.451755	N
hsa-mir-1271	61	4.919836	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	2	0.161306	N
hsa-mir-1276	1	0.080653	N
hsa-mir-1277	2	0.161306	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-128-1	963	77.668888	N
hsa-mir-1282	0	0.000000	N
hsa-mir-128-2	619	49.924239	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	2	0.161306	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	690	55.650605	N
hsa-mir-1288	4	0.322612	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	4	0.322612	N
hsa-mir-129-1	30	2.419592	N
hsa-mir-1292	2	0.161306	N
hsa-mir-129-2	24	1.935673	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	1	0.080653	N
hsa-mir-1295a	34	2.742204	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	40	3.226122	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	2	0.161306	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	41	3.306775	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	5	0.403265	N
hsa-mir-1305	2	0.161306	N
hsa-mir-1306	95	7.662040	N
hsa-mir-1307	6084	490.693162	N
hsa-mir-130a	1366	110.172068	N
hsa-mir-130b	96	7.742693	N
hsa-mir-132	1260	101.622844	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	6	0.483918	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	65	5.242448	Y
hsa-mir-133a-2	35	2.822857	N
hsa-mir-133b	2	0.161306	Y
hsa-mir-134	3468	279.704781	N
hsa-mir-1343	12	0.967837	N
hsa-mir-135a-1	11	0.887184	N
hsa-mir-135a-2	5	0.403265	N
hsa-mir-135b	51	4.113306	N
hsa-mir-136	598	48.230524	N
hsa-mir-137	1	0.080653	N
hsa-mir-138-1	5	0.403265	N
hsa-mir-138-2	2	0.161306	N
