miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	42063	6213.352733	N
hsa-let-7a-2	85547	12636.609045	Y
hsa-let-7a-3	43069	6361.954422	N
hsa-let-7b	61254	9048.158912	N
hsa-let-7c	28170	4161.142726	Y
hsa-let-7d	3300	487.460809	N
hsa-let-7e	3966	585.839263	N
hsa-let-7f-1	23822	3518.876181	N
hsa-let-7f-2	23884	3528.034536	N
hsa-let-7g	4430	654.379208	N
hsa-let-7i	4373	645.959430	N
hsa-mir-100	31242	4614.924425	N
hsa-mir-101-1	94037	13890.712764	N
hsa-mir-101-2	94047	13892.189918	N
hsa-mir-103a-1	144078	21282.538932	Y
hsa-mir-103a-2	143990	21269.539977	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	9	1.329439	N
hsa-mir-105-2	6	0.886292	N
hsa-mir-106a	138	20.384725	Y
hsa-mir-106b	10266	1516.446263	N
hsa-mir-107	1476	218.027926	Y
hsa-mir-10a	52307	7726.549258	N
hsa-mir-10b	165410	24433.603776	N
hsa-mir-1-1	7	1.034008	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.147715	N
hsa-mir-1180	174	25.702479	N
hsa-mir-1181	5	0.738577	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	2	0.295431	N
hsa-mir-1185-2	2	0.295431	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	7	1.034008	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	1	0.147715	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	3	0.443146	N
hsa-mir-1227	2	0.295431	N
hsa-mir-1228	9	1.329439	N
hsa-mir-1229	4	0.590862	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	3	0.443146	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	1	0.147715	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	7	1.034008	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	1	0.147715	N
hsa-mir-1247	234	34.565403	N
hsa-mir-1248	4	0.590862	N
hsa-mir-1249	4	0.590862	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	3	0.443146	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	4	0.590862	N
hsa-mir-1254-2	2	0.295431	N
hsa-mir-1255a	1	0.147715	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	1	0.147715	N
hsa-mir-1258	3	0.443146	N
hsa-mir-125a	3210	474.166424	N
hsa-mir-125b-1	2424	358.062122	N
hsa-mir-125b-2	2476	365.743322	N
hsa-mir-126	28705	4240.170464	N
hsa-mir-1260a	0	0.000000	N
