miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	147444	9872.615645	N
hsa-let-7a-2	293958	19682.959969	Y
hsa-let-7a-3	148046	9912.924607	N
hsa-let-7b	277428	18576.137469	N
hsa-let-7c	55523	3717.731738	Y
hsa-let-7d	5595	374.632298	N
hsa-let-7e	22728	1521.830718	N
hsa-let-7f-1	43194	2892.201515	N
hsa-let-7f-2	44205	2959.896466	N
hsa-let-7g	4812	322.203864	N
hsa-let-7i	12967	868.249688	N
hsa-mir-100	391454	26211.137005	Y
hsa-mir-101-1	57320	3838.055999	N
hsa-mir-101-2	58002	3883.721634	N
hsa-mir-103a-1	268864	18002.705655	Y
hsa-mir-103a-2	271201	18159.187457	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	2	0.133917	N
hsa-mir-105-2	4	0.267834	N
hsa-mir-106a	205	13.726474	Y
hsa-mir-106b	24218	1621.598747	N
hsa-mir-107	2572	172.217028	Y
hsa-mir-10a	178166	11929.711883	N
hsa-mir-10b	292697	19598.525415	N
hsa-mir-1-1	10	0.669584	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	4	0.267834	N
hsa-mir-1180	681	45.598676	N
hsa-mir-1181	2	0.133917	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	3	0.200875	N
hsa-mir-1185-2	2	0.133917	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	2	0.133917	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	8	0.535667	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	18	1.205251	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	24	1.607002	N
hsa-mir-1227	1	0.066958	N
hsa-mir-1228	15	1.004376	N
hsa-mir-1229	14	0.937418	N
hsa-mir-1231	2	0.133917	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.066958	N
hsa-mir-1236	1	0.066958	N
hsa-mir-1237	1	0.066958	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-1243	5	0.334792	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	39	2.611378	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	123	8.235884	N
hsa-mir-1248	8	0.535667	N
hsa-mir-1249	19	1.272210	N
hsa-mir-1250	1	0.066958	N
hsa-mir-1251	1	0.066958	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	5	0.334792	N
hsa-mir-1254-2	6	0.401750	N
hsa-mir-1255a	7	0.468709	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	0	0.000000	N
hsa-mir-125a	12817	858.205927	N
hsa-mir-125b-1	7284	487.725051	N
hsa-mir-125b-2	7539	504.799445	N
hsa-mir-126	15335	1026.807201	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	2	0.133917	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	5	0.334792	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	146	9.775928	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	2	0.133917	N
hsa-mir-1269b	106	7.097591	N
hsa-mir-127	10266	687.395026	N
hsa-mir-1270	10	0.669584	N
hsa-mir-1271	42	2.812253	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	11	0.736542	N
hsa-mir-1277	14	0.937418	N
hsa-mir-1278	5	0.334792	N
hsa-mir-1279	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-128-1	2739	183.399082	N
hsa-mir-1282	0	0.000000	N
hsa-mir-128-2	1957	131.037606	N
hsa-mir-1283-1	1	0.066958	N
hsa-mir-1283-2	2	0.133917	N
hsa-mir-1284	2	0.133917	N
hsa-mir-1285-1	1	0.066958	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	468	31.336535	N
hsa-mir-1288	7	0.468709	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	4	0.267834	N
hsa-mir-129-1	17	1.138293	N
hsa-mir-1292	8	0.535667	N
hsa-mir-129-2	13	0.870459	N
hsa-mir-1293	1	0.066958	N
hsa-mir-1294	1	0.066958	N
hsa-mir-1295a	63	4.218380	N
hsa-mir-1295b	7	0.468709	N
hsa-mir-1296	21	1.406127	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	1	0.066958	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	268	17.944854	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	327	21.895400	N
hsa-mir-1305	2	0.133917	N
hsa-mir-1306	115	7.700217	N
hsa-mir-1307	28807	1928.870886	N
hsa-mir-130a	1511	101.174156	N
hsa-mir-130b	536	35.889707	N
hsa-mir-132	3081	206.298858	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	32	2.142669	Y
hsa-mir-133a-2	7	0.468709	N
hsa-mir-133b	4	0.267834	Y
hsa-mir-134	2551	170.810901	N
hsa-mir-1343	20	1.339168	N
hsa-mir-135a-1	2	0.133917	N
hsa-mir-135a-2	5	0.334792	N
hsa-mir-135b	1083	72.515957	N
hsa-mir-136	417	27.921657	N
hsa-mir-137	4	0.267834	N
hsa-mir-138-1	43	2.879212	N
hsa-mir-138-2	21	1.406127	N
hsa-mir-139	433	28.992991	N
hsa-mir-140	14489	970.160387	N
hsa-mir-141	18719	1253.394457	N
hsa-mir-142	18074	1210.206283	N
hsa-mir-143	1232365	82517.199606	N
hsa-mir-144	328	21.962358	N
hsa-mir-145	16829	1126.843064	N
hsa-mir-1468	180	12.052514	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	1380	92.402604	N
hsa-mir-146b	19683	1317.942363	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	13	0.870459	N
hsa-mir-148a	500294	33498.890231	N
hsa-mir-148b	1616	108.204789	N
hsa-mir-149	152	10.177678	N
hsa-mir-150	5392	361.039741	N
hsa-mir-151a	33700	2256.498381	N
hsa-mir-151b	20	1.339168	N
hsa-mir-152	4846	324.480450	N
hsa-mir-153-1	6	0.401750	N
hsa-mir-153-2	54	3.615754	N
hsa-mir-1537	5	0.334792	N
hsa-mir-1538	5	0.334792	N
hsa-mir-1539	1	0.066958	N
hsa-mir-154	43	2.879212	N
hsa-mir-155	2539	170.007400	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	2033	136.126445	N
hsa-mir-15b	2011	134.653360	N
hsa-mir-16-1	2156	144.362330	N
hsa-mir-16-2	2207	147.777208	N
hsa-mir-17	30759	2059.573700	Y
hsa-mir-181a-1	42762	2863.275482	N
hsa-mir-181a-2	51384	3440.590884	N
hsa-mir-181b-1	7662	513.035329	N
hsa-mir-181b-2	7514	503.125485	N
hsa-mir-181c	3216	215.338243	N
hsa-mir-181d	640	42.853382	N
hsa-mir-182	423317	28344.632788	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	227901	15259.888351	N
hsa-mir-184	16	1.071335	N
hsa-mir-185	1016	68.029743	N
hsa-mir-186	10546	706.143380	N
hsa-mir-187	3529	236.296225	N
hsa-mir-188	59	3.950546	N
hsa-mir-18a	320	21.426691	Y
hsa-mir-18b	8	0.535667	Y
hsa-mir-1908	2	0.133917	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190a	61	4.084463	N
hsa-mir-190b	13	0.870459	N
hsa-mir-191	5491	367.668623	N
hsa-mir-1910	7	0.468709	N
hsa-mir-1911	0	0.000000	N
