miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	17755	6812.104098	N
hsa-let-7a-2	17609	6756.087922	N
hsa-let-7a-3	17837	6843.565238	N
hsa-let-7b	50249	19279.156228	N
hsa-let-7c	1792	687.541005	N
hsa-let-7d	2576	988.340195	N
hsa-let-7e	4110	1576.893711	N
hsa-let-7f-1	4878	1871.554142	N
hsa-let-7f-2	4954	1900.713247	N
hsa-let-7g	1468	563.231136	N
hsa-let-7i	1307	501.459874	N
hsa-mir-100	3493	1340.167818	N
hsa-mir-101-1	7287	2795.821040	N
hsa-mir-101-2	7349	2819.608731	N
hsa-mir-103a-1	52645	20198.435384	Y
hsa-mir-103a-2	53074	20363.030859	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	122	46.808037	Y
hsa-mir-106b	717	275.093136	N
hsa-mir-107	293	112.416024	Y
hsa-mir-10a	72188	27696.545797	N
hsa-mir-10b	119824	45973.165950	N
hsa-mir-1-1	0	0.000000	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	61	23.404019	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	2	0.767345	N
hsa-mir-1185-2	1	0.383672	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	1	0.383672	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	8	3.069379	N
hsa-mir-1227	2	0.767345	N
hsa-mir-1228	9	3.453052	N
hsa-mir-1229	31	11.893846	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	10	3.836724	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	3	1.151017	N
hsa-mir-1248	0	0.000000	N
hsa-mir-1249	16	6.138759	N
hsa-mir-1250	3	1.151017	N
