miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	29995	10934.972005	N
hsa-let-7a-2	30345	11062.567945	N
hsa-let-7a-3	30227	11019.549885	N
hsa-let-7b	99401	36237.611346	N
hsa-let-7c	7041	2566.865741	N
hsa-let-7d	1314	479.031612	N
hsa-let-7e	3490	1272.313796	N
hsa-let-7f-1	4463	1627.030507	N
hsa-let-7f-2	4459	1625.572268	N
hsa-let-7g	1574	573.817167	N
hsa-let-7i	948	345.602716	N
hsa-mir-100	3575	1303.301381	N
hsa-mir-101-1	5222	1903.731416	N
hsa-mir-101-2	5177	1887.326223	N
hsa-mir-103a-1	62280	22704.786014	Y
hsa-mir-103a-2	61839	22544.015131	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	0	0.000000	N
hsa-mir-106a	68	24.790068	Y
hsa-mir-106b	922	336.124160	N
hsa-mir-107	276	100.618512	Y
hsa-mir-10a	37713	13748.644749	N
hsa-mir-10b	152983	55771.455986	N
hsa-mir-1-1	14	5.103838	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	1	0.364560	N
hsa-mir-1180	15	5.468397	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	1	0.364560	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	7	2.551919	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	1	0.364560	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	2	0.729120	N
hsa-mir-1229	1	0.364560	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	7	2.551919	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	51	18.592551	N
hsa-mir-1248	1	0.364560	N
hsa-mir-1249	1	0.364560	N
hsa-mir-1250	1	0.364560	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	0	0.000000	N
hsa-mir-1254-2	0	0.000000	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	1	0.364560	N
hsa-mir-125a	1783	650.010171	N
hsa-mir-125b-1	610	222.381494	N
hsa-mir-125b-2	640	233.318289	N
hsa-mir-126	10512	3832.252900	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	2	0.729120	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	42	15.311513	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	0	0.000000	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	1808	659.124167	N
hsa-mir-1270	1	0.364560	N
hsa-mir-1271	1	0.364560	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	2	0.729120	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-128-1	99	36.091423	N
hsa-mir-1282	0	0.000000	N
hsa-mir-128-2	32	11.665914	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	0	0.000000	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	18	6.562077	N
hsa-mir-1288	0	0.000000	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	1	0.364560	N
hsa-mir-129-1	0	0.000000	N
hsa-mir-1292	1	0.364560	N
hsa-mir-129-2	0	0.000000	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	1	0.364560	N
hsa-mir-1295a	5	1.822799	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	29	10.572235	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	25	9.113996	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	0	0.000000	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	24	8.749436	N
hsa-mir-1307	1413	515.123035	N
hsa-mir-130a	354	129.054179	N
hsa-mir-130b	77	28.071107	N
hsa-mir-132	157	57.235893	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	1	0.364560	N
hsa-mir-133a-2	4	1.458239	N
hsa-mir-133b	0	0.000000	N
hsa-mir-134	1020	371.851023	N
hsa-mir-1343	0	0.000000	N
hsa-mir-135a-1	7	2.551919	N
hsa-mir-135a-2	10	3.645598	N
hsa-mir-135b	14	5.103838	N
hsa-mir-136	77	28.071107	N
hsa-mir-137	0	0.000000	N
hsa-mir-138-1	3	1.093679	N
hsa-mir-138-2	0	0.000000	N
hsa-mir-139	80	29.164786	N
hsa-mir-140	1315	479.396172	N
hsa-mir-141	3994	1456.051948	N
hsa-mir-142	2244	818.072251	N
hsa-mir-143	8563	3121.725797	N
hsa-mir-144	61	22.238149	N
hsa-mir-145	4277	1559.222379	N
hsa-mir-1468	0	0.000000	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	229	83.484200	N
hsa-mir-146b	1273	464.084660	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	0	0.000000	N
hsa-mir-148a	77768	28351.088612	N
hsa-mir-148b	489	178.269755	N
hsa-mir-149	722	263.212195	N
hsa-mir-150	265	96.608354	N
hsa-mir-151a	2545	927.804759	N
hsa-mir-151b	6	2.187359	N
hsa-mir-152	383	139.626414	N
hsa-mir-153-1	2	0.729120	N
hsa-mir-153-2	26	9.478555	N
hsa-mir-1537	0	0.000000	N
hsa-mir-1538	0	0.000000	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	23	8.384876	N
hsa-mir-155	567	206.705422	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	322	117.388264	N
hsa-mir-15b	706	257.379238	N
hsa-mir-16-1	1056	384.975177	N
hsa-mir-16-2	1129	411.588044	N
hsa-mir-17	1706	621.939065	Y
hsa-mir-181a-1	1192	434.555314	N
hsa-mir-181a-2	2011	733.129812	N
hsa-mir-181b-1	169	61.610611	N
hsa-mir-181b-2	148	53.954854	N
hsa-mir-181c	270	98.431153	N
hsa-mir-181d	101	36.820543	N
hsa-mir-182	184674	67324.721458	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	52588	19171.472173	N
hsa-mir-184	25	9.113996	N
hsa-mir-185	121	44.111739	N
hsa-mir-186	1048	382.058699	N
hsa-mir-187	8	2.916479	N
hsa-mir-188	2	0.729120	N
hsa-mir-18a	9	3.281038	N
hsa-mir-18b	1	0.364560	N
hsa-mir-1908	0	0.000000	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190a	12	4.374718	N
hsa-mir-190b	228	83.119641	N
hsa-mir-191	3665	1336.111765	N
hsa-mir-1910	0	0.000000	N
hsa-mir-1911	0	0.000000	N
hsa-mir-1912	0	0.000000	N
hsa-mir-1913	0	0.000000	N
hsa-mir-1914	0	0.000000	N
hsa-mir-1915	0	0.000000	N
hsa-mir-192	931	339.405199	N
hsa-mir-193a	528	192.487589	N
hsa-mir-193b	443	161.500003	N
hsa-mir-194-1	260	94.785555	N
hsa-mir-194-2	293	106.816029	N
hsa-mir-195	68	24.790068	N
hsa-mir-196a-1	22	8.020316	N
hsa-mir-196a-2	43	15.676073	N
hsa-mir-196b	2309	841.768640	N
hsa-mir-197	1162	423.618519	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	16	5.832957	N
hsa-mir-198	0	0.000000	N
hsa-mir-199a-1	6680	2435.259643	Y
hsa-mir-199a-2	11126	4056.092633	Y
hsa-mir-199b	13019	4746.204385	Y
hsa-mir-19a	34	12.395034	N
hsa-mir-19b-1	134	48.851017	N
hsa-mir-19b-2	151	55.048534	N
hsa-mir-200a	1830	667.144483	N
hsa-mir-200b	2253	821.353290	N
hsa-mir-200c	35501	12942.238412	N
hsa-mir-202	3	1.093679	N
hsa-mir-203a	10629	3874.906399	N
hsa-mir-203b	185	67.443568	N
hsa-mir-204	3	1.093679	N
hsa-mir-205	18122	6606.553182	N
hsa-mir-2052	0	0.000000	N
hsa-mir-2053	0	0.000000	N
hsa-mir-2054	0	0.000000	N
hsa-mir-206	0	0.000000	N
hsa-mir-208a	0	0.000000	N
hsa-mir-208b	0	0.000000	N
hsa-mir-20a	335	122.127542	N
hsa-mir-20b	61	22.238149	N
hsa-mir-21	636525	232051.443766	N
hsa-mir-210	520	189.571110	N
hsa-mir-211	0	0.000000	N
hsa-mir-2110	3	1.093679	N
hsa-mir-2113	0	0.000000	N
hsa-mir-2114	1	0.364560	N
hsa-mir-2115	0	0.000000	N
hsa-mir-2116	0	0.000000	N
hsa-mir-2117	0	0.000000	N
hsa-mir-212	0	0.000000	N
hsa-mir-214	106	38.643342	N
hsa-mir-215	1	0.364560	N
hsa-mir-216a	13	4.739278	N
hsa-mir-216b	0	0.000000	N
hsa-mir-217	233	84.942440	N
hsa-mir-218-1	56	20.415350	N
hsa-mir-218-2	40	14.582393	N
hsa-mir-219a-1	10	3.645598	N
hsa-mir-219a-2	0	0.000000	N
hsa-mir-219b	2	0.729120	N
hsa-mir-22	213857	77963.670884	N
hsa-mir-221	2631	959.156904	N
