miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	44218	5128.774364	N
hsa-let-7a-2	43184	5008.842374	N
hsa-let-7a-3	43782	5078.203428	N
hsa-let-7b	112905	13095.668495	N
hsa-let-7c	6544	759.027985	N
hsa-let-7d	8089	938.230038	N
hsa-let-7e	14260	1653.994356	N
hsa-let-7f-1	14029	1627.201039	N
hsa-let-7f-2	14409	1671.276625	N
hsa-let-7g	6566	761.579729	N
hsa-let-7i	4259	493.994527	N
hsa-mir-100	37989	4406.282720	Y
hsa-mir-101-1	31072	3603.991068	N
hsa-mir-101-2	31766	3684.487006	N
hsa-mir-103a-1	94463	10956.610717	Y
hsa-mir-103a-2	95093	11029.683399	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	49	5.683431	N
hsa-mir-105-2	64	7.423257	N
hsa-mir-106a	142	16.470351	Y
hsa-mir-106b	2863	332.074743	N
hsa-mir-107	753	87.339253	Y
hsa-mir-10a	134128	15557.289969	N
hsa-mir-10b	564948	65527.405561	N
hsa-mir-1-1	15	1.739826	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	3	0.347965	N
hsa-mir-1180	45	5.219477	N
hsa-mir-1181	3	0.347965	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	2	0.231977	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	2	0.231977	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	12	1.391861	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	2	0.231977	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	14	1.623837	N
hsa-mir-1227	1	0.115988	N
hsa-mir-1228	31	3.595640	N
hsa-mir-1229	5	0.579942	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.115988	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	6	0.695930	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	2	0.231977	N
hsa-mir-124-2	1	0.115988	N
hsa-mir-1243	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	32	3.711628	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	136	15.774420	N
hsa-mir-1248	7	0.811919	N
hsa-mir-1249	53	6.147384	N
hsa-mir-1250	1	0.115988	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	1	0.115988	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	1	0.115988	N
hsa-mir-1254-2	2	0.231977	N
hsa-mir-1255a	10	1.159884	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	2	0.231977	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	8	0.927907	N
hsa-mir-125a	22483	2607.766837	N
hsa-mir-125b-1	3968	460.241908	N
hsa-mir-125b-2	4143	480.539875	N
hsa-mir-126	41683	4834.743810	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	1	0.115988	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	0	0.000000	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	29	3.363663	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	674	78.176171	N
hsa-mir-1269b	120	13.918606	N
hsa-mir-127	11787	1367.155082	N
hsa-mir-1270	7	0.811919	N
hsa-mir-1271	55	6.379361	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
