miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	97188	7521.721071	N
hsa-let-7a-2	192776	14919.612515	Y
hsa-let-7a-3	97012	7508.099812	N
hsa-let-7b	107905	8351.147386	N
hsa-let-7c	34872	2698.866704	Y
hsa-let-7d	6677	516.756509	N
hsa-let-7e	13961	1080.490882	N
hsa-let-7f-1	41565	3216.861509	N
hsa-let-7f-2	41969	3248.128489	N
hsa-let-7g	3994	309.109704	N
hsa-let-7i	5877	454.841696	N
hsa-mir-100	72772	5632.080975	Y
hsa-mir-101-1	88769	6870.145056	N
hsa-mir-101-2	90042	6968.667003	N
hsa-mir-103a-1	635688	49198.129646	Y
hsa-mir-103a-2	636766	49281.559857	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	15	1.160903	N
hsa-mir-105-2	27	2.089625	N
hsa-mir-106a	100	7.739352	Y
hsa-mir-106b	10677	826.330574	N
hsa-mir-107	4041	312.747200	Y
hsa-mir-10a	534435	41361.803931	N
hsa-mir-10b	344094	26630.644628	N
hsa-mir-1-1	8	0.619148	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	4	0.309574	N
hsa-mir-1180	442	34.207934	N
hsa-mir-1181	1	0.077394	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	2	0.154787	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	10	0.773935	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	11	0.851329	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	47	3.637495	N
hsa-mir-1227	2	0.154787	N
hsa-mir-1228	29	2.244412	N
hsa-mir-1229	29	2.244412	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	1	0.077394	N
hsa-mir-1236	1	0.077394	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	11	0.851329	N
hsa-mir-1245b	3	0.232181	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	17	1.315690	N
