miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	35223	6994.872056	N
hsa-let-7a-2	70606	14021.518223	Y
hsa-let-7a-3	35647	7079.073451	N
hsa-let-7b	76728	15237.275163	N
hsa-let-7c	43195	8578.017160	Y
hsa-let-7d	2481	492.697316	N
hsa-let-7e	4754	944.088288	N
hsa-let-7f-1	11233	2230.741215	N
hsa-let-7f-2	11435	2270.856030	N
hsa-let-7g	2492	494.881786	N
hsa-let-7i	3772	749.074678	N
hsa-mir-100	93469	18561.840166	Y
hsa-mir-101-1	32106	6375.872646	N
hsa-mir-101-2	32323	6418.966285	N
hsa-mir-103a-1	56419	11204.147475	Y
hsa-mir-103a-2	56360	11192.430771	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	8	1.588706	N
hsa-mir-105-2	5	0.992941	N
hsa-mir-106a	152	30.185406	Y
hsa-mir-106b	2938	583.452122	N
hsa-mir-107	446	88.570336	Y
hsa-mir-10a	101728	20201.980083	N
hsa-mir-10b	490046	97317.351485	N
hsa-mir-1-1	14	2.780235	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	28	5.560470	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	2	0.397176	N
hsa-mir-1185-2	2	0.397176	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	19	3.773176	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	6	1.191529	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	1	0.198588	N
hsa-mir-1229	10	1.985882	N
hsa-mir-1231	1	0.198588	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-1243	1	0.198588	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	19	3.773176	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	426	84.598572	N
hsa-mir-1248	1	0.198588	N
hsa-mir-1249	16	3.177411	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	2	0.397176	N
hsa-mir-1254-2	0	0.000000	N
hsa-mir-1255a	6	1.191529	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	16	3.177411	N
hsa-mir-125a	4941	981.224280	N
hsa-mir-125b-1	3891	772.706674	N
hsa-mir-125b-2	4147	823.545252	N
hsa-mir-126	32618	6477.549803	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	7	1.390117	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	191	37.930346	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	214	42.497874	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	5958	1183.188476	N
hsa-mir-1270	6	1.191529	N
