X63928 X5575 X8503 X472 X581 X839 X207 X5576 X4790 X9131 X1676 X5566
TCGA-BH-A0HW 7.11934283749634 16.0748031179277 15.8308541278585 14.9824812295029 18.0953146778443 17.3762915248308 18.4167874344729 17.4286332536239 16.8850108061581 18.4205036690673 17.6774274498488 18.6187042554512
TCGA-BH-A18S 3 14.2085413298883 16.2760020529295 15.9622256771307 17.7168606653546 19.2933179391185 18.1862390560455 18.079908292943 18.1574505269796 18.6155053705229 17.6864051832385 18.4718681754503
TCGA-D8-A27E 3 15.9525125023995 16.9767240317885 16.2174423054713 16.9483340451444 18.1825846120097 18.5321073220957 18.5434744480116 19.2518439363393 18.9611312889051 17.7044736274095 18.7199024879425
TCGA-E2-A1IH 8.18305233681117 14.8393389233858 17.9096075515413 15.8208483428467 18.0095627030346 17.9622371867825 17.3602928694928 17.9865672127818 17.7942723811789 17.9237642604604 17.0362824042528 19.3662660399495
TCGA-A8-A091 3 15.7540953721929 15.2118354678718 16.125326354313 17.9547890803024 17.3235780424211 19.3178210873771 18.0163813168802 18.3281965946207 18.5085930661698 18.6450066839536 18.6931627950941
TCGA-A2-A04W 3 17.0863724418787 18.9201465665699 14.6807669442543 18.2570238668573 17.4792007611345 19.5896859301675 18.248150677142 17.1182760353805 19.198811189898 18.1223810251818 19.33313595392
TCGA-D8-A1X5 3 15.9266726882878 16.1835519711617 15.7444618299241 17.8744157994974 18.1084940623839 19.0189462649585 17.9367979797621 18.4086499475883 18.2795399254763 16.7889160634857 18.4089870635851
TCGA-BH-A5J0 3 17.2619243930031 18.1206605555517 14.3644012856941 19.9771414684664 18.5713943828761 19.0236391298485 16.9752263497118 17.6948565851991 19.3367465698405 17.211760809518 18.9404763767419
TCGA-A2-A1G1 3 15.3726918791386 19.1266812649443 16.4862271154642 17.7795448653649 17.8499931212847 17.1106440614316 18.9465962569149 18.4475508823095 18.6174339883335 18.2011524879664 18.871086021287
TCGA-A8-A097 3 14.6066613583801 16.4665599907942 15.7955643474341 19.1066369946176 17.6572658606438 17.4784527432378 18.729443525717 18.04200707275 19.057371941408 17.6887795819851 19.1804551259893
TCGA-C8-A130 7.42779677010587 16.5239026735287 17.3047774983855 14.5819118710125 19.1593075685655 18.443427097509 18.7746904024251 17.4141353464249 16.9820620178179 19.1664558067168 17.6712067359201 19.3135360539366
TCGA-A8-A0AD 3 16.0189203783188 18.4944693814345 16.5203014555282 17.9110580291259 17.6845070522454 18.4882995219545 18.5009033782872 18.8138249563071 18.3314839657707 17.3011555070472 18.4846746560628
TCGA-A2-A0YL 8.16533972156289 16.7605539474322 18.2985765182075 16.4125008889618 17.3058836678451 18.6473008281802 18.0181170059042 17.6959511531517 18.1688000006503 17.4861871179894 17.9186461786768 18.4920909571929
TCGA-A8-A09G 3 15.7508052702237 18.1869477228992 16.5861938752586 17.806550297947 18.3846281838992 19.6438168403384 19.0645350061441 17.6382753653896 18.8173571496226 17.3113682625989 18.1983227049013
TCGA-A2-A25E 3 16.1662234880544 16.9523170916353 15.2818041902327 17.8676389004777 19.0148730275062 17.1616170311389 17.6598883300102 17.1125416049885 18.8715427263685 17.5921462091386 18.6980769058058
