X7042 X7043 X2122 X8503 X861 X4088 X867 X207 X4790 X1399 X369
TCGA-BH-A0HW 13.514613735161 17.3279313892943 13.8719401347522 15.8308541278585 17.4028388094264 18.3036201361152 15.2235143765567 18.4167874344729 16.8850108061581 19.5466757606321 18.331240019648
TCGA-BH-A18S 14.7732775894864 18.1300104641248 13.7140751979141 16.2760020529295 17.713537742537 17.162522558822 15.7058222318393 18.1862390560455 18.1574505269796 18.9179314270204 18.6463032225399
TCGA-D8-A27E 14.6723128796645 19.3908776623031 14.9333940389167 16.9767240317885 18.148264043239 17.6219226361042 16.4460101247711 18.5321073220957 19.2518439363393 18.7394453788671 18.6679147148628
TCGA-E2-A1IH 14.9161742562538 18.8361761458189 15.8562680010012 17.9096075515413 18.6738138776993 16.6874256978532 16.289564653508 17.3602928694928 17.7942723811789 18.4569275799096 18.7109053641984
TCGA-A8-A091 14.1183296696177 20.2404454352911 14.7238456432439 15.2118354678718 17.216028738539 18.5225017898271 16.7016662266489 19.3178210873771 18.3281965946207 19.385184065338 18.0722485195471
TCGA-A2-A04W 16.9034900592731 19.010317094902 14.5710812618054 18.9201465665699 18.854914913536 17.3204144362304 15.6801960284529 19.5896859301675 17.1182760353805 18.8378395382324 18.9061160302836
TCGA-D8-A1X5 15.3058547528572 17.9703441495016 14.187624756022 16.1835519711617 17.5351372251966 17.3416617453133 15.8099905159098 19.0189462649585 18.4086499475883 18.2725608990126 19.4853199520721
TCGA-BH-A5J0 15.5943108521282 19.2801689753025 14.3703258490494 18.1206605555517 17.7675279803258 17.3701373432831 14.9564014934014 19.0236391298485 17.6948565851991 17.8504444767208 19.5904687249062
TCGA-A2-A1G1 17.8087300274958 18.4605863999047 14.7091500037915 19.1266812649443 18.2362747550623 16.1193822381825 17.9187220209275 17.1106440614316 18.4475508823095 19.2674524007347 18.6617080955551
TCGA-A8-A097 17.2304596044593 18.5620105255995 15.3054747281117 16.4665599907942 18.0375443571881 17.7721707973365 16.2610715766491 17.4784527432378 18.04200707275 18.8053164767202 18.9314429462857
TCGA-C8-A130 14.7743684963872 18.1732314128646 15.616279047707 17.3047774983855 17.8385934900258 17.1695787324236 15.7190033224277 18.7746904024251 16.9820620178179 18.488888868222 18.8807505783202
TCGA-A8-A0AD 16.0685485610832 20.1964610189202 15.0684371308859 18.4944693814345 18.782993464227 17.6948572677359 16.8616274316284 18.4882995219545 18.8138249563071 18.8543378563545 18.4753880609603
TCGA-A2-A0YL 18.224421458387 19.1288598560336 15.4818207842645 18.2985765182075 18.9391959622378 17.9022474902245 16.8374564686176 18.0181170059042 18.1688000006503 18.8917600937598 18.6083057196699
TCGA-A8-A09G 12.8076772415114 17.2946599236395 14.3385053755211 18.1869477228992 17.7601937229466 16.0941610273995 16.0679150210453 19.6438168403384 17.6382753653896 18.6157256385659 19.0197368177958
TCGA-A2-A25E 14.3725613237604 18.4218573049018 14.5657789081586 16.9523170916353 17.9531790912121 17.4880669606534 15.6485300380821 17.1616170311389 17.1125416049885 18.6853884537188 18.202339673516
TCGA-LL-A73Y 16.4229199129533 18.1707805491656 15.0115365375014 15.8155023179107 19.5286091835508 17.1500750356663 16.5760579120099 17.7983356389775 17.7498513762639 19.0892236761799 18.1893406652554
TCGA-AR-A1AK 15.3327067995217 18.6974062842729 15.6518368354166 16.8977320278779 18.0554933813738 17.5566541492124 16.3739154139869 17.8797688545459 17.7819582313028 18.6104792969908 18.856323710693
TCGA-LL-A740 17.095422511914 18.4125173286 16.03713597264 17.9359030307546 18.5402225812077 16.3270451097613 16.1183317717193 18.9771189358539 17.8457062779056 19.0493586831507 18.6794731198981
TCGA-A7-A425 13.4309052745147 18.2339867675433 14.9306679547813 17.2821791463227 17.4894735050284 16.8427727262923 15.6099931443286 18.9202761873885 17.845342639962 18.2078482618517 19.1286394184036
TCGA-AN-A0XO 17.3877351003373 18.0348621101605 15.7121682503031 18.6805400990956 18.9991540531404 17.3277309220959 16.5152978059776 19.2170342049203 18.1808790157158 18.2806244538438 18.759800928779
TCGA-AC-A3W7 16.8904576459349 19.1718693097366 14.814459817506 17.6553510052166 18.5833087833741 17.2442940616166 16.3068873281736 19.3527273644559 18.3867840819654 18.1908125785396 19.2778896451879
TCGA-BH-A0H5 15.6185345753671 18.2498964314268 14.5509854546717 18.0713140081785 17.8757250063357 17.46539322839 16.6164346441892 18.1341421608442 18.6602893377122 18.7858458215311 18.9177154323129
TCGA-C8-A1HL 14.2582583266553 17.7799973338119 16.4865168345026 18.0463770265701 18.0178762302693 17.3955655712302 15.9593067479324 18.9895996922305 17.3165755168344 18.3234018486431 18.7362977275138
TCGA-A2-A0YF 14.0443465801683 16.9008859980268 14.941595975766 16.8894284879694 18.3222452730532 18.1721028094136 16.3888141204998 18.0185261957053 18.0687635649438 18.7103635801785 18.9791453839167
TCGA-E2-A15J 15.589569015529 18.4181000688201 13.4753335581299 18.1480861108403 17.8507832861904 16.8020381451372 16.378829884899 18.5312275084215 19.0260762298175 18.8819354737256 18.8179916071712
TCGA-BH-A0BW 17.0487748871207 16.5254364248447 16.4569642583191 17.3229257035192 16.515492665733 17.0873356974741 16.9641453582545 17.329316385854 20.1244294832483 19.1598674980874 18.3401501054929
TCGA-A1-A0SJ 15.115394437216 16.9804114096519 15.0771022551135 16.9069696267214 19.4645799666995 18.1926075078411 15.9970783873497 18.5311892274098 17.7645896941402 19.4846695781263 18.2268521225554
