X7042 X2353 X83439 X51176 X7043 X8313 X3725 X8503 X4088 X581 X207 X369
TCGA-BH-A0HW 13.514613735161 18.8978594680386 14.2942577812233 14.9191755758519 17.3279313892943 15.6998140693836 18.6542858391382 15.8308541278585 18.3036201361152 18.0953146778443 18.4167874344729 18.331240019648
TCGA-BH-A18S 14.7732775894864 20.9973575716865 18.0777963221428 14.7295128672926 18.1300104641248 14.9687768845204 21.3823486568548 16.2760020529295 17.162522558822 17.7168606653546 18.1862390560455 18.6463032225399
TCGA-D8-A27E 14.6723128796645 20.0831282804438 16.8507235422753 14.7308776570575 19.3908776623031 14.2890227806668 18.3937961861512 16.9767240317885 17.6219226361042 16.9483340451444 18.5321073220957 18.6679147148628
TCGA-E2-A1IH 14.9161742562538 23.0481686368442 16.6105378061521 17.2204580401004 18.8361761458189 14.8040693362752 20.4413878672822 17.9096075515413 16.6874256978532 18.0095627030346 17.3602928694928 18.7109053641984
TCGA-A8-A091 14.1183296696177 18.3345810451335 14.868156317266 16.1602263965895 20.2404454352911 17.3806529392756 18.3082396440509 15.2118354678718 18.5225017898271 17.9547890803024 19.3178210873771 18.0722485195471
TCGA-A2-A04W 16.9034900592731 21.6365970577499 18.1778967683434 16.7582188907999 19.010317094902 14.9706018224509 22.9478837629941 18.9201465665699 17.3204144362304 18.2570238668573 19.5896859301675 18.9061160302836
TCGA-D8-A1X5 15.3058547528572 21.5075786674122 14.8311196259639 16.5438562562198 17.9703441495016 15.9227929631551 21.2250648844587 16.1835519711617 17.3416617453133 17.8744157994974 19.0189462649585 19.4853199520721
TCGA-BH-A5J0 15.5943108521282 20.3477930431526 16.0875821925944 16.4846111790924 19.2801689753025 14.6265515795471 19.7661812681364 18.1206605555517 17.3701373432831 19.9771414684664 19.0236391298485 19.5904687249062
TCGA-A2-A1G1 17.8087300274958 17.6000178059001 18.7782691220926 16.0178237258511 18.4605863999047 13.7517175631948 18.3174994233671 19.1266812649443 16.1193822381825 17.7795448653649 17.1106440614316 18.6617080955551
TCGA-A8-A097 17.2304596044593 20.5366344912603 15.5207751048912 15.9787411404238 18.5620105255995 15.3424455557049 19.450637940338 16.4665599907942 17.7721707973365 19.1066369946176 17.4784527432378 18.9314429462857
TCGA-C8-A130 14.7743684963872 18.197618045485 17.5293268617087 16.1033790627007 18.1732314128646 15.4157136240493 18.9743384619235 17.3047774983855 17.1695787324236 19.1593075685655 18.7746904024251 18.8807505783202
TCGA-A8-A0AD 16.0685485610832 19.1672114379652 16.5350662540945 16.8287921933257 20.1964610189202 14.8318849077643 20.5519902703284 18.4944693814345 17.6948572677359 17.9110580291259 18.4882995219545 18.4753880609603
TCGA-A2-A0YL 18.224421458387 21.683444370661 18.0303302550437 16.4055818619616 19.1288598560336 15.8538650576953 20.9110294271666 18.2985765182075 17.9022474902245 17.3058836678451 18.0181170059042 18.6083057196699
TCGA-A8-A09G 12.8076772415114 16.3212344741462 14.5896011043452 15.1445420427714 17.2946599236395 13.2436093949103 18.9369866789159 18.1869477228992 16.0941610273995 17.806550297947 19.6438168403384 19.0197368177958
TCGA-A2-A25E 14.3725613237604 20.4706027460041 15.0343589908135 17.1618536713215 18.4218573049018 15.7637530246282 19.9302677480166 16.9523170916353 17.4880669606534 17.8676389004777 17.1616170311389 18.202339673516
TCGA-LL-A73Y 16.4229199129533 22.6916398683163 17.8733699352127 16.6133619334015 18.1707805491656 15.5258044534194 22.3692071539327 15.8155023179107 17.1500750356663 18.2955314179193 17.7983356389775 18.1893406652554
TCGA-AR-A1AK 15.3327067995217 22.7064104451266 17.0836192535402 18.7091065039917 18.6974062842729 16.2736070613807 21.7150233036603 16.8977320278779 17.5566541492124 18.5351202314235 17.8797688545459 18.856323710693
TCGA-LL-A740 17.095422511914 19.6436170688608 15.9404631220399 16.1936121859593 18.4125173286 14.8570439315791 20.0136801626311 17.9359030307546 16.3270451097613 19.483365557905 18.9771189358539 18.6794731198981
TCGA-A7-A425 13.4309052745147 21.078851698945 17.5468655224068 15.8574924132704 18.2339867675433 15.5188755402901 22.021136547449 17.2821791463227 16.8427727262923 19.1095845638326 18.9202761873885 19.1286394184036
TCGA-AN-A0XO 17.3877351003373 18.1111932784631 16.7147056122181 16.1423863465441 18.0348621101605 15.32860623507 20.2289416468542 18.6805400990956 17.3277309220959 17.7428213438498 19.2170342049203 18.759800928779
TCGA-AC-A3W7 16.8904576459349 20.5538371809058 16.8134570837295 15.6732772678714 19.1718693097366 14.9474419451474 21.8455399690512 17.6553510052166 17.2442940616166 18.6344679106309 19.3527273644559 19.2778896451879
TCGA-BH-A0H5 15.6185345753671 22.1028636213648 17.1224010912291 17.6722013023027 18.2498964314268 15.7451280469569 20.4453161937936 18.0713140081785 17.46539322839 18.1817039554288 18.1341421608442 18.9177154323129
TCGA-C8-A1HL 14.2582583266553 19.1673285776569 15.5887291023772 17.0690975580641 17.7799973338119 15.3962808829631 19.0734691386418 18.0463770265701 17.3955655712302 17.7969862503772 18.9895996922305 18.7362977275138
TCGA-A2-A0YF 14.0443465801683 19.1106494669137 16.0659001183995 19.6250044896968 16.9008859980268 14.7815715931896 18.6777570245075 16.8894284879694 18.1721028094136 17.6308171699384 18.0185261957053 18.9791453839167
TCGA-E2-A15J 15.589569015529 19.5650032863215 13.8318895494736 16.8430486267586 18.4181000688201 15.651284823846 20.9545472301643 18.1480861108403 16.8020381451372 18.032108241032 18.5312275084215 18.8179916071712
TCGA-BH-A0BW 17.0487748871207 18.0877627761566 17.8564668018483 17.2751728372721 16.5254364248447 13.2231819542236 19.5173805831823 17.3229257035192 17.0873356974741 17.9182722017952 17.329316385854 18.3401501054929
TCGA-A1-A0SJ 15.115394437216 20.5788298113856 16.1988065614714 15.6293318859785 16.9804114096519 16.2268689680209 20.8114569323679 16.9069696267214 18.1926075078411 18.0956614517747 18.5311892274098 18.2268521225554
TCGA-A2-A0EY 16.3356864560304 19.6206078180509 14.7318561454931 15.5057122921745 17.3960413772345 13.3734222019115 19.5539156096012 16.9441919508511 16.2625404775747 18.6854469699195 19.2309569015164 19.3579082384159
TCGA-A8-A07R 16.7310617427795 15.0220466149098 19.0870874708115 13.9645071212073 15.0924087239671 14.0489140583639 18.1203705322339 16.9366279223237 15.4476796721325 19.2773304471234 18.0658274149146 19.193082477587
TCGA-BH-A18G 14.9069159254996 18.8353449715522 17.9923430852371 15.3049930673806 17.3433710574906 14.9187738399578 20.4787485563997 16.7711849824727 15.517652202628 18.9766564800538 18.5717770303022 18.0158150151057
TCGA-BH-A0BR 16.3378945025934 19.5214456159025 16.9564795610208 16.5119495273594 18.5251965340129 14.5282005966867 19.8932707330259 19.0014146822174 17.4847274152936 17.5035136039453 19.7099842218528 18.6532548596773
TCGA-A8-A06N 12.9145180424185 15.8690158580584 12.9385752122806 13.0238692049973 17.1321110584505 16.8880383779168 19.441164718357 16.3238364013209 17.9348245473138 17.7914321558284 18.0875463279419 19.3968427616226
TCGA-AO-A03M 15.4899206293711 19.0582357929752 17.0057993264218 16.7457260668532 18.1295946685227 14.1833846492464 20.6337214351922 17.4533482123208 16.8767999398671 18.1940624391589 19.4720719041049 18.6070964920907
TCGA-A8-A09X 13.7363810131562 16.1362015311605 17.7220657390052 16.564093897701 17.6514198098155 13.5468261811379 18.8875736814429 17.3103732544935 15.9658598744986 17.9244242715949 19.5280231809819 18.7668144998564
TCGA-E2-A1LS 16.8023608051697 18.9463822790949 18.661454492483 14.3739550291153 15.458049378214 13.7097813922672 20.3136108739055 16.1513140861844 17.111764015001 16.8037668503151 17.3852820255023 17.8551719493162
TCGA-AC-A5XS 13.4684744951557 21.8892544921775 17.0791835007472 15.5087878215081 17.9822627653876 14.797503911823 20.8709958216284 17.7545293694007 16.3477322339568 19.5999119731519 18.6955158887244 19.1613806502543
TCGA-AC-A23E 15.3544017139024 18.4583528510007 17.2937218913457 16.3787221125017 19.1217281674643 15.3854050525938 18.6705744697336 17.0623786655485 16.7794162559466 18.1031746877256 18.2925182446935 18.9791514607783
TCGA-A8-A06Y 16.2143856913547 18.9642425970389 16.2674253381869 19.3836542159126 16.1930405350467 14.2718793881652 19.4089149083845 17.7557298448163 16.6904723267645 18.5744848921321 18.0838241701246 19.125944871732
TCGA-BH-A0H3 17.5470058324399 21.6630066928913 16.9284821206241 16.8398731326925 19.4416600341459 15.6395454815878 20.4805086654327 17.9444463297509 17.9362464543537 17.7676661249967 17.9201764837384 18.4878560846383
TCGA-AR-A2LJ 14.2186337993247 21.0839107304454 17.5570911813759 17.9092004803983 20.1826361056805 15.6799943505144 21.7614488301516 18.2930164563181 17.1781878166835 19.4859973074274 18.6888558777186 19.397646418546
TCGA-A8-A06U 15.2487998077611 17.508216366931 16.420032501393 15.3878439855447 16.8593481542125 14.2043146194128 19.556334437247 17.6916671797441 15.9815859034186 18.022074931332 18.5108323408477 19.6097885475039
TCGA-D8-A1X6 13.2069315532572 19.826167331743 13.3699781233235 14.7986460093397 18.2235885356425 16.6260910631278 18.2484922839134 18.7680261357404 16.8227054224905 19.056997464776 18.4056278844953 18.5547477068819
TCGA-A7-A6VY 16.2232712114139 18.5588380749165 18.691139035825 15.4435924801942 16.7377625965102 15.163928303702 20.3584801508839 17.2435328723051 16.0389626934875 18.9927325452157 17.9597956854576 18.8715100672283
TCGA-E2-A15O 13.9640973715169 21.2222474015789 18.4042002074312 14.9061013605911 16.9259292498284 15.129927889376 20.41334860797 18.4338071834729 17.2567058062006 18.8653411774596 18.444365638932 18.5922675096579
TCGA-A2-A0CY 11.7281210915561 19.0335252005802 16.7888850634754 18.635013749517 14.70355069498 15.3024053467387 18.5891107174494 17.5625845080791 17.4872232452692 19.725379958482 17.8535004770008 19.4613530076489
TCGA-OL-A6VO 19.3865793537501 19.9026590695803 19.4607378566561 14.4060904588457 16.0872037328342 11.2727750564054 20.8558796401924 16.9014910574795 16.0615369568978 19.4179436932371 18.2666512392227 18.6342514403919
TCGA-A2-A0CL 14.3857551421239 19.8173267403319 17.4700007261966 17.7738740119157 18.8494001624853 14.5023622024835 20.0523113261438 16.8624939817736 17.1371312591703 18.1591378925012 18.0467440617715 18.7975969246184
TCGA-AR-A0TQ 14.533318919603 19.9582258677412 15.4650412233539 16.2730651681123 18.6380746865976 13.9981098741233 20.0840801401276 17.3938696707535 18.1455509923063 18.2443253614559 19.0392682921445 18.3449726207499
TCGA-E2-A573 14.1628453715147 20.2007307104991 18.9746255210025 15.8158087450616 16.4597321324743 14.6707976571917 20.4448558021825 17.4539269825157 15.6480595073198 19.2150963288356 18.4749845327262 18.6370955779744
TCGA-A2-A0CW 13.0626784135747 16.8470361057726 14.2595922853377 15.095562825571 17.1722474420803 14.916220888529 19.7621075476917 17.1398768366084 17.4046493934972 18.4320097878973 18.427225448273 18.3247092520588
TCGA-AC-A3EH 17.176028015869 19.4732261009792 18.125206836401 15.5809248530095 18.9433868696014 15.0359448589072 20.4102954055869 17.4152215581469 17.716443770549 18.8874144572302 18.6432625518494 19.4606679999026
TCGA-A2-A3XX 16.8944835395799 20.0963142405518 19.4533716061184 15.2628708158305 16.4238761393995 12.886687023717 20.9352975484134 17.3849275402235 15.523238406874 19.7475073890397 18.4555181050168 18.8380305061803
TCGA-AO-A1KQ 13.8545328621574 20.3750107217936 14.8138857573303 16.5201492459717 17.4962758150486 14.2193952356454 20.3905003168606 16.5634463738192 17.3372063398789 19.3759142466798 18.1454749273546 18.766620801932
TCGA-BH-A0HN 12.7776911938291 20.1291199337641 17.9310287553748 13.9784988857881 19.629146001975 14.3552049503131 19.9820661143386 17.4362158358674 16.7565236125614 18.8370374055795 19.0626981393672 19.3161294601715
TCGA-AR-A1AR 14.5187696729387 20.5591535514576 18.1075725609434 16.2943544863548 16.4242008878154 14.2392317453277 18.9717508597145 18.425875509565 16.8625239393385 17.8356490361592 17.6052886195826 18.510073941296
TCGA-AO-A0JD 16.9702623365654 18.0898893243921 15.1126753904622 18.3797193506071 17.8808986616933 14.4048115936023 19.1442581972626 17.2274771150798 17.8961200594955 17.3934179429864 19.3483035963282 18.7594084766572
TCGA-A7-A0CG 15.526099979149 20.9519938171063 16.3873737355348 16.3142301000838 18.8260404437689 14.69033724139 20.101606890255 17.8303744196356 17.3850745233992 17.6292831708994 18.5175333646902 18.8139285944399
TCGA-A2-A0T4 14.811861407742 22.7748810671488 17.346239255067 16.86401699339 19.6520789318921 15.362514439986 21.2028087660527 17.2301564826369 17.3004020533811 18.3883694696327 18.4394255371682 18.6665741386838
TCGA-B6-A400 17.3635265035756 19.1925370373267 19.4738324340147 15.9203891116613 17.3271338160849 14.1703114675415 20.500206248399 15.2489289033795 17.6126101404917 18.9315128445675 17.6583881961427 18.9320623784376
TCGA-E2-A576 12.461141396772 20.1779498111379 17.9850543728986 16.249243060868 18.0667834446193 14.1277968362481 18.7977713221691 17.9607068532711 17.0698687408818 20.4126757747082 18.5502138187414 19.6401235700539
TCGA-BH-A0WA 15.8572951556804 17.4893495901905 18.928073931485 15.9099206505881 16.7228539374382 14.902510966023 19.5728177658833 17.1304389578441 17.9427602317081 18.1807074285621 18.0982003744661 18.111572840831
TCGA-A1-A0SN 15.2685511986067 19.9497331443498 15.5080620314223 16.5316937637313 18.9777741068357 15.8437777402741 19.8004508322462 17.451730637664 18.0255595517861 18.3444956215043 18.979392278666 18.3757438594841
TCGA-A2-A0T3 15.2060943911258 19.8967418268287 15.1932733039876 15.7818448028533 18.0371419061755 16.4544528705736 19.4764499942327 15.0439470916533 18.2504199155682 18.6627242228097 18.2071024168977 18.6920167453883
TCGA-BH-A0AZ 15.4193800232277 20.2950828592467 17.7284446784943 18.1398573414507 19.9494586047653 15.8722559732649 19.65692784702 16.6672751004678 17.513547267477 17.8486961613529 18.1043427624873 18.680817369998
TCGA-A7-A4SE 18.5114171724187 20.7629553274501 18.1679828439552 16.3310399253085 17.7456183696649 16.1552152293599 21.1485502585815 15.8912667071757 16.2458969451457 18.5157359475978 17.9381542033465 18.748827527465
TCGA-AQ-A1H2 13.2283627723799 18.4379744727761 17.7523531264055 17.4747582457442 18.6642480606216 13.8439537853875 20.0403008204568 18.9573044391273 18.6700765199137 18.0694314205196 18.0597054445208 19.7186183921578
TCGA-A2-A1G6 17.0106752886538 21.7593895612804 18.2875456325441 16.2942319860068 17.6411713147601 16.3755846736367 20.5274875910962 16.7007683344618 17.75981146316 17.3087105844224 17.5090301610388 18.7432177674176
TCGA-A7-A13H 17.1517577952461 19.2588517949064 17.0818867712486 15.9494259006262 18.8532583187331 15.3340434511217 20.5480037989321 16.8043010344313 17.5855275773226 18.5212864602059 18.5286700629913 19.2105397180343
TCGA-B6-A0IP 18.5092030970143 16.7942645389664 16.1821401773305 18.3077860624431 18.0193823670353 15.0949416953028 19.1971221601018 18.3564475833331 17.811804204642 18.3601856435703 18.3425856368765 18.7778176365068
TCGA-A2-A0CZ 17.0139194808417 21.7791626898741 17.9631697117093 16.7425375380848 19.5773714527069 15.3660705576546 20.5364928285531 16.496081353742 17.5696497076497 18.4599489682376 18.4137292088179 18.8899101737704
