X729 X735 X4153 X5265 X10747 X2159 X717 X2149 X2 X7450 X966
TCGA-BH-A0HW 9.06317925635596 3 3 14.4890092653543 13.8283707233004 12.4779724613432 13.5730136474096 18.0487246896689 19.5846462418474 17.9982546771495 19.9091801874366
TCGA-BH-A18S 9.02926354353624 3 3 19.8158757192793 11.645438204782 12.3394032234327 16.9740670959198 16.5344844975517 19.8721681714061 17.7737317070481 21.6160755538887
TCGA-D8-A27E 7.65106251483226 7.74568735907693 3 19.9460822569361 13.1767604249506 11.3421296216741 18.2638189800962 17.1578155963936 20.8591293010029 18.1269402357267 22.9468738057569
TCGA-E2-A1IH 14.6546477115696 3 7.61936060135687 18.6312895846909 11.6327221851611 13.6513679206063 17.1098301239373 19.5921932140536 21.6742189095154 18.2019882574018 21.9239162290768
TCGA-A8-A091 13.425983232939 7.97181326474543 6.22857161588777 17.0918604315549 14.1628877770106 13.7638550149615 14.7705234777038 19.4541046102691 20.8631060094321 19.2629721818224 20.266404953965
TCGA-A2-A04W 8.0071919379352 3 7.43878708621364 19.2220428078331 10.9316759471337 14.5249412845963 16.2433187079259 18.6041599671038 21.9859473264592 17.9253718149543 22.0469625241845
TCGA-D8-A1X5 6.73738083680723 9.64473727827728 3 17.8086231484489 10.2506565097605 13.1580081282133 17.6762761487637 19.014919444864 20.9508939251854 18.2267954000603 20.7982032010739
TCGA-BH-A5J0 11.1872153782615 3 3 20.2805676904316 9.70089565836383 15.3751964685167 17.8545146253996 18.3637924079502 21.2816367928938 18.7324387720168 20.2784116083279
TCGA-A2-A1G1 10.0895681422869 9.41673149262779 7.38864731803489 19.0652742519092 12.4429056959817 11.7280158996845 16.9926087400161 18.7170849863317 21.3889136087162 18.1723063366635 22.6553022040532
TCGA-A8-A097 13.5158326224835 3 6.37020711508276 18.9576265711986 12.3484419051157 13.7061572157227 16.8136445437923 19.289245156385 20.9566133372042 18.3536344655643 19.9143295028815
TCGA-C8-A130 11.2295450458687 8.09302860056931 3 16.4792198637885 12.5698235596056 13.5458829539937 15.6701865484462 18.693657639278 21.4638636681875 18.9260542633647 19.9276137810197
