X282617 X5473 X6346 X1437 X282618 X3456 X5196 X6366 X5617 X2688 X64806 X6363 X6360 X6358 X2322 X8600 X27190 X3576 X1524 X7042 X7173 X4982 X55504 X1489 X7043 X9180 X3791 X5154 X5155 X90 X23765
TCGA-BH-A0HW 10.6683295756738 8.79620627493218 3 8.66039789711283 11.8337490881484 8.53671069696515 3 16.258186209576 3 3 7.88469070846144 11.823149967201 3 3 16.0437380787298 9.43724488859522 12.596650902583 14.1567049648157 13.5256547648671 13.514613735161 13.1783969427008 15.2464793817554 14.5543842717215 16.9693097437283 17.3279313892943 15.6480408957967 17.8237756649428 15.8730010441 20.0838928703009 16.7460933833342 17.1548116574166
TCGA-BH-A18S 3 10.9341267094736 3 3 3 3 10.1815829706422 10.1533986011399 3 3 11.9960459786799 12.1327449037976 10.4574178581458 12.4922736302647 17.0391316616705 9.01620973610633 11.1730393242972 14.7751102327261 17.4073159593839 14.7732775894864 11.7394922691393 13.5458373113248 18.4545013394862 17.7485469215325 18.1300104641248 17.1551615811977 16.7877952893723 15.9721521579235 17.7858311546198 18.0290859390536 16.2834093209548
TCGA-D8-A27E 3 3 10.600832928729 8.62714239673051 3 8.50351593909696 9.9908555623169 11.6915454980732 3 3 9.81395495980374 15.6716055452173 9.78476074827182 11.5471011781797 11.5919130225913 11.6126482552063 10.9816087539518 11.6554011508767 18.0722569124338 14.6723128796645 11.3890816427573 16.1431450270466 17.6449088954331 17.0508477768244 19.3908776623031 17.5723905825154 16.9253566032423 16.2715779717999 17.3654876380546 17.5793764190181 16.8334762573756
TCGA-E2-A1IH 3 12.0515882877291 3 12.5498026018399 10.6249173431564 3 3 17.0129053375317 10.9529475749454 8.17717506733338 3 21.6836009653594 10.7691108679526 14.7199584471422 14.4838824395249 15.371008754784 13.2898361379284 15.5091803457617 16.613988988067 14.9161742562538 13.5104824583989 15.2623011099524 17.7251506363074 16.8940160964806 18.8361761458189 17.8154985726281 17.9937302711727 16.6803444331749 18.138964206621 18.2685842183772 16.3207329782287
TCGA-A8-A091 3 9.98173988139201 3 3 8.16475536446536 3 3 15.9164211903038 3 7.69972716138475 3 17.2960848645837 9.91826502273538 13.1937155193701 12.2568469224589 11.3621288535963 9.95870693386157 11.9285175614193 17.6286394895248 14.1183296696177 12.8901976138297 13.1582112337661 17.2878586606709 13.4714743095899 20.2404454352911 15.6963027090653 18.0541170427593 16.7160316493222 20.1624191244623 17.1175213205551 17.0243702317309
TCGA-A2-A04W 10.5889125663214 3 3 9.5670632621208 3 3 9.9453359209681 16.6953857459726 3 3 3 14.9281380689931 9.42074119891303 12.2546042695307 10.741684472355 15.8539438207863 11.5189043618888 20.0244987909059 12.6600433510822 16.9034900592731 11.4804341973528 13.8574553547956 17.3308719153116 15.426005376846 19.010317094902 18.0652062873416 16.9516047864725 16.4612103376547 18.1398317305305 19.0932411875504 16.924670664959
TCGA-D8-A1X5 9.26362039970223 3 9.64038799516889 9.23437724647371 3 10.0993519365051 3 9.00617987127115 8.45495003976332 3 3 13.141704166902 8.10952772036189 11.072931343732 10.7270019625176 11.3304165173721 3 15.0940111516177 13.0010595603224 15.3058547528572 13.5557056352349 13.7286530175123 16.0872708314777 17.3970287159282 17.9703441495016 17.3980436400811 16.233568667225 16.2466644922092 17.0967602707767 17.6155005962589 15.6756259709606
TCGA-BH-A5J0 3 13.9115738647551 11.7271475783215 12.3152391554849 10.1998874336266 3 11.6982652112038 21.2394265852936 8.55067664733594 9.72291354606009 8.5475747428901 20.619141272172 9.76331269805077 14.3035238733677 12.9126691223185 13.2185738105416 13.1519096172994 15.5637739969433 15.3266364001669 15.5943108521282 12.6212987060452 14.4573341911254 15.9398513108173 15.6423694040626 19.2801689753025 17.0020025541079 16.556413243338 16.4705824525854 18.4815393606005 17.9091756991581 16.4038040226007
TCGA-A2-A1G1 9.54433210115952 9.65199657147196 8.93372210807553 11.82427296946 11.1885356009579 10.9636176656695 3 19.0862322983906 7.76000193337432 9.90744492640899 3 18.4200156590224 3 11.0352173987714 13.0986737985599 15.0828196567773 10.8835176581383 17.2008594267406 14.5879722077117 17.8087300274958 10.0904517562774 13.8742595757274 15.5428173037266 14.0195466781612 18.4605863999047 17.632801280458 17.8008967393083 16.242391147592 17.7660915687337 18.4906716442954 16.7253702224921
TCGA-A8-A097 3 8.573591291039 8.84071650936536 3 3 3 8.81227531918131 14.4403308980099 10.4269096191494 3 9.94168866280395 17.0741387061405 9.2753366941215 12.8435646872734 11.0955002525144 14.1010144625783 13.6166001951471 13.6428445416687 16.3351902173197 17.2304596044593 12.8637607140669 14.2041857829223 16.389702895202 15.9575110210048 18.5620105255995 16.9279716661352 16.6828785237573 16.7250263090982 18.7314530139285 18.4576317003568 16.4312947158062
TCGA-C8-A130 9.99786152304282 3 9.3850290708844 3 11.6449285037408 3 3 15.9829334269568 9.76180698442163 3 8.20010771295809 16.9061769328931 10.1411173348322 13.0737470428997 15.170118360085 11.7491659095953 13.3362496630229 12.9194435240108 14.018280861964 14.7743684963872 12.8610448719492 13.6365287574438 15.2029119743436 16.8597673125958 18.1732314128646 16.8252914883279 18.043927073056 16.7601010048874 18.4476019312204 17.4745415382746 16.3092341061737
TCGA-A8-A0AD 3 10.9477030992986 10.6364998685723 3 3 10.1027052189244 3 12.9883565602439 3 3 3 13.4079011088791 3 10.3428902048589 9.99792033587461 11.5138300110341 9.61153126127357 14.5336448307076 18.8116160273897 16.0685485610832 12.4757601640554 14.6869490322909 18.1116951966669 14.7680152300783 20.1964610189202 17.7929706584845 16.8026083591265 15.7767490275024 17.9723569984787 18.4963042482125 16.7203841895529
TCGA-A2-A0YL 8.77846307042772 3 3 3 9.61417533183883 3 3 20.4734202325996 3 8.15946451131958 9.93754465998684 19.1638889842726 11.386013805331 14.5752540221467 14.6109833964621 13.1563379022544 15.2301244006305 14.7465164621492 16.9363672920447 18.224421458387 13.6532773409234 16.5814893127824 17.364157138749 16.9618470330533 19.1288598560336 18.6081325297146 17.7580747033716 17.1594101969269 17.772875965803 18.4044852251598 16.3214344777903
TCGA-A8-A09G 10.6705718383858 3 9.06629885601301 9.64829530134517 12.6825905984274 3 3 17.0641736099851 7.88993040383009 3 8.86227849974542 18.872691911182 8.5177150624981 11.7121537620914 13.4904304088509 10.3063657503088 10.3429193531297 12.3531788964509 15.7132402375187 12.8076772415114 11.6262489222576 13.9893863211582 18.0465881522949 15.5425471356313 17.2946599236395 16.0446520212773 17.9272142728749 15.2657772360087 17.8097518709602 17.9958350249157 17.6305640426033
TCGA-A2-A25E 3 3 9.10492425366887 9.68711235519099 10.1453014448138 10.1419623009744 3 18.076366759513 7.92782807368937 3 7.92476271684887 18.3727646188214 8.55607330949705 11.9070399876161 15.1012931342117 11.9243598672993 11.2260311923436 15.3904426994944 13.5353953120295 14.3725613237604 11.3904671561701 13.4874236099318 16.9957648115524 16.0727709954978 18.4218573049018 16.6218065255864 17.4281262990859 16.2428354045154 18.8006318000626 17.9563875626954 15.6307915462556
TCGA-LL-A73Y 12.3218870518134 9.98045726157454 11.5670701010805 11.8337320484091 3 3 9.23170802500014 18.9522069844384 3 12.3988485273831 8.07736474814356 19.7841934890562 8.71042146449718 12.4506414067713 14.1504994615796 15.3701795889416 11.0217202434592 13.7924366752316 14.9818097020036 16.4229199129533 11.7142340415911 14.5935275138519 17.0051328141201 16.8797254576769 18.1707805491656 17.7983581241161 18.3881662844044 17.3279457848076 19.5134804895979 18.7330037383524 17.0262238224446
TCGA-AR-A1AK 11.8142619981027 3 9.40199407457748 9.98549591383522 12.553495175181 12.3094784789867 3 18.6358664639843 3 9.38761866235333 3 19.8269983109599 11.4152959060047 15.5309205726335 15.179905944089 11.4301321375678 12.9975706272343 13.7295212727369 18.1001898468934 15.3327067995217 14.2299343401375 14.4872840892232 15.4115872637062 16.8854631021189 18.6974062842729 17.746863972962 18.1693416202943 16.4760358515997 18.0085995149941 17.8281495050681 16.8896236863752
TCGA-LL-A740 3 10.8178715952564 9.5147119965265 3 8.98805950490462 8.98474962113938 11.060273338309 19.1174912762487 3 3 8.3278766355766 17.1234188287873 9.54065922254016 11.4301728629002 14.3803077846074 16.3796289594078 11.7915049922544 16.528949566831 16.4350174971188 17.095422511914 12.2925395098486 12.9726013875832 16.1877824276361 15.2273301972239 18.4125173286 17.5131292178377 18.2886045897396 17.3230310765196 18.6347521760891 18.9922963671323 16.8389769168003
TCGA-A7-A425 3 10.6230689606361 3 3 3 3 10.2834547509991 18.753603317273 10.1094269631185 9.30690593641345 9.11671311645214 18.9428669456493 13.0311664295478 15.5728818699364 12.4468132124047 9.43499883300489 15.0910956224432 12.4510780630581 17.0563764631495 13.4309052745147 13.7620932486129 14.1249746643167 15.9708716360156 17.0094335627331 18.2339867675433 18.5732449158594 16.1967752414891 16.3420877675697 18.1724404706472 17.3186510035813 16.8331903507948
TCGA-AN-A0XO 8.64266728049789 3 3 8.61363365806137 3 3 8.98858103240754 15.3526105430369 7.84166789135294 3 3 14.029268136423 9.77109735874478 10.9277047988214 14.4725893471595 13.2808272065754 15.7632079991767 14.1622212886599 14.3289908619475 17.3877351003373 12.0366974163109 14.5208782986302 16.3811184089857 15.1974381538555 18.0348621101605 19.6706415260047 16.9928015449759 16.7481416212631 17.9008774671938 18.7667231083059 15.6288969824906
TCGA-AC-A3W7 8.6237974297005 10.2971909914762 3 8.59477169375502 9.45817700936291 8.4712057201001 3 18.0863350320131 7.82308599346572 8.98380282566226 10.1005074768274 17.5344005786427 11.9431375072808 14.305178304583 12.590941592547 12.4984725141728 14.9204948510741 13.8290184757027 16.9370396649631 16.8904576459349 13.8293317537381 15.2861126119458 17.2025699668852 16.5982446370251 19.1718693097366 18.0004178748293 17.1162224548181 16.8635157903711 17.9189966308667 17.8670080638874 16.1062416818908
