X112714 X114 X113457 X111 X3357 X80310 X1902 X196883 X7846 X5154 X5155 X10746 X5566
TCGA-BH-A0HW 11.6647791403272 3 11.421324640889 12.6852486311008 11.5818664133226 16.0896366601176 17.6639485316984 14.4766206207418 20.4057675231233 15.8730010441 20.0838928703009 16.9062097057608 18.6187042554512
TCGA-BH-A18S 8.8447523376625 11.2656892744342 16.619827195353 13.8347579408801 12.8633851747672 18.887375107081 16.8597665308816 14.1776554936116 18.5098348415615 15.9721521579235 17.7858311546198 17.5490825360533 18.4718681754503
TCGA-D8-A27E 10.2219446208402 10.892073566505 12.2785856130456 15.1541919947944 11.4810911174262 16.6032999753586 16.4391556671009 14.3621378980192 19.015638502698 16.2715779717999 17.3654876380546 17.3915931364905 18.7199024879425
TCGA-E2-A1IH 12.0208618187999 3 13.501045239997 13.4849468839542 13.9287791524226 17.8528686578203 18.0649806461632 15.6604350895837 20.5722864205663 16.6803444331749 18.138964206621 17.6038888840099 19.3662660399495
TCGA-A8-A091 12.4879936242593 7.70414187409255 14.4350396206954 18.6532768621625 13.0928482609218 16.6135013310786 17.2797965890644 14.9664763999006 19.6769534356711 16.7160316493222 20.1624191244623 17.7043739771723 18.6931627950941
TCGA-A2-A04W 9.59638666405733 6.74266179726588 10.5377200348285 14.5410803327678 14.8972036613692 15.288532432121 16.6054086060433 13.7185884315695 21.3177709142219 16.4612103376547 18.1398317305305 17.0783252759211 19.33313595392
TCGA-D8-A1X5 12.5685490164001 3 13.9753315045575 18.5542064010153 13.6338101123893 17.669236656154 16.5666214096517 13.5449566906913 19.8506300711635 16.2466644922092 17.0967602707767 17.581628251183 18.4089870635851
TCGA-BH-A5J0 17.3815920460763 6.52313870618241 17.622114912184 16.3524270918135 14.1226255817353 16.7919980589572 16.8434844460603 15.1180918774359 21.0639379976411 16.4705824525854 18.4815393606005 16.3707571771747 18.9404763767419
TCGA-A2-A1G1 7.58997440593822 3 11.7286591018401 11.0320622067339 13.0100038514518 15.7101816612438 15.9414619218968 13.8147883873154 21.4003337029558 16.242391147592 17.7660915687337 18.1930978046511 18.871086021287
TCGA-A8-A097 10.251044185065 7.54653045189876 12.0858196630869 13.8674423848339 14.8692975395909 16.906513456466 16.7239590026698 14.3984313437531 20.132422165063 16.7250263090982 18.7314530139285 17.3916952424736 19.1804551259893
