X63928 X1852 X8823 X2253 X2264 X8913 X7042 X2353 X2247 X55799 X10125 X2252 X10912 X3315 X7043 X22800 X3725 X5924 X2122 X4214 X782 X408 X23162 X6196 X5154 X784 X5155 X57551 X6416 X6195 X5871 X207 X4790 X6885 X10746 X5908 X1386 X1399 X998 X5566
TCGA-BH-A0HW 7.11934283749634 3 8.59374407326902 7.84847445582232 12.5707854075906 6.70662543808413 13.514613735161 18.8978594680386 11.8864055910653 11.1122175168595 17.1266363904957 10.645835016372 17.7130769855659 23.1236060717142 17.3279313892943 16.959742373928 18.6542858391382 13.2028291565759 13.8719401347522 18.4056371654268 15.5550601549367 18.451922361455 15.9509499198034 16.6125657489716 15.8730010441 17.3480329370207 20.0838928703009 18.2519289312986 16.5926151579158 16.6104547803203 16.2197253569035 18.4167874344729 16.8850108061581 16.7444792529357 16.9062097057608 15.3433194299674 17.6796369287217 19.5466757606321 20.6445514637321 18.6187042554512
TCGA-BH-A18S 3 3 9.32483798067032 3 16.0900440340939 8.20457242623723 14.7732775894864 20.9973575716865 19.988728916443 11.8962647614613 11.9265622104538 14.5042713800932 17.9899203457782 20.2865787799759 18.1300104641248 16.725265428414 21.3823486568548 13.746361699916 13.7140751979141 18.6143742741151 14.2835464039579 16.8864557186536 15.0009763277741 15.096619192701 15.9721521579235 16.3105927584576 17.7858311546198 17.5246906921124 16.9396503548286 18.0346816148888 16.4361271467236 18.1862390560455 18.1574505269796 16.5429681043343 17.5490825360533 15.9159944985183 18.1804943879597 18.9179314270204 20.823002516576 18.4718681754503
TCGA-D8-A27E 3 3 10.1249580521655 7.81573156675942 11.7386328790437 6.14574230090176 14.6723128796645 20.0831282804438 18.4305609007611 17.8096659561813 13.0882583043007 14.2491281743146 18.2146330841439 19.7298079998976 19.3908776623031 16.8317518372035 18.3937961861512 13.975103879001 14.9333940389167 17.9215196808541 14.0372006090106 18.2346458207402 16.1483435254826 17.0824462539527 16.2715779717999 15.8389528536021 17.3654876380546 17.6986123266873 18.4868597899454 18.0779569620419 16.3592979938972 18.5321073220957 19.2518439363393 17.1009463676732 17.3915931364905 16.2808368165409 17.9322814795008 18.7394453788671 20.6415872725747 18.7199024879425
TCGA-E2-A1IH 8.18305233681117 9.52268892801195 15.7333988608696 3 16.3795766835052 12.7611540701274 14.9161742562538 23.0481686368442 15.1289137340186 12.4403990659812 16.9417673307385 16.2629305560199 17.1547053380854 23.1497234472828 18.8361761458189 16.6268115314319 20.4413878672822 16.1712922544094 15.8562680010012 19.2470111777926 14.0768204594008 16.3479496086238 15.6354128210306 16.8876441558395 16.6803444331749 16.2819197562719 18.138964206621 17.5960972849142 17.3363666998368 16.8955693824062 16.1402052678443 17.3602928694928 17.7942723811789 18.1424421916118 17.6038888840099 16.6546113389728 18.3055474713216 18.4569275799096 21.1578112018232 19.3662660399495
TCGA-A8-A091 3 6.55647382116478 10.8854205018966 3 18.4585699166342 11.3269492895312 14.1183296696177 18.3345810451335 13.1921938005879 11.1747643008023 15.5017161081575 13.4154446083606 17.6560131549523 21.9658089067972 20.2404454352911 13.6142487397996 18.3082396440509 14.2066483982195 14.7238456432439 18.3471725725344 14.2626725567829 20.3139903972139 18.0613637502739 16.0889495408212 16.7160316493222 16.6963421340194 20.1624191244623 17.5322339904338 17.8355133899073 17.4732375107948 15.3446336240677 19.3178210873771 18.3281965946207 17.2720102188577 17.7043739771723 15.5367194654282 17.8398155080359 19.385184065338 20.5138327914091 18.6931627950941
TCGA-A2-A04W 3 14.8421122094791 12.2933922852138 3 14.1639254545927 10.5783044042993 16.9034900592731 21.6365970577499 12.5771543229141 12.2705198582497 12.3008317151427 15.1651312617743 16.4760320969645 21.0576546573125 19.010317094902 17.6781502734349 22.9478837629941 15.5398528237193 14.5710812618054 16.3657029276127 15.3311677008251 15.8003948024683 15.7731969370806 17.9668053961406 16.4612103376547 16.7908715744395 18.1398317305305 17.5052835458363 17.2454048524352 17.861949899509 16.1181507810694 19.5896859301675 17.1182760353805 17.4640049261753 17.0783252759211 15.7632182669649 17.4323241573096 18.8378395382324 20.9733775013518 19.33313595392
TCGA-D8-A1X5 3 13.098271291863 10.1571994580143 3 13.9294547788422 7.2528895648553 15.3058547528572 21.5075786674122 12.433317804552 11.6040087095094 14.850528244106 14.6935066327776 16.930417037199 22.9505476280903 17.9703441495016 14.3676204034899 21.2250648844587 15.1028868893189 14.187624756022 17.6325325223812 13.7580019521878 19.9706143808981 16.9562919547476 16.8229259830108 16.2466644922092 16.3731846350265 17.0967602707767 18.3419741341317 17.5199897309063 16.3504102795872 16.0803500091676 19.0189462649585 18.4086499475883 18.3213675324792 17.581628251183 15.366579294569 18.3726128056536 18.2725608990126 20.7080683125066 18.4089870635851
TCGA-BH-A5J0 3 12.4034232369918 13.9461133596158 3 15.6442763713569 11.7575120701011 15.5943108521282 20.3477930431526 13.5744559281355 11.5551810896639 16.1506302316187 15.2043853434049 19.6111424133964 24.3388188758929 19.2801689753025 15.5107220086955 19.7661812681364 14.9594729898229 14.3703258490494 17.6507882287762 13.8489504391547 17.4329012050124 17.2685695458103 16.7651202866986 16.4705824525854 18.2881364963345 18.4815393606005 15.4649816433078 16.5055992964521 18.6890877500244 17.0001718354583 19.0236391298485 17.6948565851991 16.4924313810259 16.3707571771747 15.3889706855079 16.9275037657281 17.8504444767208 20.8522805440737 18.9404763767419
TCGA-A2-A1G1 3 11.3853472855173 7.49650065650349 7.72085214031306 14.4673417875524 8.08727096929972 17.8087300274958 17.6000178059001 12.7525986064819 10.7442707290109 16.1622008301578 14.5329510879324 13.7740638814443 21.2306433160027 18.4605863999047 19.1613973352439 18.3174994233671 15.3733982471416 14.7091500037915 17.4492770298629 13.561569412035 16.6365382200808 16.4724895957304 17.4053990126372 16.242391147592 15.5513002683278 17.7660915687337 17.7473621413687 17.6711941301424 18.3194262769601 15.1360156390098 17.1106440614316 18.4475508823095 18.4146233320821 18.1930978046511 16.6040206331694 17.8682342814712 19.2674524007347 21.0779968015772 18.871086021287
TCGA-A8-A097 3 8.21044561614512 11.7991976676671 7.62995085948226 11.0023561051329 9.70049639849222 17.2304596044593 20.5366344912603 13.4596651017157 11.394449950069 14.8775385554771 15.1269566546945 16.3740800107304 21.7999271764164 18.5620105255995 14.7061996048301 19.450637940338 14.8563163594421 15.3054747281117 19.0853927946485 16.3873432996396 16.774657973304 16.167843893829 16.3197422339559 16.7250263090982 16.7278468945797 18.7314530139285 18.0162106677724 16.7990282043942 17.229762787531 15.3683554378527 17.4784527432378 18.04200707275 17.1514818429537 17.3916952424736 15.8225387922266 17.7595322575981 18.8053164767202 20.5599770190111 19.1804551259893
