X63928 X89869 X114 X111 X6790 X995 X196883 X891 X6196 X6195 X5499 X818 X801 X5566
TCGA-BH-A0HW 7.11934283749634 3 3 12.6852486311008 17.0204397263363 14.931667995323 14.4766206207418 18.6052276576547 16.6125657489716 16.6104547803203 20.2099728582034 16.4600305200804 19.8079095558819 18.6187042554512
TCGA-BH-A18S 3 3 11.2656892744342 13.8347579408801 15.5055883137546 12.7692330042762 14.1776554936116 17.2617156467861 15.096619192701 18.0346816148888 20.2012489646898 16.8039324005034 19.0632019991675 18.4718681754503
TCGA-D8-A27E 3 10.8900666125726 10.892073566505 15.1541919947944 14.7686756417801 12.201739953394 14.3621378980192 17.017397085224 17.0824462539527 18.0779569620419 19.8766704271901 17.3666208447764 20.1215868467701 18.7199024879425
TCGA-E2-A1IH 8.18305233681117 6.74624792672314 3 13.4849468839542 16.7773590333762 14.6888714489808 15.6604350895837 18.4636139412616 16.8876441558395 16.8955693824062 19.810038838747 16.6958266737697 19.9525023579274 19.3662660399495
TCGA-A8-A091 3 7.77937533369996 7.70414187409255 18.6532768621625 17.6818285686711 14.4941155952942 14.9664763999006 17.6961177196157 16.0889495408212 17.4732375107948 19.1849074007248 17.1156182725393 20.491519337285 18.6931627950941
TCGA-A2-A04W 3 3 6.74266179726588 14.5410803327678 17.2186048582386 14.6436579054088 13.7185884315695 18.8673220199298 17.9668053961406 17.861949899509 20.5374291822927 17.3329690798559 20.3249905147091 19.33313595392
TCGA-D8-A1X5 3 3 3 18.5542064010153 17.6848905032291 14.422529958114 13.5449566906913 18.1365980375795 16.8229259830108 16.3504102795872 20.8145428456873 15.9397280372309 20.2365488836515 18.4089870635851
TCGA-BH-A5J0 3 3 6.52313870618241 16.3524270918135 16.5724292217417 15.2490583838478 15.1180918774359 18.7222493079066 16.7651202866986 18.6890877500244 21.0852141001552 16.6293527208443 20.4457220175046 18.9404763767419
TCGA-A2-A1G1 3 6.52433152839462 3 11.0320622067339 18.7764443080984 13.1173596448339 13.8147883873154 20.2752066183283 17.4053990126372 18.3194262769601 20.2133784502144 16.4168879110686 20.1011583830785 18.871086021287
TCGA-A8-A097 3 7.37006691009399 7.54653045189876 13.8674423848339 17.7617916833832 15.616737015416 14.3984313437531 18.8013726400665 16.3197422339559 17.229762787531 20.0778125687304 16.4284060317111 19.6746756643904 19.1804551259893
TCGA-C8-A130 7.42779677010587 8.87568064032611 3 13.1566615729758 18.0893639507558 15.3171083263598 15.5317582755369 19.1833724149719 17.0184298164119 17.6334360339515 21.2018853056605 17.4975676479563 20.3660937969976 19.3135360539366
TCGA-A8-A0AD 3 3 3 16.2953745064563 16.6314374849298 14.5139317447135 13.7134765652971 18.0972411507278 16.2350219309654 18.2786739304065 20.0365528391963 16.0291597218525 19.6650003230071 18.4846746560628
TCGA-A2-A0YL 8.16533972156289 11.1449737809064 7.45354325003665 14.941930210531 16.5934700041113 15.1533714530079 15.1414600632413 18.4979947458214 17.3205495708879 17.2992892715499 19.8180847574667 16.6253974383176 19.5861731652433 18.4920909571929
TCGA-A8-A09G 3 3 6.8187630498853 16.5275317578839 17.4807330277218 15.4917086918227 14.1867559101127 19.4455225862187 16.7911380922117 18.553681252668 20.4959049405718 16.676212974767 20.2627500592258 18.1983227049013
TCGA-A2-A25E 3 8.59716007649431 8.37214773696432 13.339042320323 18.7726493926557 16.3550379561971 14.3874474467297 18.4492408949591 15.3452824230263 17.4858483500098 19.0877331334507 17.0696062011059 19.7726044896768 18.6980769058058
TCGA-LL-A73Y 9.83052326158177 3 9.51032375515347 13.8441598421685 16.8480737799874 14.8836190712279 15.4969738596611 18.1668855613892 16.9412720147284 17.6502146349997 19.7201619308366 16.6582565229561 19.8654380842994 18.4368980162612
TCGA-AR-A1AK 3 10.0489290371458 11.1455136812917 17.0149279162968 17.6427916898214 14.9223504086638 16.4699058142121 18.4188133609286 17.0722506385063 17.3071912135981 20.8824066755949 16.5599510487661 19.5713693449748 19.1321712210009
TCGA-LL-A740 9.82505149842845 7.07060533671003 7.24512045384381 12.1348217046752 16.4359048288244 13.7653124471467 15.2699349083869 18.1940880510152 16.6753049646952 18.9324662735135 20.443410405044 17.6712842002402 20.1788145643735 18.279773402801
TCGA-A7-A425 3 9.96784729508281 8.58653319522621 15.5837121266708 16.6336074047115 16.0428540937001 16.3113275299364 18.6715764607006 17.20413148176 18.2358747310269 21.1077006240851 16.8803327245878 19.2354793129539 18.4199934561384
TCGA-AN-A0XO 12.9648502888325 7.54119929260461 5.87427915478252 14.5426317839924 16.6969211391358 15.6254916902273 13.1223798136542 19.0412830050942 17.1945022697501 17.9927270906387 20.2785057348527 16.7573091356459 19.8554745057299 18.5581792941473
TCGA-AC-A3W7 7.05630113428275 10.1691068003435 6.75454584410486 16.558081497796 15.991231304923 14.9339489319318 15.6656379865368 17.5911533159202 17.4636483081644 17.8521176619776 20.360012361369 17.2667936606083 19.4184787970421 18.6360652958727
TCGA-BH-A0H5 8.38018449256085 7.88647999984008 9.73578090976983 17.3000841642953 16.4203763912984 14.0566724387986 15.2455560457781 17.6020865920332 16.9123210722036 18.4320427942328 20.3372993226339 16.8033371880838 19.6417070595003 18.4987669076571
TCGA-C8-A1HL 3 3 3 13.9819601820578 18.6502309368871 17.4481562169783 15.6599559655402 20.3235197070689 16.7449227129027 18.179389821093 22.0042329598534 16.8472395562028 21.2947088535627 18.8167222083532
TCGA-A2-A0YF 3 8.4155000424535 6.68310606124205 12.437333244637 17.3035520698011 15.7342238956291 16.9242057193111 18.7215363297748 16.5930321663377 17.6951434614443 20.5913693707682 16.7555877737359 20.0673688514616 19.0131731118139
TCGA-E2-A15J 3 3 7.61637788924084 12.8828423933526 16.435926196139 14.8706528545241 13.7977929534277 18.4428263698574 16.2250000880152 18.3808626461566 20.1334172487022 16.3317041465046 18.7874192862667 18.9639376749251
TCGA-BH-A0BW 7.32103153563062 10.2079461876907 3 12.5995235539737 17.9329939250486 15.4273049936282 13.0430818405631 17.8280623700262 14.0639920186181 18.2578293786463 19.7167703092467 16.9775598587456 19.2659075167557 17.44037667576
TCGA-A1-A0SJ 16.9308590252956 7.88351403135441 7.10504225651548 15.9665841414674 18.6558237568012 16.1915612867768 14.9179564001314 19.4194456000589 17.4222568246115 17.0778013311643 19.9783805724465 16.1242724323197 20.883440922299 18.4729307651209
TCGA-A2-A0EY 8.88660555868367 8.38860729513548 9.55406642718453 17.0380979177538 17.4841890265866 14.3232757134381 14.2659691945051 18.1615097536468 17.2339014244139 17.72485931993 20.5182418162607 17.2284684242248 19.4569839589758 19.3405143620118
TCGA-A8-A07R 14.1875842427521 3 3 14.7296215277156 20.038688854364 15.7546763192628 12.3438106321253 20.0189487203931 15.240222635053 17.8129590262148 20.7661221611752 16.5291405598168 19.9357023957624 18.5114213698996
TCGA-BH-A18G 10.8422977028725 8.76946787951744 11.8377013413036 10.6091221824642 17.6846666585148 15.8846943593797 12.1085019738147 19.5623637193006 14.437838965208 17.2695389613876 20.8348468793234 17.4354751945989 20.618538615852 18.7224729398465
TCGA-BH-A0BR 10.3792602656475 10.3855351420584 8.59198540090571 12.7550984642029 17.3058324864713 15.3681418387486 14.6803114331797 18.9775704302384 17.5932526488793 18.5575414925017 20.4701525385145 17.1316655433267 20.1182711064636 19.1137877697081
TCGA-A8-A06N 3 6.25878160698099 3 18.4229453233658 16.955856082275 14.5705199535273 12.8153765503578 18.1054246239979 14.0318612542869 16.145734704516 20.0524986666517 16.4353739357429 20.2102928048373 17.9949407439065
TCGA-AO-A03M 6.99208403997003 9.57531864762527 10.2285724101007 13.4451754858817 18.3602096382916 15.2646216833566 13.6233171950308 18.9116449039801 16.898299515365 17.7076176098702 20.3770270010143 17.2159577996929 20.3919522624626 18.5039129692723
TCGA-A8-A09X 12.5888236132702 9.33118425938613 3 11.8532877891824 17.8063475080018 16.2239055643826 14.4440487023638 19.992377974429 17.0890338371177 17.609076643507 20.6424976267198 18.3126195001722 20.5518614110692 18.4228210028821
TCGA-E2-A1LS 10.1412149906534 12.303055677635 3 10.0104778343124 16.8798904606321 14.9619706636747 12.9210252370856 17.9398531649073 15.7204208258618 18.4831485605572 19.7555339883835 16.0928740104166 19.3927130610336 19.0234832816529
TCGA-AC-A5XS 11.0008158873323 3 6.48484964668406 15.8476539730536 17.54423479117 15.6401824495724 15.7417327199179 18.6439019079294 16.2768564074186 17.2949883629955 20.9077429813934 16.3577953635458 19.9804263201704 18.1623153680293
TCGA-AC-A23E 3 6.66156743211787 5.93053066305973 14.3317943446397 15.5184389072812 14.4777131264871 13.2112853956307 18.0049022844134 17.3568513752359 17.8346147764722 19.7892370834061 16.756982083201 19.9199345783104 18.9287430119105
TCGA-A8-A06Y 3 3 3 11.202888214266 16.287439673796 14.2194554694443 13.4612883342585 18.095160207223 16.5897554019111 16.8672931555342 20.1051275076488 16.444230820124 20.6926657146222 18.4639774039295
TCGA-BH-A0H3 8.12141826441337 8.9171087352249 7.41043696017499 14.2964334471033 15.2207181198263 12.8132173895677 14.9887472858431 16.9495942461123 17.413526691864 17.4542866585914 19.4328587685118 16.3427077160884 19.6763532417929 18.7192400644105
TCGA-AR-A2LJ 7.61598702717047 8.66141266264251 3 15.2919547202074 16.1592027442646 14.676878409293 15.4275004877649 18.274887878707 16.917302371586 18.5681734036699 21.1299936346227 16.5236772085405 19.5678380626708 18.9333520203658
TCGA-A8-A06U 3 7.01990183777599 3 13.2545484136496 18.32539625974 15.94552292997 13.7107951921151 18.9081441106089 16.4815503835169 17.3527979452593 20.6549997121887 16.5784277487977 19.5561437885511 18.9225029825248
TCGA-D8-A1X6 6.9783272107423 3 3 19.4056995389958 17.08594802313 15.733328250367 13.922307603071 19.4427127550961 16.2215550899793 17.4172254792916 19.8121657992823 16.4054495572312 19.8590922735331 18.9645080583894
TCGA-A7-A6VY 3 3 7.56050651165988 11.7349106440002 18.4681719009913 15.525336505719 12.7262246295516 19.5248676988438 15.8250327770533 17.9336339561443 20.9599798654921 17.4463653362652 19.550748418252 18.9047849830938
TCGA-E2-A15O 7.53245138341266 8.98344769948269 6.29982309498683 14.0397662589204 17.8336994550016 15.6986872570682 14.3018935534112 18.748531193742 16.6093194104717 17.3107396489603 21.9523439272144 16.8703510205866 20.0188821645735 18.6532149578201
TCGA-A2-A0CY 17.3999859383508 7.63357000343928 6.8619272367126 11.097425792768 17.5346946622218 15.2274372701293 13.0105475710051 18.8173166569502 17.2873498129986 18.2501028923427 21.2668192566138 16.972228190255 19.4441836612783 19.6713471134332
TCGA-OL-A6VO 9.21178013218682 6.7920239932381 6.96432182902543 10.550578001254 18.3605517858921 16.5633044330026 13.9605254996745 19.597397206301 15.7622418523286 17.9793699403909 20.7533114032148 15.9084664077465 19.9239858528318 18.1212746865394
TCGA-A2-A0CL 7.34202678615237 7.81307196450015 6.1217561373363 16.3312452523855 18.7726641306781 15.1381819866821 15.4416915761226 18.2537332315666 17.2022442333609 17.6873146957274 20.6748885457357 17.5495582618254 19.7448449056397 18.4441684143115
TCGA-AR-A0TQ 6.99102790454554 8.01920870323299 9.58900184484269 18.3946999746703 20.3825828833765 16.404872665326 14.7744960195787 19.725226174668 16.9217985489072 17.0185218972792 20.5580251726141 17.091760189064 20.3191151321874 18.2678087564678
