X8823 X2253 X2264 X8395 X2247 X2252 X29895 X3655 X80310 X9459 X22800 X2149 X8503 X5154 X5155 X5499 X6548 X5829 X10163 X10152 X1399 X369 X998
TCGA-BH-A0HW 8.59374407326902 7.84847445582232 12.5707854075906 9.99927202299768 11.8864055910653 10.645835016372 10.4539924166747 18.0502487801583 16.0896366601176 19.106634801739 16.959742373928 18.0487246896689 15.8308541278585 15.8730010441 20.0838928703009 20.2099728582034 18.8440207633083 17.4612397394276 19.1521277258695 16.1311008148275 19.5466757606321 18.331240019648 20.6445514637321
TCGA-BH-A18S 9.32483798067032 3 16.0900440340939 14.6263958870944 19.988728916443 14.5042713800932 10.6113458147192 18.0071164664093 18.887375107081 16.9607293297215 16.725265428414 16.5344844975517 16.2760020529295 15.9721521579235 17.7858311546198 20.2012489646898 18.5660031748953 17.5508469075672 18.0242080481265 15.8931827075461 18.9179314270204 18.6463032225399 20.823002516576
TCGA-D8-A27E 10.1249580521655 7.81573156675942 11.7386328790437 11.0469450155784 18.4305609007611 14.2491281743146 12.5512342783189 17.4278152769511 16.6032999753586 18.7605397613121 16.8317518372035 17.1578155963936 16.9767240317885 16.2715779717999 17.3654876380546 19.8766704271901 18.604711730387 17.263003935121 19.6665566575426 16.1424393942066 18.7394453788671 18.6679147148628 20.6415872725747
TCGA-E2-A1IH 15.7333988608696 3 16.3795766835052 13.8050510672964 15.1289137340186 16.2629305560199 12.4048019888865 18.5811111782096 17.8528686578203 18.6984853568888 16.6268115314319 19.5921932140536 17.9096075515413 16.6803444331749 18.138964206621 19.810038838747 18.2543088453821 17.9522544616157 19.0897755239497 16.1042012711256 18.4569275799096 18.7109053641984 21.1578112018232
TCGA-A8-A091 10.8854205018966 3 18.4585699166342 10.8191166380433 13.1921938005879 13.4154446083606 10.9150372756501 18.2376767457171 16.6135013310786 19.0400001225107 13.6142487397996 19.4541046102691 15.2118354678718 16.7160316493222 20.1624191244623 19.1849074007248 18.7997863770547 17.2316730706297 19.6277683645414 16.454823144784 19.385184065338 18.0722485195471 20.5138327914091
TCGA-A2-A04W 12.2933922852138 3 14.1639254545927 14.9141289956832 12.5771543229141 15.1651312617743 13.8521278825205 18.0942216104064 15.288532432121 15.7944850612767 17.6781502734349 18.6041599671038 18.9201465665699 16.4612103376547 18.1398317305305 20.5374291822927 19.9550690729789 19.0633762381683 19.3388756790151 15.7249599530867 18.8378395382324 18.9061160302836 20.9733775013518
TCGA-D8-A1X5 10.1571994580143 3 13.9294547788422 12.4561491601341 12.433317804552 14.6935066327776 11.7107598084553 18.2282399782466 17.669236656154 16.7528171653912 14.3676204034899 19.014919444864 16.1835519711617 16.2466644922092 17.0967602707767 20.8145428456873 18.0742745549753 18.1137515088792 19.080630649812 15.7386562772254 18.2725608990126 19.4853199520721 20.7080683125066
TCGA-BH-A5J0 13.9461133596158 3 15.6442763713569 13.8096918440024 13.5744559281355 15.2043853434049 13.3912353340031 18.0993011731575 16.7919980589572 16.400766768808 15.5107220086955 18.3637924079502 18.1206605555517 16.4705824525854 18.4815393606005 21.0852141001552 19.1251331088974 18.3581081585575 19.032648036378 15.1734137805887 17.8504444767208 19.5904687249062 20.8522805440737
TCGA-A2-A1G1 7.49650065650349 7.72085214031306 14.4673417875524 12.8343834614122 12.7525986064819 14.5329510879324 11.8019749857708 18.2760038884253 15.7101816612438 16.76947771519 19.1613973352439 18.7170849863317 19.1266812649443 16.242391147592 17.7660915687337 20.2133784502144 18.2690736442438 18.3666810951605 20.9700896023708 16.1407153959471 19.2674524007347 18.6617080955551 21.0779968015772
TCGA-A8-A097 11.7991976676671 7.62995085948226 11.0023561051329 11.1921242113999 13.4596651017157 15.1269566546945 10.7110365145111 17.4008191802056 16.906513456466 18.153032888152 14.7061996048301 19.289245156385 16.4665599907942 16.7250263090982 18.7314530139285 20.0778125687304 18.2700665470401 18.1689517296548 19.415606461575 16.1613048149807 18.8053164767202 18.9314429462857 20.5599770190111
TCGA-C8-A130 11.0641914720799 9.14337248822027 17.0085801804727 12.3155264036786 13.012380034779 13.9540029985247 13.6199641218728 18.1405375373094 16.5478558561414 16.9044207366577 16.5917829724819 18.693657639278 17.3047774983855 16.7601010048874 18.4476019312204 21.2018853056605 18.2611897211941 18.3386303483641 19.1757589480157 15.330118235421 18.488888868222 18.8807505783202 20.6866352665589
TCGA-A8-A0AD 15.15075160293 3 14.7205444944655 10.902797616416 13.389879428016 13.7970507074832 12.4132475005296 20.1807536704109 16.2127102297981 19.2678536686959 14.5853654444274 18.1393489251781 18.4944693814345 15.7767490275024 17.9723569984787 20.0365528391963 18.4920653835665 17.9745249346143 19.7713170025995 16.1782848267767 18.8543378563545 18.4753880609603 21.3547348980437
TCGA-A2-A0YL 12.7434208376443 3 13.183072573942 14.0961356607345 15.6542897494858 15.4003578660453 11.5403382431969 19.0873947274994 18.0750606468338 19.2459910762029 15.769005389208 20.2480514558465 18.2985765182075 17.1594101969269 17.772875965803 19.8180847574667 18.6921297871705 18.6971234659973 20.0396861760426 16.468635758433 18.8917600937598 18.6083057196699 20.6929653694686
TCGA-A8-A09G 3 3 20.6698514428989 16.335749105854 13.250339216307 14.4181173191927 9.7247338264032 19.5378290215643 16.6853495563714 16.7681986546372 15.7100943952819 18.3338148224468 18.1869477228992 15.2657772360087 17.8097518709602 20.4959049405718 19.3683652059381 18.0479830033582 20.1049170562805 15.2482221175193 18.6157256385659 19.0197368177958 21.0351775169529
TCGA-A2-A25E 8.63435361239757 7.88851126462642 14.1753192848064 11.1220574824555 13.4386623545965 15.298525339888 10.9783556788745 18.0289019335437 17.7007253816238 16.6544991971929 16.402398982225 19.2227505943406 16.9523170916353 16.2428354045154 18.8006318000626 19.0877331334507 18.1027962922272 18.5241554515073 19.1306787850855 16.5100700576865 18.6853884537188 18.202339673516 21.5523779972326
TCGA-LL-A73Y 12.2884071394037 3 14.0843070244994 13.2325242052288 18.6110781921136 18.0791270322042 12.7168249922354 19.5679253183405 17.674103408633 16.9861084232215 16.980329445785 19.5254763191692 15.8155023179107 17.3279457848076 19.5134804895979 19.7201619308366 17.1772620942023 17.6800355860261 19.8558890854881 16.7994909717318 19.0892236761799 18.1893406652554 20.1407730405734
TCGA-AR-A1AK 9.91801504305697 3 14.5019326687089 13.386790013016 15.5793225953724 15.762659358803 11.9286865273948 18.892143362922 17.6317304610336 17.8504760595024 16.0502744758571 19.6768699833971 16.8977320278779 16.4760358515997 18.0085995149941 20.8824066755949 17.7786262975167 18.4907380377842 19.4647445164369 16.1333131041879 18.6104792969908 18.856323710693 20.370380582035
TCGA-LL-A740 10.6124040478496 8.29132048707614 16.3474471148353 12.4688496715416 12.4273356641578 14.8153993158743 12.2830635117928 17.9897382019448 17.005071086696 16.0597842581381 16.2812402855107 19.306701306271 17.9359030307546 17.3230310765196 18.6347521760891 20.443410405044 18.5550925249699 19.5989452983073 19.4563722429011 14.7874627873298 19.0493586831507 18.6794731198981 21.2429470396243
TCGA-A7-A425 12.4114015083611 10.6504309169377 14.615370264417 16.1781271562965 15.0536898068904 14.6949909084487 13.7429688521294 17.7616755190134 16.1836766628069 17.2410632081418 15.1429578049392 18.374957596749 17.2821791463227 16.3420877675697 18.1724404706472 21.1077006240851 18.4100274220467 18.72382423274 19.2560959772978 14.8539665234185 18.2078482618517 19.1286394184036 19.9852919436949
TCGA-AN-A0XO 12.4248245608515 7.80243440155259 14.1766517201506 13.6346224085476 12.3750705675448 14.9936290413152 11.6646114993872 18.3705789117193 17.1994180316847 16.3840256931822 16.9423938337409 18.6081085535375 18.6805400990956 16.7481416212631 17.9008774671938 20.2785057348527 19.3210639123937 18.3632231138627 19.897243548814 15.8847559735712 18.2806244538438 18.759800928779 21.0451301777587
TCGA-AC-A3W7 12.2538281526616 7.78387113385947 15.2919007445289 16.1305840784785 14.4816929997106 14.3704108057857 12.7024203918711 18.1735582721646 17.0694889159228 16.3164652714239 15.1695966844232 18.9051848995798 17.6553510052166 16.8635157903711 17.9189966308667 20.360012361369 18.8962817354383 18.4805740589278 19.8826160007702 15.8409111304303 18.1908125785396 19.2778896451879 20.4735017596683
