X7042 X7043 X3725 X2034 X8503 X5155 X207 X5908 X1399 X369 X8453 X998
TCGA-BH-A0HW 13.514613735161 17.3279313892943 18.6542858391382 18.7888524931981 15.8308541278585 20.0838928703009 18.4167874344729 15.3433194299674 19.5466757606321 18.331240019648 17.499309888816 20.6445514637321
TCGA-BH-A18S 14.7732775894864 18.1300104641248 21.3823486568548 18.6467592160377 16.2760020529295 17.7858311546198 18.1862390560455 15.9159944985183 18.9179314270204 18.6463032225399 17.7044347005166 20.823002516576
TCGA-D8-A27E 14.6723128796645 19.3908776623031 18.3937961861512 18.7326897389894 16.9767240317885 17.3654876380546 18.5321073220957 16.2808368165409 18.7394453788671 18.6679147148628 18.109984604963 20.6415872725747
TCGA-E2-A1IH 14.9161742562538 18.8361761458189 20.4413878672822 19.7398587767361 17.9096075515413 18.138964206621 17.3602928694928 16.6546113389728 18.4569275799096 18.7109053641984 18.0553684508905 21.1578112018232
TCGA-A8-A091 14.1183296696177 20.2404454352911 18.3082396440509 18.6884870804013 15.2118354678718 20.1624191244623 19.3178210873771 15.5367194654282 19.385184065338 18.0722485195471 17.2979764808521 20.5138327914091
TCGA-A2-A04W 16.9034900592731 19.010317094902 22.9478837629941 19.7279585044503 18.9201465665699 18.1398317305305 19.5896859301675 15.7632182669649 18.8378395382324 18.9061160302836 17.4433774014231 20.9733775013518
TCGA-D8-A1X5 15.3058547528572 17.9703441495016 21.2250648844587 18.0322857241323 16.1835519711617 17.0967602707767 19.0189462649585 15.366579294569 18.2725608990126 19.4853199520721 17.9896507715312 20.7080683125066
TCGA-BH-A5J0 15.5943108521282 19.2801689753025 19.7661812681364 18.0663848684545 18.1206605555517 18.4815393606005 19.0236391298485 15.3889706855079 17.8504444767208 19.5904687249062 18.0955707500765 20.8522805440737
TCGA-A2-A1G1 17.8087300274958 18.4605863999047 18.3174994233671 18.5041994243117 19.1266812649443 17.7660915687337 17.1106440614316 16.6040206331694 19.2674524007347 18.6617080955551 18.7189625428123 21.0779968015772
TCGA-A8-A097 17.2304596044593 18.5620105255995 19.450637940338 19.0594454431755 16.4665599907942 18.7314530139285 17.4784527432378 15.8225387922266 18.8053164767202 18.9314429462857 17.3681935883093 20.5599770190111
TCGA-C8-A130 14.7743684963872 18.1732314128646 18.9743384619235 19.0654121909695 17.3047774983855 18.4476019312204 18.7746904024251 15.8848922227625 18.488888868222 18.8807505783202 17.2349391778151 20.6866352665589
TCGA-A8-A0AD 16.0685485610832 20.1964610189202 20.5519902703284 17.8059632029093 18.4944693814345 17.9723569984787 18.4882995219545 16.567742166187 18.8543378563545 18.4753880609603 17.4168762988343 21.3547348980437
TCGA-A2-A0YL 18.224421458387 19.1288598560336 20.9110294271666 18.9686706514117 18.2985765182075 17.772875965803 18.0181170059042 15.8737158093823 18.8917600937598 18.6083057196699 17.5900233090895 20.6929653694686
TCGA-A8-A09G 12.8076772415114 17.2946599236395 18.9369866789159 18.6343318589799 18.1869477228992 17.8097518709602 19.6438168403384 15.9670595915188 18.6157256385659 19.0197368177958 17.8064733162976 21.0351775169529
TCGA-A2-A25E 14.3725613237604 18.4218573049018 19.9302677480166 18.1437563740054 16.9523170916353 18.8006318000626 17.1616170311389 16.6861844960012 18.6853884537188 18.202339673516 18.173543919979 21.5523779972326
TCGA-LL-A73Y 16.4229199129533 18.1707805491656 22.3692071539327 19.0667828468917 15.8155023179107 19.5134804895979 17.7983356389775 15.6357170114912 19.0892236761799 18.1893406652554 17.2653645096852 20.1407730405734
TCGA-AR-A1AK 15.3327067995217 18.6974062842729 21.7150233036603 19.2572066784954 16.8977320278779 18.0085995149941 17.8797688545459 15.936859439566 18.6104792969908 18.856323710693 17.9027999735572 20.370380582035
TCGA-LL-A740 17.095422511914 18.4125173286 20.0136801626311 19.2043202000908 17.9359030307546 18.6347521760891 18.9771189358539 16.0916468021749 19.0493586831507 18.6794731198981 17.5919470653115 21.2429470396243
TCGA-A7-A425 13.4309052745147 18.2339867675433 22.021136547449 18.8410664104045 17.2821791463227 18.1724404706472 18.9202761873885 15.531930516819 18.2078482618517 19.1286394184036 16.7008307750395 19.9852919436949
TCGA-AN-A0XO 17.3877351003373 18.0348621101605 20.2289416468542 18.8198261828675 18.6805400990956 17.9008774671938 19.2170342049203 16.1353526802543 18.2806244538438 18.759800928779 17.7185422082518 21.0451301777587
TCGA-AC-A3W7 16.8904576459349 19.1718693097366 21.8455399690512 18.7273089071523 17.6553510052166 17.9189966308667 19.3527273644559 15.8714114403334 18.1908125785396 19.2778896451879 17.049536110707 20.4735017596683
TCGA-BH-A0H5 15.6185345753671 18.2498964314268 20.4453161937936 19.1897347684685 18.0713140081785 17.4335980057387 18.1341421608442 16.1050459208743 18.7858458215311 18.9177154323129 17.7384352693498 20.9732023944122
TCGA-C8-A1HL 14.2582583266553 17.7799973338119 19.0734691386418 19.0507087579535 18.0463770265701 18.7382319122991 18.9895996922305 15.9671797909576 18.3234018486431 18.7362977275138 17.5491762597121 21.1516257761699
TCGA-A2-A0YF 14.0443465801683 16.9008859980268 18.6777570245075 18.6158188731956 16.8894284879694 18.0698587297607 18.0185261957053 16.0889949239316 18.7103635801785 18.9791453839167 17.9028121507262 20.5280865315022
TCGA-E2-A15J 15.589569015529 18.4181000688201 20.9545472301643 17.9492609832066 18.1480861108403 17.5404985646571 18.5312275084215 16.1378565632572 18.8819354737256 18.8179916071712 18.3256492587906 20.330341691305
TCGA-BH-A0BW 17.0487748871207 16.5254364248447 19.5173805831823 18.9016223885815 17.3229257035192 17.7160887833753 17.329316385854 16.4621711150121 19.1598674980874 18.3401501054929 17.9139599772265 20.658558015139
TCGA-A1-A0SJ 15.115394437216 16.9804114096519 20.8114569323679 20.2502398450907 16.9069696267214 18.6550398220397 18.5311892274098 18.481111196713 19.4846695781263 18.2268521225554 18.0846243392847 21.3092771012199
