X27257 X29883 X87178 X246175 X11044 X51691 X3313 X64895 X9125 X80153
TCGA-BH-A0HW 20.1374953274838 17.2763249925844 17.4027522268234 17.1884398547077 16.9119202120726 16.5410544461899 20.999111039626 15.8040714106576 17.8531823711975 17.877972379695
TCGA-BH-A18S 18.5918715410511 17.5669475247254 17.3719280838712 17.3333826336234 16.4873087338144 16.3729699550731 20.9003956559996 16.099914123934 17.7106177909605 17.2528305511628
TCGA-D8-A27E 17.363956201253 17.6003011422031 17.2501809191932 17.6397277363857 16.7871832388595 16.2935959238174 21.0330635806326 15.7894551615474 18.0237504510135 17.0197707600668
TCGA-E2-A1IH 18.7672427212879 17.4132372442938 17.4938555252306 17.36373319631 16.8554149721499 17.3345540812301 20.6531024478827 16.2507199426796 17.9451129934844 17.2328932059706
TCGA-A8-A091 19.0112236374811 16.9343111682991 16.8666512574602 17.9157752726578 17.0318336353968 16.3044288130349 20.3275230595061 15.5985674268903 17.8785758986632 17.1775986138163
TCGA-A2-A04W 18.4701907863106 16.9305314633831 16.6822791231201 16.3163785863703 17.1756758115875 16.9821495486285 21.0474269112696 15.1795767138418 18.608577039932 17.0837584510673
TCGA-D8-A1X5 16.6361744578846 17.7608237155381 16.6245970156397 16.9105710559392 16.0358904706007 15.8424559213081 21.5979932238202 15.5436827535889 17.9529051982032 17.3110380637723
TCGA-BH-A5J0 18.4307959737287 16.1836254381084 16.7571762537637 16.2674444891403 16.4568223229129 16.4940718916707 20.365744275752 15.1631786097982 17.7592221344699 17.6391803775648
TCGA-A2-A1G1 18.4886986868254 18.802263205813 17.9556328187314 16.9491595419445 18.1567571171958 16.5359306309661 20.4199003062422 16.3062990646556 18.1552480997628 17.1038266372678
TCGA-A8-A097 19.9670916966428 16.3448620090303 17.5627652945809 17.2757139838585 17.306212539093 16.2550593900437 20.814458506692 16.1551508557415 17.6301078151859 17.7115672346076
TCGA-C8-A130 17.993904444624 17.220842476668 18.2888318219826 16.3697232995211 17.4219924038235 16.9733020469658 20.0619246304463 15.8615153320526 18.065193784107 17.8360476837786
TCGA-A8-A0AD 17.8758132418311 17.6426074464294 17.2492930378142 17.2425091152307 16.92435750212 16.4270268917547 20.7358929158483 15.9997630296055 18.1286034090276 17.2571843804717
TCGA-A2-A0YL 17.8923939041507 17.7334185229583 17.2053218538916 17.6936888279942 17.0325927851213 16.4217582337505 20.0664447174954 16.2934715360108 17.7177913545095 17.4427841886339
TCGA-A8-A09G 18.2369225434714 17.8390281067743 16.864191178913 16.7415933433908 16.8574527901629 16.7511611782605 21.1878508210383 15.4273176252054 17.7687397365175 17.431851262773
TCGA-A2-A25E 18.2304888809783 17.2188036900832 18.0909115495438 17.2391978170682 16.9701726366492 16.8222680593164 21.1005796665725 15.7238751993337 18.3515691318135 17.533657597592
TCGA-LL-A73Y 17.6894832100384 16.9572266545774 16.7286514900838 16.9934825912275 17.3238839390316 16.3242553093927 19.8986721738516 16.3524308394613 18.2981825483162 16.8471409338767
TCGA-AR-A1AK 17.3082607674818 16.7427242437011 17.9771156274486 17.3617088150032 17.2932773625627 16.4097824260854 20.5173490271657 15.8886804135597 17.8388846647831 17.3706413849765
TCGA-LL-A740 19.0616615815242 17.645987177753 16.8296152344095 16.7042440707402 17.099017085128 16.8595640587505 20.5410755353347 15.2790554418571 17.4520251096708 17.0114777509152
TCGA-A7-A425 17.6846341217624 16.3728529746248 16.1769612763914 15.884490635387 17.4079650088423 16.831153779422 20.4824294463558 14.8689289657292 17.4533305106096 17.317043379588
TCGA-AN-A0XO 18.8579685332615 17.9976870737905 17.0350172208668 17.0421544794987 17.4089125622409 16.3637312121278 21.3853387829581 15.7637428245542 17.820840500079 17.5461180549109
TCGA-AC-A3W7 17.5861982885467 17.0121508822772 16.4829657762821 16.7426853389707 17.1180179393115 16.147803542673 19.771622067635 15.5641891480309 17.5768255776207 17.4644154154909
TCGA-BH-A0H5 18.0114925140516 17.6980822599367 16.7018660109349 17.958936485328 16.5789647852898 16.4253354373582 20.2561517278639 16.12269298253 17.8118179365985 17.3512724493859
TCGA-C8-A1HL 18.2684997375697 16.6388473094625 17.212568071569 16.8100726483751 16.9930667424769 17.2026479369178 20.2443905281327 16.0848613204693 18.3877032391117 17.7744349742004
TCGA-A2-A0YF 18.0012988868814 18.1940296764229 17.5428420987393 17.7365667444476 16.7892986497689 17.9192231108463 20.8024598825801 16.1796657088238 18.2706395979883 17.4229902156126
TCGA-E2-A15J 16.8668086325931 16.7226239184948 17.5110787473587 17.1621545189144 16.7219107840251 16.3533334674208 20.9716166220469 15.7915271989945 18.2254458286 17.5276716966872
TCGA-BH-A0BW 17.0596310240767 16.8348140058402 18.5771154684475 17.9269235168358 17.8887613159237 16.374474755903 20.1042457529304 16.350507193326 18.3691176051084 17.1443646841377
TCGA-A1-A0SJ 18.3715390898275 17.9318688253954 17.2683263846777 18.1675774566861 17.0007727765205 16.069630629905 21.1003127481319 15.7653661234555 17.8041493739751 17.2811853787239
TCGA-A2-A0EY 17.9015295494815 17.5093679512219 16.9522285762535 16.37457395615 16.8583229889515 16.4232148251403 19.9484470698986 15.5749687582684 17.8499374643161 16.9169069592868
TCGA-A8-A07R 17.9349973539656 16.9394804551327 19.0758294417793 17.5482551386238 16.9538170734879 16.5499110742214 21.3888534246676 16.050518520595 19.1415260896862 17.9088456093804
TCGA-BH-A18G 18.4826185913038 17.5709675273263 16.8830012073508 16.6055334189597 16.715255087156 17.0398775828871 20.6049567008379 15.5756835214265 18.2009140646918 17.0900548101356
TCGA-BH-A0BR 17.7396549838017 16.8812156871689 16.8041328041648 16.3627240438457 17.6657496577237 16.7431414572821 20.8961171522812 15.4928764255389 18.4632930056114 17.0870912850981
TCGA-A8-A06N 18.6412163246003 16.1797309704428 17.8643957624137 17.9591909941678 16.8350548553309 15.7667327878232 21.3338826400854 16.0585390726681 17.8765089478588 17.3871782479658
TCGA-AO-A03M 18.4097405048003 18.0089128547637 17.1068987751227 17.559036273331 17.3710439701533 16.3725870640406 20.4427659056112 15.5955752472485 17.93316483533 17.2156187063877
TCGA-A8-A09X 18.5833802525979 17.7963779372952 17.359591519698 16.2981790163205 17.6845839291304 17.1471230777751 21.8408093398631 15.3027484088853 18.1487952051085 17.4185798972859
TCGA-E2-A1LS 18.4270413454735 18.6982484138859 17.2490531556345 17.3762328902897 16.1294079859965 17.3808745171215 19.9938252626963 16.227569193419 18.9100105622253 17.8666216450833
TCGA-AC-A5XS 18.8731868705955 17.415328713955 17.3959166762183 16.2716238582239 16.8103611635768 17.2817100891762 20.24384462389 15.6677297547337 17.8072972860961 17.5506964384904
TCGA-AC-A23E 17.9651655436612 17.9510226591197 16.9155088765276 17.0974062408583 16.664003760602 16.1716318560748 20.6322646340485 15.8802430446804 17.614974302563 17.0754496819696
TCGA-A8-A06Y 18.5730415536451 18.1224854767614 17.1968525513562 17.3025484804456 16.3189244310738 16.5235749004427 20.901043461734 15.7194186484767 17.4726996215809 16.5210786739159
TCGA-BH-A0H3 17.9452494269188 17.8596126796329 17.2283297933294 17.4352144729706 16.7133029057348 16.4825247869099 20.4524365582525 16.3141695746052 18.0371119268444 17.3965305337049
TCGA-AR-A2LJ 18.2532312886649 17.1664057742587 16.4884257334669 16.2592539961206 16.8245364372696 16.3745349574052 19.6358571939674 15.1637191756172 17.6085045530926 17.6033747652373
TCGA-A8-A06U 17.669667756485 17.4819256183528 17.3598853031831 16.7400918988886 16.5011195273399 15.2014613906373 21.0947855445756 15.5926662543387 17.8817859549759 17.2694855502972
TCGA-D8-A1X6 18.622114067571 16.4077920240268 17.1001141296873 17.5003996757403 17.882291842654 16.4121165432801 21.9488454764607 15.5857552690009 17.93786248305 16.8905925873357
