X9074 X4622 X29119 X9076 X5010 X84612 X7122 X29895 X58494 X22800 X260425 X83700 X3993 X10207 X2017 X5590 X207 X998
TCGA-BH-A0HW 8.51956263800493 3 10.9844961929396 14.5324252095355 12.4234093634256 19.481219314168 14.5366265134068 10.4539924166747 14.0033661176896 16.959742373928 15.9388542348522 15.4247267125866 18.7871241117581 17.4418968290061 19.9053008600177 16.3162430651364 18.4167874344729 20.6445514637321
TCGA-BH-A18S 8.67450069700642 8.21668255163893 8.98995187900818 15.8074207186693 11.5279336767305 18.9509879289545 14.2594886858103 10.6113458147192 14.8898698523008 16.725265428414 19.0354615575751 14.9049768790168 18.3422667739099 19.0409368593866 18.824246917348 15.454185473149 18.1862390560455 20.823002516576
TCGA-D8-A27E 8.48637671988491 5.87474452713592 9.04487567117146 15.7907773660469 11.5939279618282 18.9155622578884 15.7057377189655 12.5512342783189 15.2324484328565 16.8317518372035 19.1452837901672 15.6002157786825 17.3161286782954 18.888331732182 19.1149649003983 15.0861321213703 18.5321073220957 20.6415872725747
TCGA-E2-A1IH 8.62620792192038 9.72672939632833 10.9679655898469 17.2877040062764 14.6261443776032 15.9715007115653 15.8268211290901 12.4048019888865 17.2707655759369 16.6268115314319 16.4550811272257 17.5050042671785 17.0540496367755 15.6007779237132 18.8472896264875 14.8001664870675 17.3602928694928 21.1578112018232
TCGA-A8-A091 10.6950160923182 6.45088856411993 10.1071014099365 15.1732774467463 15.0284302940634 17.0150494095777 15.3012500191441 10.9150372756501 15.6285675052352 13.6142487397996 17.9112797969007 16.3429325842377 18.0952979703963 17.3431747645135 19.8461116975211 16.2189651467189 19.3178210873771 20.5138327914091
TCGA-A2-A04W 10.4164144211478 10.4331248843516 7.38477317863279 17.3402734329516 16.1075847963741 14.609900524952 15.6718095030088 13.8521278825205 15.2743564011784 17.6781502734349 17.0848272280697 17.3512727650837 17.4527917896564 16.6267074365237 19.8361981555027 17.1811046814628 19.5896859301675 20.9733775013518
TCGA-D8-A1X5 9.09256217661959 9.29915578467234 8.23844932379836 16.4457746800957 12.9648309017022 19.7812004540869 14.1147530667364 11.7107598084553 14.8247203811464 14.3676204034899 17.1503838844992 16.4811194087497 18.7635289385531 17.8219218649114 21.5577324400525 15.4187682677004 19.0189462649585 20.7080683125066
TCGA-BH-A5J0 9.1890604702107 9.97507942033211 8.3338260284152 16.4889707136466 14.6326140849592 16.7478734138655 17.5819965741485 13.3912353340031 16.2489814877336 15.5107220086955 16.0928194684003 17.0386424284907 18.0439759967135 16.6892167970255 19.5949149567742 16.8388206153297 19.0236391298485 20.8522805440737
TCGA-A2-A1G1 10.1727252321523 8.91089739899317 7.89565841244511 16.4009397031402 13.1915485692124 16.3193206670457 13.2099148681146 11.8019749857708 15.199848892741 19.1613973352439 16.0472181873585 16.3654214140983 16.7959091291968 17.9458992635583 19.8322179180809 14.6806482138957 17.1106440614316 21.0779968015772
TCGA-A8-A097 9.27942540156041 10.0050230916058 8.31887463382344 17.7863927785424 14.7051903243577 15.9695666574244 14.3532158981639 10.7110365145111 15.5511644204256 14.7061996048301 18.3451840317176 16.9191934442469 17.6532154212286 17.4889858312457 20.3916369042623 15.0438865564343 17.4784527432378 20.5599770190111
TCGA-C8-A130 9.82584771809725 9.62220994181685 10.5342940270233 14.9383464135844 14.56991710943 16.459628801838 15.9343908746499 13.6199641218728 16.188657018397 16.5917829724819 16.6621569127205 16.8123699189353 18.0156284842281 17.6196857708241 20.6393434216174 15.9478243079557 18.7746904024251 20.6866352665589
TCGA-A8-A0AD 9.09589062151051 9.30249082623399 8.59580984747213 18.8351602151366 11.8980011002231 16.1965838641635 15.2039426928037 12.4132475005296 15.0526710189871 14.5853654444274 17.8256236207864 16.644449765146 17.7298426708209 17.6489043773177 18.9679011505559 15.9500941539799 18.4882995219545 21.3547348980437
TCGA-A2-A0YL 3 10.1202704430605 10.8129015098265 17.0145655679736 16.9428048065714 17.274464900768 16.5590734933347 11.5403382431969 17.0458709207568 15.769005389208 17.905496562353 17.9178849264793 16.7248280181543 18.5417289666799 19.0439910520214 15.9822900536383 18.0181170059042 20.6929653694686
TCGA-A8-A09G 3 7.3566310082938 7.8616133464405 13.8083724962371 13.4246101238126 16.5082361345588 13.5775217489671 9.7247338264032 15.0883520565081 15.7100943952819 17.1083962113013 15.6151243026134 18.5271534032708 18.7870729946049 19.75431264124 15.7808798539666 19.6438168403384 21.0351775169529
TCGA-A2-A25E 8.56012750123907 10.1412477888414 9.1191529076247 15.6395544616836 13.7243799539139 20.3308599416243 14.0261162040839 10.9783556788745 15.7232711564805 16.402398982225 16.6535915290094 16.5204212798983 18.1140684948358 17.8383678659011 19.4161002238168 15.431096482491 17.1616170311389 21.5523779972326
TCGA-LL-A73Y 11.5973644999625 10.4892121803413 9.87814081523114 17.6155518442976 12.9918154082044 15.1783844738897 16.6306554924756 12.7168249922354 16.1416074686701 16.980329445785 16.6329239794512 17.2817276598642 19.685310990602 17.0966009377732 19.3059116164219 16.2123329658008 17.7983356389775 20.1407730405734
TCGA-AR-A1AK 7.88008625253867 10.1374430356608 10.0690174999874 18.2144328085916 15.4391367631403 18.693970631499 16.5855404360076 11.9286865273948 16.6855579191355 16.0502744758571 16.6070442463233 16.9377945266401 18.1972332229248 17.8913207185923 21.6327763130068 15.1717304109047 17.8797688545459 20.370380582035
TCGA-LL-A740 10.9501039451917 9.49176044146915 9.60221150713807 20.4916645761268 14.9672237608573 15.0568240863075 15.8229084223704 12.2830635117928 15.6106966471953 16.2812402855107 16.2526277348019 17.1250058633242 19.1182416795075 17.832071498429 20.2042864138056 16.7353593319956 18.9771189358539 21.2429470396243
TCGA-A7-A425 7.80122195486459 8.00366584374956 8.11195849140413 16.5303065920235 16.2705759231252 16.5754100606915 18.9143156109051 13.7429688521294 15.9324039166982 15.1429578049392 15.7944976419717 16.6209970946801 18.5862067733193 17.6483386084578 20.695750105298 15.5241057516493 18.9202761873885 19.9852919436949
TCGA-AN-A0XO 3 9.25349213296228 6.86380335555042 17.279731394268 14.9724515404133 17.0765812523575 15.3280708683201 11.6646114993872 15.2472632455023 16.9423938337409 17.2276008216683 17.106443544935 17.9139548295821 18.1800802790897 19.6473776966965 16.476785675626 19.2170342049203 21.0451301777587
TCGA-AC-A3W7 10.4291788518535 10.1638948801405 8.67724585925684 17.041329730216 15.9742058072437 17.4000275799851 17.0977608161783 12.7024203918711 16.0481247616208 15.1695966844232 16.7232946175451 17.1579227520222 18.0951222797302 18.9689487271887 19.9917468944538 16.6861458842385 19.3527273644559 20.4735017596683
TCGA-BH-A0H5 8.82471877980238 9.72265560593143 8.84587997906617 13.8439957552026 16.7360836210623 16.6932911324978 16.360741149994 11.2471961142014 16.3573459066256 16.6503350832996 17.4788950522005 16.5979739473342 16.9453682678734 16.8856075150979 18.8285934170028 15.7428394779626 18.1341421608442 20.9732023944122
TCGA-C8-A1HL 10.6614823686812 10.2518009772006 9.5756057616712 14.7894320561263 13.5613551202942 17.3005718880035 15.8489313566091 10.9742072574366 17.238820116269 15.1823325605028 15.9935624982092 17.3459951272422 18.6776072384381 16.9777392825927 18.8647814467558 16.2175937575281 18.9895996922305 21.1516257761699
TCGA-A2-A0YF 3 7.92320320225014 9.76535596808962 17.1399187026205 13.6740974348805 18.6392301997178 14.9642153503099 9.990906408919 16.2286485476433 15.6850149424736 17.9129991419356 15.8375125567234 17.5869145179065 18.4969035724943 19.3997144840722 14.1695406029088 18.0185261957053 20.5280865315022
TCGA-E2-A15J 9.76201583628912 3 6.23209883501428 16.9171612518803 11.7649583590946 17.7008169471866 14.2454595854408 10.9754159721452 14.0503007507434 16.4955962192478 17.2248395942009 15.3509733915096 17.8430840811266 18.7138819397302 19.5059562795663 15.703107210135 18.5312275084215 20.330341691305
TCGA-BH-A0BW 13.1284534242298 8.52694878541184 8.37901739410279 20.1778494555375 13.6216821945717 16.1489606548893 12.3383095874861 10.9278463719409 13.8199369362162 17.7190884378771 17.055855670637 14.8474436699898 18.1597828757084 17.7158675826925 19.9778327695366 16.1420389152396 17.329316385854 20.658558015139
TCGA-A1-A0SJ 10.6107224185918 8.62002027281266 10.6162907348898 15.3544704360503 16.065152418522 18.0229771296934 17.7479661843673 12.0197600003681 16.0876755128686 17.4601798748627 17.5483823782394 16.8184606170521 18.2380733385831 17.0257075790807 20.1272965159808 15.6826077216735 18.5311892274098 21.3092771012199
TCGA-A2-A0EY 8.75787543893416 6.11708611215527 8.09490716441545 18.2074626742262 14.6919098529474 15.5857539222331 14.227769852957 12.0701388728374 15.037619650474 15.9164846069263 16.4093952601787 16.0587187846515 17.8836756744756 17.2557689220504 20.065862690843 15.4561970824934 19.2309569015164 20.4976186838905
TCGA-A8-A07R 17.5974773131516 8.35211590740191 6.03127126471029 19.3059481049244 14.9202265775679 16.7503392135097 9.72602796843143 9.17805161135776 13.7295659657381 17.3072057925487 15.7761427747228 15.2293285614349 17.8435551133173 16.6233837821513 20.0765522315706 16.3762011756964 18.0658274149146 21.148523721311
