X3456 X3576 X2353 X10333 X3725 X7099 X8503 X6416 X7187 X207 X54472 X4790 X6885
TCGA-BH-A0HW 8.53671069696515 14.1567049648157 18.8978594680386 12.2029137163718 18.6542858391382 13.9802346119734 15.8308541278585 16.5926151579158 16.6834462497819 18.4167874344729 18.2908564071939 16.8850108061581 16.7444792529357
TCGA-BH-A18S 3 14.7751102327261 20.9973575716865 14.3149679456984 21.3823486568548 15.6127384571278 16.2760020529295 16.9396503548286 15.0363446993208 18.1862390560455 18.843526004645 18.1574505269796 16.5429681043343
TCGA-D8-A27E 8.50351593909696 11.6554011508767 20.0831282804438 13.4926263953508 18.3937961861512 15.9337867366876 16.9767240317885 18.4868597899454 17.3558735784609 18.5321073220957 18.9876645753105 19.2518439363393 17.1009463676732
TCGA-E2-A1IH 3 15.5091803457617 23.0481686368442 14.5834332272226 20.4413878672822 16.9027071666704 17.9096075515413 17.3363666998368 15.8542978072971 17.3602928694928 17.1236451985703 17.7942723811789 18.1424421916118
TCGA-A8-A091 3 11.9285175614193 18.3345810451335 13.8323321722215 18.3082396440509 16.1304950709175 15.2118354678718 17.8355133899073 17.6937281870007 19.3178210873771 18.8879680426869 18.3281965946207 17.2720102188577
TCGA-A2-A04W 3 20.0244987909059 21.6365970577499 14.0811201687532 22.9478837629941 15.1612801909239 18.9201465665699 17.2454048524352 15.4862176008895 19.5896859301675 18.6425178388849 17.1182760353805 17.4640049261753
TCGA-D8-A1X5 10.0993519365051 15.0940111516177 21.5075786674122 14.4111248436397 21.2250648844587 17.1068159850571 16.1835519711617 17.5199897309063 16.1003084548561 19.0189462649585 17.5953430140465 18.4086499475883 18.3213675324792
TCGA-BH-A5J0 3 15.5637739969433 20.3477930431526 13.3524383246614 19.7661812681364 16.1864662179995 18.1206605555517 16.5055992964521 16.3544657564322 19.0236391298485 18.5264407975785 17.6948565851991 16.4924313810259
TCGA-A2-A1G1 10.9636176656695 17.2008594267406 17.6000178059001 16.9353718936794 18.3174994233671 17.052035436341 19.1266812649443 17.6711941301424 17.2897052207128 17.1106440614316 17.3582462406653 18.4475508823095 18.4146233320821
TCGA-A8-A097 3 13.6428445416687 20.5366344912603 14.2475892890351 19.450637940338 16.68124626565 16.4665599907942 16.7990282043942 16.1424107030727 17.4784527432378 17.7762347919534 18.04200707275 17.1514818429537
TCGA-C8-A130 3 12.9194435240108 18.197618045485 13.5887710440312 18.9743384619235 15.8650186707186 17.3047774983855 17.3706947913299 15.9135816043773 18.7746904024251 16.6416007497048 16.9820620178179 16.6330301414192
TCGA-A8-A0AD 10.1027052189244 14.5336448307076 19.1672114379652 15.183738528512 20.5519902703284 16.6211566031486 18.4944693814345 18.4708705570054 17.2309190820622 18.4882995219545 17.9191556624278 18.8138249563071 17.7073704163312
TCGA-A2-A0YL 3 14.7465164621492 21.683444370661 15.1101420121064 20.9110294271666 16.7658764345988 18.2985765182075 17.2979807774868 16.1959612818275 18.0181170059042 17.6169049766152 18.1688000006503 17.4415257259516
TCGA-A8-A09G 3 12.3531788964509 16.3212344741462 14.3211950638511 18.9369866789159 16.6459673759523 18.1869477228992 16.713461626152 16.8860126339045 19.6438168403384 18.2720693032402 17.6382753653896 17.3339282149958
TCGA-A2-A25E 10.1419623009744 15.3904426994944 20.4706027460041 13.6419187112704 19.9302677480166 15.9889733400307 16.9523170916353 17.7573757975446 14.9482897023984 17.1616170311389 16.6936248121007 17.1125416049885 16.8739898681279
TCGA-LL-A73Y 3 13.7924366752316 22.6916398683163 15.7294887684536 22.3692071539327 15.7512420435223 15.8155023179107 16.9797192179824 16.5450201407438 17.7983356389775 18.0878099070699 17.7498513762639 17.8902188092132
