X387522 X2353 X10333 X3725 X4214 X7099 X6196 X351 X6416 X246330 X6195 X7187 X6885 X466 X1386
TCGA-BH-A0HW 6.9214264264309 18.8978594680386 12.2029137163718 18.6542858391382 18.4056371654268 13.9802346119734 16.6125657489716 22.1673539606094 16.5926151579158 16.4615670169224 16.6104547803203 16.6834462497819 16.7444792529357 17.0632297134786 17.6796369287217
TCGA-BH-A18S 3 20.9973575716865 14.3149679456984 21.3823486568548 18.6143742741151 15.6127384571278 15.096619192701 21.9335204875073 16.9396503548286 16.739233369743 18.0346816148888 15.0363446993208 16.5429681043343 17.7945318063678 18.1804943879597
TCGA-D8-A27E 3 20.0831282804438 13.4926263953508 18.3937961861512 17.9215196808541 15.9337867366876 17.0824462539527 21.9481386866255 18.4868597899454 16.9778223857482 18.0779569620419 17.3558735784609 17.1009463676732 17.2476309475595 17.9322814795008
TCGA-E2-A1IH 8.95529872285503 23.0481686368442 14.5834332272226 20.4413878672822 19.2470111777926 16.9027071666704 16.8876441558395 21.2700709421949 17.3363666998368 14.6022701015163 16.8955693824062 15.8542978072971 18.1424421916118 17.9217657092859 18.3055474713216
TCGA-A8-A091 7.50329175738434 18.3345810451335 13.8323321722215 18.3082396440509 18.3471725725344 16.1304950709175 16.0889495408212 22.3009178460252 17.8355133899073 15.7771008293527 17.4732375107948 17.6937281870007 17.2720102188577 17.2008633586591 17.8398155080359
TCGA-A2-A04W 3 21.6365970577499 14.0811201687532 22.9478837629941 16.3657029276127 15.1612801909239 17.9668053961406 22.8828795633649 17.2454048524352 16.5070616638517 17.861949899509 15.4862176008895 17.4640049261753 16.2338815916185 17.4323241573096
TCGA-D8-A1X5 7.47289917319397 21.5075786674122 14.4111248436397 21.2250648844587 17.6325325223812 17.1068159850571 16.8229259830108 19.6744325282486 17.5199897309063 16.6762918229386 16.3504102795872 16.1003084548561 18.3213675324792 17.5975498625197 18.3726128056536
TCGA-BH-A5J0 7.56651686633122 20.3477930431526 13.3524383246614 19.7661812681364 17.6507882287762 16.1864662179995 16.7651202866986 20.6239783560866 16.5055992964521 17.2623785563232 18.6890877500244 16.3544657564322 16.4924313810259 16.9281048331827 16.9275037657281
TCGA-A2-A1G1 9.03460046692462 17.6000178059001 16.9353718936794 18.3174994233671 17.4492770298629 17.052035436341 17.4053990126372 22.9085428563305 17.6711941301424 13.8817385075859 18.3194262769601 17.2897052207128 18.4146233320821 18.1949679213046 17.8682342814712
TCGA-A8-A097 6.71053013122073 20.5366344912603 14.2475892890351 19.450637940338 19.0853927946485 16.68124626565 16.3197422339559 21.2553141477801 16.7990282043942 16.2024267236786 17.229762787531 16.1424107030727 17.1514818429537 17.1199024002085 17.7595322575981
TCGA-C8-A130 8.18835180394547 18.197618045485 13.5887710440312 18.9743384619235 16.9221379555939 15.8650186707186 17.0184298164119 20.7535811378894 17.3706947913299 16.5617187553553 17.6334360339515 15.9135816043773 16.6330301414192 16.4688161593628 18.5224387449315
TCGA-A8-A0AD 7.47612511681178 19.1672114379652 15.183738528512 20.5519902703284 18.8994853677983 16.6211566031486 16.2350219309654 22.1329411809543 18.4708705570054 16.192315918833 18.2786739304065 17.2309190820622 17.7073704163312 17.2192593261023 18.1069350362039
TCGA-A2-A0YL 3 21.683444370661 15.1101420121064 20.9110294271666 19.5752315696901 16.7658764345988 17.3205495708879 22.4019726525306 17.2979807774868 15.7280729563177 17.2992892715499 16.1959612818275 17.4415257259516 17.6547539528338 17.8331160953578
TCGA-A8-A09G 7.8751919523594 16.3212344741462 14.3211950638511 18.9369866789159 19.024206783843 16.6459673759523 16.7911380922117 22.4247612577892 16.713461626152 15.4878945561823 18.553681252668 16.8860126339045 17.3339282149958 17.8721281095918 17.4200597411681
TCGA-A2-A25E 6.96018280808134 20.4706027460041 13.6419187112704 19.9302677480166 17.3462002868822 15.9889733400307 15.3452824230263 21.3914393169293 17.7573757975446 15.311804365144 17.4858483500098 14.9482897023984 16.8739898681279 17.7631448485735 18.4017516968355
TCGA-LL-A73Y 7.10808649264688 22.6916398683163 15.7294887684536 22.3692071539327 16.5302093064741 15.7512420435223 16.9412720147284 22.3919876451743 16.9797192179824 15.8272900702038 17.6502146349997 16.5450201407438 17.8902188092132 17.7812213085384 18.2893392445439
TCGA-AR-A1AK 9.1853636991737 22.7064104451266 15.5451639904641 21.7150233036603 18.3020490175868 17.7698630993251 17.0722506385063 21.4330186340164 17.7379346077825 17.1543695111017 17.3071912135981 16.1221255512557 17.2549585182806 17.2685472120229 17.6482599185166
TCGA-LL-A740 3 19.6436170688608 13.2378205400813 20.0136801626311 17.4560600078968 15.8624722649437 16.6753049646952 21.6150119338875 16.7516817244827 16.5737053868791 18.9324662735135 15.9427743856785 16.839773611532 17.3550770715886 17.5932578831176
TCGA-A7-A425 3 21.078851698945 13.501321169661 22.021136547449 17.9559791604948 15.564568707762 17.20413148176 20.5871907577256 17.016077057546 17.0816025017602 18.2358747310269 16.185898818223 16.9620203320637 17.1553870019958 16.4587703870188
TCGA-AN-A0XO 3 18.1111932784631 13.3042985526867 20.2289416468542 19.7563445264446 14.8419066968951 17.1945022697501 22.6692886561504 17.0167821849382 16.1632419874707 17.9927270906387 16.9428509581707 16.9075779471668 17.7538536744182 18.0925517320147
TCGA-AC-A3W7 3 20.5538371809058 13.2043399633065 21.8455399690512 19.2215809402154 15.4345156776677 17.4636483081644 21.7792399467003 16.7297862920723 16.6765441374696 17.8521176619776 16.9156206570636 17.1918729809217 17.4183224389734 17.1740763990527
TCGA-BH-A0H5 3 22.1028636213648 15.38791500923 20.4453161937936 18.7219364422846 16.9185271915147 16.9123210722036 21.428136163544 17.5366400074721 15.8363206874008 18.4320427942328 17.1631160530287 17.3614343978875 17.5190377353778 17.8065481142125
TCGA-C8-A1HL 3 19.1673285776569 13.108477930124 19.0734691386418 16.6123374721802 16.5901299409392 16.7449227129027 21.4372204087651 16.9705068916365 14.9908530150315 18.179389821093 15.4440114981723 17.4572450037696 17.433466960815 18.3360865693041
TCGA-A2-A0YF 3 19.1106494669137 14.6703517531814 18.6777570245075 17.5434942607412 16.6749115085596 16.5930321663377 21.0291357183451 19.1893707195455 16.3474724014226 17.6951434614443 15.4251223205128 17.6889996679777 17.5124940587218 17.9466370778841
TCGA-E2-A15J 3 19.5650032863215 13.2308913612234 20.9545472301643 18.7940026739153 14.2303706303046 16.2250000880152 21.8078922747815 18.1066010259667 16.1646037138322 18.3808626461566 17.0331830059416 17.3004621521952 17.5044687306803 17.8220334463953
TCGA-BH-A0BW 7.12142445022779 18.0877627761566 18.0273801114923 19.5173805831823 17.3727474210834 16.7089259778787 14.0639920186181 23.3324932068115 16.526842908978 15.9099887444136 18.2578293786463 16.4589457043876 16.8818700339988 17.0715438907387 18.2596268535838
TCGA-A1-A0SJ 7.21119693449236 20.5788298113856 13.0896590896145 20.8114569323679 19.5948453467017 16.4660026966364 17.4222568246115 23.1089707287237 15.1937745364215 16.7153502001279 17.0778013311643 16.3084219221045 17.6292481988452 17.0550926647461 17.7756643980205
TCGA-A2-A0EY 7.14977937662664 19.6206078180509 13.5067164217841 19.5539156096012 17.5849461147008 16.0073378301225 17.2339014244139 21.0958759574007 16.8540228270262 16.1783699245266 17.72485931993 16.7778546458636 17.6198629622363 17.0377279902031 17.3086908470961
TCGA-A8-A07R 7.90603765270229 15.0220466149098 14.3494489575048 18.1203705322339 18.0162444803909 14.8425049041382 15.240222635053 21.6478544850968 17.1461829254799 16.5554919190689 17.8129590262148 16.1517416803574 17.3711273711429 17.7498782237216 17.5977474337345
TCGA-BH-A18G 3 18.8353449715522 13.1206044662627 20.4787485563997 17.9610738178851 15.9038472471967 14.437838965208 22.7258147608319 17.1283392752141 16.406798015679 17.2695389613876 15.5442471252232 16.7610510930066 16.764513932271 17.761626691288
TCGA-BH-A0BR 9.68827372216297 19.5214456159025 14.1415353042479 19.8932707330259 17.3001473573409 16.6988177088803 17.5932526488793 22.5154581837953 17.0083327293547 16.6122799629556 18.5575414925017 16.6674336903216 16.951475758483 17.3561706931591 17.8346554402648
TCGA-A8-A06N 6.52776776130499 15.8690158580584 12.4286349939248 19.441164718357 17.812331473938 14.3461946428459 14.0318612542869 21.6399690206221 17.0853849802789 16.5648009423781 16.145734704516 17.178389935657 17.2900753230223 17.6773018535261 17.7559586031436
TCGA-AO-A03M 3 19.0582357929752 13.9800441953191 20.6337214351922 18.5038641146514 16.5951861531828 16.898299515365 21.3827072319951 17.1305537767286 15.3427432912802 17.7076176098702 16.2230450667832 17.2239639012413 17.4042829052196 17.4786181696982
TCGA-A8-A09X 3 16.1362015311605 14.5075294697362 18.8875736814429 17.5253939792236 17.3436055358558 17.0890338371177 21.3087544053636 16.8137429831245 15.6614650594935 17.609076643507 16.5513878990736 17.3381631264896 17.9089718045725 17.3839971970953
TCGA-E2-A1LS 3 18.9463822790949 13.7448154711854 20.3136108739055 17.4515943466133 16.3202246086212 15.7204208258618 25.0005181835954 16.8855345253628 15.0600251370255 18.4831485605572 15.2745726540126 18.321258805751 17.3640053574372 18.4835977412341
TCGA-AC-A5XS 7.52632351148864 21.8892544921775 13.2521107843683 20.8709958216284 18.1184350266982 15.9704241870953 16.2768564074186 20.9156125366169 17.4375052696773 15.9996577432374 17.2949883629955 16.1826880935668 17.7699089460637 17.0818605399006 17.3974390077181
TCGA-AC-A23E 6.93751086731609 18.4583528510007 14.2878891344406 18.6705744697336 19.9442855292681 16.9612507899549 17.3568513752359 22.2370355084655 17.0485643248898 15.6545810973608 17.8346147764722 16.5004648128407 17.5762809498298 17.7851959606223 17.9193417400423
TCGA-A8-A06Y 3 18.9642425970389 16.6279371713963 19.4089149083845 17.5869105588073 14.4437636556627 16.5897554019111 22.2241478795346 18.0202474551492 16.1236990279864 16.8672931555342 16.6501452066923 17.0623322387144 17.2074457091623 17.8901875900027
TCGA-BH-A0H3 3 21.6630066928913 13.8104516997965 20.4805086654327 18.5274190152596 16.8505612645198 17.413526691864 22.5351191943043 17.8216599358823 15.1979902365196 17.4542866585914 16.8876679210823 17.4904806638611 17.7193787491162 18.2324553652441
TCGA-AR-A2LJ 3 21.0839107304454 13.7312887500447 21.7614488301516 17.1509148273685 16.3241622562251 16.917302371586 21.1464434971342 16.5475607152116 16.9449557351179 18.5681734036699 16.4348674643691 16.857922725062 16.8077095262456 16.9848096413943
TCGA-A8-A06U 8.26349972031201 17.508216366931 14.3995045121824 19.556334437247 16.8394787613718 16.1604689619738 16.4815503835169 20.7385687594261 17.9348083609428 16.9717816992307 17.3527979452593 16.7247986212187 17.1689392449696 17.6419201374816 18.091067878264
TCGA-D8-A1X6 3 19.826167331743 14.4165529389376 18.2484922839134 18.1348452316052 16.8956161463165 16.2215550899793 20.8897970048146 19.1540529116221 16.0380274387223 17.4172254792916 16.7440102408434 17.4086632818865 17.3022997237432 16.8795895413245
TCGA-A7-A6VY 3 18.5588380749165 15.2242477765844 20.3584801508839 16.1648105270267 15.7260498065731 15.8250327770533 22.7439305967144 16.5124364344187 17.1164882420478 17.9336339561443 16.3846088154506 17.6510477426945 17.4252230572375 16.9976349666202
TCGA-E2-A15O 8.29502041703523 21.2222474015789 15.5498488396731 20.41334860797 18.2237775559074 15.1053365365206 16.6093194104717 21.5374333030529 17.7838761609876 16.3972269598355 17.3107396489603 16.459812078014 18.1549636870375 17.6867362161592 17.6637263110227
TCGA-A2-A0CY 7.92003907016367 19.0335252005802 13.151985733963 18.5891107174494 15.5393540770501 13.4175034002973 17.2873498129986 22.6009700876558 16.4090262418721 16.4465574513174 18.2501028923427 15.3597512082491 17.5339119779354 16.8879330527328 17.2642111198763
TCGA-OL-A6VO 7.06982943681935 19.9026590695803 16.8727730343195 20.8558796401924 15.4081608824934 14.9516223960861 15.7622418523286 21.0607477485617 17.0259982741391 15.6033852267668 17.9793699403909 17.1124472004931 17.0386452803543 16.935727087664 17.1926673218776
TCGA-A2-A0CL 3 19.8173267403319 15.62682873835 20.0523113261438 17.5532390242292 17.3300905430786 17.2022442333609 20.8918768157304 17.264799040839 16.7974043415146 17.6873146957274 17.0147992570383 17.2080571029369 17.2937218742131 17.7249852330365
TCGA-AR-A0TQ 3 19.9582258677412 13.3054713502996 20.0840801401276 17.3319573835195 16.1882229875984 16.9217985489072 21.9359025501213 17.4671532944905 15.6644938826286 17.0185218972792 16.1022855702164 16.8636724768719 16.8037538726984 17.9490608472191
TCGA-E2-A573 7.36114782348921 20.2007307104991 15.0781246238666 20.4448558021825 16.3004263589581 15.35011438623 16.2561538973606 22.2326441193269 17.1529920748287 16.3774093713578 17.4930362862464 16.4345169636058 17.9309764832403 17.5365196521511 17.5877277042747
TCGA-A2-A0CW 9.12590859984601 16.8470361057726 12.4099283612052 19.7621075476917 18.2301175418063 15.3120223381039 16.0713212338225 20.4389206511542 17.1036298117458 16.6385540559012 16.7167970457263 15.0810535584353 17.5747079173591 17.4525720013472 17.3802920997636
TCGA-AC-A3EH 3 19.4732261009792 12.5711182201083 20.4102954055869 18.4859295628011 14.8991106214875 15.5217484216689 22.5336407588473 16.5432591001474 16.595900567703 17.6021498369389 15.2463294125991 17.1255232750171 17.0521025478646 17.752449423851
TCGA-A2-A3XX 3 20.0963142405518 16.5433555028513 20.9352975484134 16.3322270819095 14.8505774376459 16.8248437969866 23.6487698920915 16.9889769832647 16.0708891355389 18.1953360088284 15.8897948933861 16.8943412653128 16.4019315565151 16.781491003161
TCGA-AO-A1KQ 7.58795848519278 20.3750107217936 13.3400615183923 20.3905003168606 17.3423561993145 15.1697823886735 14.8658676594732 21.631168021807 16.9652244574723 16.1717016215407 17.4160496516808 15.699894831039 16.8863551352482 17.6478502057335 17.7269472251914
TCGA-BH-A0HN 3 20.1291199337641 13.2856672763595 19.9820661143386 17.2799383653404 14.1543840037877 15.9619090364989 20.920244666947 17.3167843587083 17.4465642801153 18.6354628416933 16.7311839156844 16.8281698800552 16.2817207496366 17.0525574111119
