X359 X89872 X114 X111 X554 X196883 X54331 X5575 X2791 X5576 X5566
TCGA-BH-A0HW 3 3 3 12.6852486311008 9.94742411366225 14.4766206207418 14.6327375627311 16.0748031179277 16.4774931884556 17.4286332536239 18.6187042554512
TCGA-BH-A18S 10.5936336408549 7.32163967315058 11.2656892744342 13.8347579408801 11.291153433544 14.1776554936116 14.762837733813 14.2085413298883 16.5266677847611 18.079908292943 18.4718681754503
TCGA-D8-A27E 9.85899706229156 3 10.892073566505 15.1541919947944 12.3061321516285 14.3621378980192 14.7110455430559 15.9525125023995 16.4675919404428 18.5434744480116 18.7199024879425
TCGA-E2-A1IH 3 3 3 13.4849468839542 13.5601505285143 15.6604350895837 17.1949021176884 14.8393389233858 18.9770243926935 17.9865672127818 19.3662660399495
TCGA-A8-A091 7.44794523053921 3 7.70414187409255 18.6532768621625 12.9929859561364 14.9664763999006 15.6162493142996 15.7540953721929 16.8515456800278 18.0163813168802 18.6931627950941
TCGA-A2-A04W 10.8070850244996 8.05369955669633 6.74266179726588 14.5410803327678 12.6352895490526 13.7185884315695 15.1405219132566 17.0863724418787 17.378095896124 18.248150677142 19.33313595392
TCGA-D8-A1X5 6.86600973884062 3 3 18.5542064010153 11.0392547194007 13.5449566906913 14.861915720857 15.9266726882878 16.2669250443413 17.9367979797621 18.4089870635851
TCGA-BH-A5J0 7.91019092323369 8.7969856190157 6.52313870618241 16.3524270918135 13.6435099136858 15.1180918774359 15.8217542415279 17.2619243930031 18.399980081025 16.9752263497118 18.9404763767419
TCGA-A2-A1G1 7.13228788851386 3 3 11.0320622067339 9.81611889195997 13.8147883873154 15.8951384980923 15.3726918791386 16.6523644673666 18.9465962569149 18.871086021287
TCGA-A8-A097 6.12820278461735 7.91114591673316 7.54653045189876 13.8674423848339 12.1517655090777 14.3984313437531 15.9940912592225 14.6066613583801 16.8887817744787 18.729443525717 19.1804551259893
TCGA-C8-A130 8.13202110936168 10.0109172582522 3 13.1566615729758 12.2109656006839 15.5317582755369 15.6931072196799 16.5239026735287 17.7659120162051 17.4141353464249 19.3135360539366
TCGA-A8-A0AD 3 7.73164261586913 3 16.2953745064563 11.3047419853859 13.7134765652971 16.2536436464815 16.0189203783188 16.6691064624656 18.5009033782872 18.4846746560628
TCGA-A2-A0YL 3 3 7.45354325003665 14.941930210531 14.0399137584287 15.1414600632413 16.104452905235 16.7605539474322 17.8662781911967 17.6959511531517 18.4920909571929
TCGA-A8-A09G 10.8324624054436 3 6.8187630498853 16.5275317578839 12.5248626990087 14.1867559101127 15.6207993839265 15.7508052702237 16.4700211057517 19.0645350061441 18.1983227049013
TCGA-A2-A25E 3 7.21095618434968 8.37214773696432 13.339042320323 12.2596066797072 14.3874474467297 15.4439410231683 16.1662234880544 17.1300147257891 17.6598883300102 18.6980769058058
TCGA-LL-A73Y 13.0242311942567 3 9.51032375515347 13.8441598421685 12.8834287540713 15.4969738596611 16.5208784390719 16.4538033107946 17.8273483679995 17.6793010703685 18.4368980162612
TCGA-AR-A1AK 3 9.44850846962411 11.1455136812917 17.0149279162968 14.0564509110276 16.4699058142121 16.2973890571548 16.2897451911184 18.006767297466 17.8564998471057 19.1321712210009
TCGA-LL-A740 3 7.60638545257462 7.24512045384381 12.1348217046752 12.2310846011843 15.2699349083869 15.9148628073892 15.7875718417597 17.9037054683041 18.4054958885003 18.279773402801
TCGA-A7-A425 6.56786671826378 9.94688170151242 8.58653319522621 15.5837121266708 15.8891303830058 16.3113275299364 15.8176343087685 17.1774874870685 18.2331393986663 17.6932213560824 18.4199934561384
TCGA-AN-A0XO 6.28809766065027 3 5.87427915478252 14.5426317839924 10.2599772235193 13.1223798136542 15.1389362534704 15.8995880050486 16.9902553312611 18.5289924392934 18.5581792941473
TCGA-AC-A3W7 3 8.6366899913955 6.75454584410486 16.558081497796 14.6691244517013 15.6656379865368 15.2585327552056 17.0882612912488 17.4201123052934 17.983887795679 18.6360652958727
TCGA-BH-A0H5 6.61418541897484 3 9.73578090976983 17.3000841642953 13.7258591028472 15.2455560457781 17.4929337314492 16.5952820632955 17.320466706491 17.9764236346099 18.4987669076571
TCGA-C8-A1HL 3 3 3 13.9819601820578 12.0631406232274 15.6599559655402 16.6778268103793 16.9930076598948 18.6894485921464 17.9266285625751 18.8167222083532
TCGA-A2-A0YF 3 7.03587163616842 6.68310606124205 12.437333244637 12.1564941117942 16.9242057193111 15.9321080034935 14.8698958541571 17.5913112994758 18.5686321176476 19.0131731118139
TCGA-E2-A15J 7.50584721407443 3 7.61637788924084 12.8828423933526 7.45648390710685 13.7977929534277 14.2877945183734 16.2333423585924 15.6536476640317 18.2648266943805 18.9639376749251
TCGA-BH-A0BW 9.57824668021432 3 3 12.5995235539737 10.3503348898162 13.0430818405631 17.0517217834194 13.9401852044595 15.5990237731636 17.553434720617 17.44037667576
TCGA-A1-A0SJ 3 9.0052182773652 7.10504225651548 15.9665841414674 14.3559486696954 14.9179564001314 15.9722836219089 17.3030094270627 17.8191533053199 18.383071292615 18.4729307651209
TCGA-A2-A0EY 7.48893367560961 9.66879355475549 9.55406642718453 17.0380979177538 12.6952015882578 14.2659691945051 15.5107756160785 15.2572983983709 16.5291970970032 18.3912954266336 19.3405143620118
TCGA-A8-A07R 3 3 3 14.7296215277156 10.1725427605361 12.3438106321253 13.5726277544387 15.6944754573858 15.4027789203356 17.8121976491113 18.5114213698996
TCGA-BH-A18G 3 3 11.8377013413036 10.6091221824642 8.38057099756574 12.1085019738147 14.8801094595554 15.9100063198359 16.2541274652617 16.7341582044998 18.7224729398465
TCGA-BH-A0BR 7.76349172042048 8.64784509299695 8.59198540090571 12.7550984642029 11.9086292051512 14.6803114331797 15.9366566972952 16.9407637423615 17.5574213644184 17.8252729793234 19.1137877697081
TCGA-A8-A06N 3 8.28584102583077 3 18.4229453233658 8.32377299848614 12.8153765503578 13.6633154403935 17.8044978451093 15.3835463699218 17.6681537899806 17.9949407439065
TCGA-AO-A03M 6.20964192519282 7.99982118469929 10.2285724101007 13.4451754858817 12.6385955396914 13.6233171950308 15.8963844596216 17.225044751608 17.1797690678106 17.9981624344244 18.5039129692723
TCGA-A8-A09X 3 10.1502074388888 3 11.8532877891824 12.5500910287462 14.4440487023638 15.9687734526587 17.7757334048954 17.3991199087257 17.4280025987605 18.4228210028821
TCGA-E2-A1LS 10.423053272212 3 3 10.0104778343124 12.2981242940252 12.9210252370856 14.543175190137 16.4353939809226 17.4944880931193 18.2103037930691 19.0234832816529
TCGA-AC-A5XS 6.91814008850658 8.75576136182923 6.48484964668406 15.8476539730536 15.0254612706439 15.7417327199179 16.0596114763223 17.5841936878184 18.7644516265209 16.6457195777402 18.1623153680293
TCGA-AC-A23E 6.34652006655726 8.14790597484434 5.93053066305973 14.3317943446397 8.75742809661638 13.2112853956307 16.3287515731181 15.7730309825503 17.5010909681644 18.5801681105826 18.9287430119105
TCGA-A8-A06Y 3 3 3 11.202888214266 12.8845808390747 13.4612883342585 13.8549752914049 16.1843557879374 16.6974528665343 18.3499536293352 18.4639774039295
TCGA-BH-A0H3 6.37206470506256 3 7.41043696017499 14.2964334471033 14.1631629572973 14.9887472858431 16.6241078100448 15.9145591078161 18.1571181825663 18.4465771151434 18.7192400644105
TCGA-AR-A2LJ 8.72953032836751 9.62616609571549 3 15.2919547202074 15.8937668209642 15.4275004877649 16.2538522684097 18.0886983100709 18.421558944689 17.2124680380459 18.9333520203658
TCGA-A8-A06U 6.69819461579135 7.5546685552997 3 13.2545484136496 10.5386330657305 13.7107951921151 14.8357868065591 15.0992643306627 16.3087343765501 17.3472669052142 18.9225029825248
TCGA-D8-A1X6 3 3 3 19.4056995389958 11.2309815128953 13.922307603071 15.3439959327127 15.5370968334995 16.3766470371761 18.3806595756128 18.9645080583894
TCGA-A7-A6VY 3 7.36384579556744 7.56050651165988 11.7349106440002 11.8576099293573 12.7262246295516 14.7757082509365 17.8447092102494 16.4625430040574 17.4215304157454 18.9047849830938
