X6480 X4124 X2683 X10905 X4249 X811 X3703 X9761 X4351 X85365 X23193 X22872
TCGA-BH-A0HW 14.649048651875 15.8031616395861 20.2983047979068 16.7886667003442 17.2622704122265 22.380271749111 18.5461213194457 19.8546249812116 17.2664083431519 18.7163127980329 21.4786039836015 18.9208024461874
TCGA-BH-A18S 20.2690759330719 17.5581409231951 19.8288868420173 18.0822217093753 16.6116619811493 22.3034497911466 19.7261703444507 19.5023956290245 17.5737431728794 19.2178726470423 21.3782835083505 19.3413775791081
TCGA-D8-A27E 20.1631361358925 19.5149124932032 19.463474887524 17.7345866854343 17.9227767226727 22.2226182603393 19.6769788337364 20.738031818914 17.0199081912607 19.0040213721451 21.3876106238649 19.1825994948678
TCGA-E2-A1IH 17.5511982144117 17.553995800822 20.6426819910693 17.2288540266239 17.4097508898536 22.6281232736838 18.5605678242549 19.5888391752419 15.9121704270742 18.7232306368924 20.6286415613051 19.7044463243911
TCGA-A8-A091 16.0193251989932 16.986781731385 18.6297853684729 17.2301101348049 18.6112916529144 22.3177285525046 18.497292052435 20.1519730802987 16.5115916223803 17.8033886113843 21.222438873079 18.7390428580023
TCGA-A2-A04W 18.8160254396852 16.1565530588103 20.9461246219874 17.6126717571051 17.6520292285832 23.9830205775787 20.1624385351658 20.254565274215 15.6569564679237 18.2181908178062 21.4559424346076 19.5231331468939
TCGA-D8-A1X5 16.3543309300286 19.0442433995144 19.5801545925111 18.959516460641 17.7815568804726 23.3493160598693 19.2875422988148 20.2355515848219 16.8216921213632 17.8055492978404 21.3625492142451 19.5234161044795
TCGA-BH-A5J0 16.447800214739 15.676543921831 20.5828258777395 16.3137846366402 16.9262040545046 22.9645134400549 18.7924107989035 19.6485082943751 17.3310564433406 17.861351596189 20.6314521475332 18.8993777110098
TCGA-A2-A1G1 17.1427594967051 18.476297782244 20.1002759456545 17.7118869036421 17.8977058528637 23.4577455070458 19.8474704643356 19.8994188630379 16.284041735125 18.0652145231393 21.5975029447814 19.5358699310139
TCGA-A8-A097 15.8834515848043 17.2365084052741 19.7738298736608 18.1019612768428 17.7797752376059 22.1799490346214 19.0703256422287 19.9768410774554 16.9455928291049 18.2425672338693 20.683268090962 19.9498713474209
TCGA-C8-A130 16.7034909742546 15.9285527127631 19.3640327432968 16.5070599267227 16.6297457036573 23.2043786176439 18.1115497071106 18.900826657743 16.7619876107906 17.6829805769763 21.2247491518735 19.072894036074
TCGA-A8-A0AD 16.6903073115198 16.4959724012755 22.6175016035241 18.7389301114539 17.9271234215113 22.4979397566344 18.9680630809544 20.0513985905071 16.6165128583406 18.5482404928288 21.144398046443 19.9160925323113
TCGA-A2-A0YL 17.8069708887727 16.8749841644185 20.3111381822882 17.8592337630636 17.9224787640856 21.8894728100269 19.036853178667 19.4084986656111 16.4814518532482 18.1880318835828 20.8900368279383 19.4015039794087
TCGA-A8-A09G 19.1649903934384 16.0883857785614 20.3401979350078 18.0358835090258 17.8678226968393 23.7185820838681 20.7157646098505 21.1512668221338 16.426054926663 18.8311264331355 21.915547237048 19.5349441886774
TCGA-A2-A25E 15.3864842047961 17.4196328450009 20.1294799248134 17.9064016436121 17.3490874251604 22.8091096331144 19.2350630387354 20.0325550708917 16.6361663509769 18.8275551362409 21.2933392289307 19.4636070602902
TCGA-LL-A73Y 17.7102967387188 16.2878275505109 19.8159342856974 17.4685011261987 19.7573749214407 22.407657376243 18.9013037423875 18.8785067071615 15.5030942349636 17.9465170084009 20.3802190187918 19.349012610052
TCGA-AR-A1AK 17.4573506561034 16.2215554097332 20.4032039893655 17.019967245799 17.291974180586 22.4480097709884 17.9866007348773 19.0334446563222 16.5231615617022 17.9986877205639 20.682717275967 18.9669221705377
TCGA-LL-A740 19.4066815632192 17.4697628075535 20.9711074526666 17.1348640815904 18.0046845208102 23.5228148472663 19.4249081698475 20.8265050027145 16.1941079815382 18.6824646125969 21.1138592643604 19.1801608830419
TCGA-A7-A425 16.9754544364024 16.4916614751716 20.1158718503617 16.1534581753105 16.8551013009777 22.5046421140895 18.444635859825 19.5274218878667 16.4507590751779 17.7822493484649 20.5975554694576 18.5108636226044
TCGA-AN-A0XO 19.0445674638352 16.5040123746575 20.8961495459321 17.1908170529953 18.3693633962149 22.7840112132092 19.484784947798 19.951835732254 16.7730831013311 18.0946404465277 21.2932213667179 19.4832140906525
TCGA-AC-A3W7 17.3323829087978 16.8577960319873 20.4242618956965 16.7518217867943 17.299624053167 22.5866064306393 18.7839520386292 19.2815299189383 16.2394816005346 17.7350876349882 21.0990689043004 19.121475657944
TCGA-BH-A0H5 18.9588164705697 17.4898805711127 20.0306609688601 17.7077152603768 18.1919208035136 22.6308357060239 19.0209070507898 19.5738907033253 16.6072718383427 18.3983175073368 20.8840949693358 19.0797387200735
TCGA-C8-A1HL 15.6851511894823 17.0500054346969 19.7681580028071 17.105609782998 16.9995019629849 22.8002025785589 19.1002006268436 19.1668312357233 16.6020351284438 18.694761663485 20.3470300247425 19.6043678199672
TCGA-A2-A0YF 16.8174936710052 18.5880771320632 23.0505486572932 18.3057985067399 17.636635230794 22.4662339828297 19.0999521191893 19.4352403139769 16.3151425705403 19.0774797601393 21.1883992753317 20.0328178323515
TCGA-E2-A15J 18.0018412227007 16.186650553273 22.3516721090942 17.4933850848867 17.8437347007581 22.1847773278456 19.7489048900143 20.6087448036294 16.669381512739 18.442878958741 21.2159493920746 19.371892850436
TCGA-BH-A0BW 18.9457215208004 16.983822403365 20.0906434885084 18.5274727584624 18.5252509138467 23.2247241230566 19.8686277461084 19.4297683635242 15.7255412498444 18.3001817393971 21.5838841290459 20.6441861392714
TCGA-A1-A0SJ 17.4324069950809 17.7710880043403 20.1956924771142 17.5976306136633 17.6148513233783 22.1341699582346 19.3874720398119 18.836312437493 16.2873735717606 17.5797627851728 21.626235242631 19.5319889021736
TCGA-A2-A0EY 19.0338023770441 15.5157432004544 22.1831922195964 16.7724499795042 17.8454278598673 23.211691752989 19.9108906707454 20.1175404778649 16.1041621380443 17.6071525001221 21.7181507201807 18.7555674129567
TCGA-A8-A07R 18.2289379487981 16.1971152642738 21.5478669535275 16.7428981902382 16.9351817507698 23.2002969001346 20.3265647426589 19.1699790113734 16.9012979963973 17.7679327571454 21.8442026955397 18.6371417250088
TCGA-BH-A18G 16.456612251613 16.4436219737438 20.7885113135877 17.1325955945832 16.8404175107113 23.290329539349 19.7162407936332 19.067290733762 16.8973953423404 18.8929735800211 21.0378956945521 18.2717113911322
TCGA-BH-A0BR 19.7087682264666 17.1058407725225 21.4553139635182 17.7216593434595 18.1742164054538 24.3135357428331 19.1582666358875 20.8669856826772 15.6879631538246 18.2768925792977 22.1952333817479 19.5562939201058
TCGA-A8-A06N 15.1340195635715 16.2164895011009 17.3051097942736 17.0935922250425 17.3326248036665 22.0464256057909 18.2642123070962 20.28112524279 17.1280639333918 18.2530416277926 20.7208891617568 19.0589752006831
TCGA-AO-A03M 17.4944556175798 16.5885403446277 20.6474907789213 17.90221790953 17.5262785027165 22.9101785216794 18.9866204259236 19.5742684231734 16.3609383069246 17.9137515364651 21.3278838242342 19.5292257569964
TCGA-A8-A09X 18.5561741531286 17.793252428954 20.8264137790938 17.4200715213978 16.819790055661 22.8822225252324 19.6981782697336 20.8442230813166 16.1250043888325 18.6930840900226 21.4063844014955 19.4640792729697
TCGA-E2-A1LS 16.5799192665819 15.1889631105204 19.977439929434 22.2989638129187 18.927451583428 23.2550281234902 19.4807998183774 20.2182471580169 15.6568663251677 19.5264564616679 20.7061067476229 20.734153841824
