X1008 X9074 X3918 X9076 X5010 X84612 X7122 X9459 X1012 X10207 X977
TCGA-BH-A0HW 3 8.51956263800493 15.1575868308328 14.5324252095355 12.4234093634256 19.481219314168 14.5366265134068 19.106634801739 15.8693923590408 17.4418968290061 20.7541630034248
TCGA-BH-A18S 3 8.67450069700642 14.5291827727089 15.8074207186693 11.5279336767305 18.9509879289545 14.2594886858103 16.9607293297215 14.281376263322 19.0409368593866 21.1425645064117
TCGA-D8-A27E 6.51254316570188 8.48637671988491 16.4149431767486 15.7907773660469 11.5939279618282 18.9155622578884 15.7057377189655 18.7605397613121 14.6119918282272 18.888331732182 20.865276924452
TCGA-E2-A1IH 3 8.62620792192038 15.967115020821 17.2877040062764 14.6261443776032 15.9715007115653 15.8268211290901 18.6984853568888 15.6312304756412 15.6007779237132 19.3949695311969
TCGA-A8-A091 7.67217700033526 10.6950160923182 13.2478496567958 15.1732774467463 15.0284302940634 17.0150494095777 15.3012500191441 19.0400001225107 15.4847610746004 17.3431747645135 20.7005662207636
TCGA-A2-A04W 3 10.4164144211478 17.0413000461569 17.3402734329516 16.1075847963741 14.609900524952 15.6718095030088 15.7944850612767 15.2772987113354 16.6267074365237 21.7425317588991
TCGA-D8-A1X5 3 9.09256217661959 15.5283208591116 16.4457746800957 12.9648309017022 19.7812004540869 14.1147530667364 16.7528171653912 14.4778104066984 17.8219218649114 21.6646866585415
TCGA-BH-A5J0 8.70838608419209 9.1890604702107 16.6434311083386 16.4889707136466 14.6326140849592 16.7478734138655 17.5819965741485 16.400766768808 15.3098001764737 16.6892167970255 20.8433582851328
TCGA-A2-A1G1 7.35407862583818 10.1727252321523 18.8269659769731 16.4009397031402 13.1915485692124 16.3193206670457 13.2099148681146 16.76947771519 15.458212389664 17.9458992635583 20.4870356318637
TCGA-A8-A097 7.82396462708443 9.27942540156041 18.6531316616867 17.7863927785424 14.7051903243577 15.9695666574244 14.3532158981639 18.153032888152 15.5060509770264 17.4889858312457 20.0287178673181
TCGA-C8-A130 3 9.82584771809725 15.6003168666767 14.9383464135844 14.56991710943 16.459628801838 15.9343908746499 16.9044207366577 16.2906518859209 17.6196857708241 19.5820684110704
TCGA-A8-A0AD 3 9.09589062151051 12.1197400309923 18.8351602151366 11.8980011002231 16.1965838641635 15.2039426928037 19.2678536686959 14.7008683477649 17.6489043773177 20.8747790828935
TCGA-A2-A0YL 9.6888732236152 3 18.0377903403896 17.0145655679736 16.9428048065714 17.274464900768 16.5590734933347 19.2459910762029 15.2924246063212 18.5417289666799 20.171807364142
TCGA-A8-A09G 7.4824591552116 3 13.7590655805744 13.8083724962371 13.4246101238126 16.5082361345588 13.5775217489671 16.7681986546372 14.875186633819 18.7870729946049 21.0872511440856
TCGA-A2-A25E 3 8.56012750123907 15.6838349044604 15.6395544616836 13.7243799539139 20.3308599416243 14.0261162040839 16.6544991971929 15.0026066921844 17.8383678659011 18.6535389628301
TCGA-LL-A73Y 6.72648626210033 11.5973644999625 18.0774449430332 17.6155518442976 12.9918154082044 15.1783844738897 16.6306554924756 16.9861084232215 15.3845972572397 17.0966009377732 22.0100006839659
TCGA-AR-A1AK 6.85962918654884 7.88008625253867 17.7974170352966 18.2144328085916 15.4391367631403 18.693970631499 16.5855404360076 17.8504760595024 15.4653220693266 17.8913207185923 20.078099564305
TCGA-LL-A740 3 10.9501039451917 18.2599158058379 20.4916645761268 14.9672237608573 15.0568240863075 15.8229084223704 16.0597842581381 16.400966764396 17.832071498429 21.7494303220276
TCGA-A7-A425 7.73034142598761 7.80122195486459 16.4312877616349 16.5303065920235 16.2705759231252 16.5754100606915 18.9143156109051 17.2410632081418 14.7738274258138 17.6483386084578 21.9365004130047
TCGA-AN-A0XO 6.49996764452345 3 19.2756142590427 17.279731394268 14.9724515404133 17.0765812523575 15.3280708683201 16.3840256931822 16.9005259178491 18.1800802790897 21.3033979094301
TCGA-AC-A3W7 9.17466408772373 10.4291788518535 17.6874975987918 17.041329730216 15.9742058072437 17.4000275799851 17.0977608161783 16.3164652714239 15.133693803766 18.9689487271887 21.6322212151109
TCGA-BH-A0H5 9.32847875354862 8.82471877980238 17.256468736177 13.8439957552026 16.7360836210623 16.6932911324978 16.360741149994 18.7757912080065 14.2318138304395 16.8856075150979 20.0969682747867
TCGA-C8-A1HL 3 10.6614823686812 15.2727570152208 14.7894320561263 13.5613551202942 17.3005718880035 15.8489313566091 16.3368758793501 16.480807832592 16.9777392825927 21.1359368189207
TCGA-A2-A0YF 3 3 17.5334853174537 17.1399187026205 13.6740974348805 18.6392301997178 14.9642153503099 17.4669547964292 16.360315791765 18.4969035724943 20.5680179873918
TCGA-E2-A15J 3 9.76201583628912 18.1014510752491 16.9171612518803 11.7649583590946 17.7008169471866 14.2454595854408 17.5763668359409 14.9331178285854 18.7138819397302 20.6874311345869
TCGA-BH-A0BW 3 13.1284534242298 21.6731164457256 20.1778494555375 13.6216821945717 16.1489606548893 12.3383095874861 17.5122076364565 13.6883737764677 17.7158675826925 20.5896398440105
TCGA-A1-A0SJ 6.82774070701048 10.6107224185918 17.9379056596205 15.3544704360503 16.065152418522 18.0229771296934 17.7479661843673 18.591971988634 15.99476934392 17.0257075790807 21.2560510948812
TCGA-A2-A0EY 6.7674129507791 8.75787543893416 12.9602706689795 18.2074626742262 14.6919098529474 15.5857539222331 14.227769852957 16.4068358187489 14.4809043615668 17.2557689220504 19.6374121107006
TCGA-A8-A07R 3 17.5974773131516 18.9559507726968 19.3059481049244 14.9202265775679 16.7503392135097 9.72602796843143 15.937304830453 14.1929488748472 16.6233837821513 20.0030759946733
TCGA-BH-A18G 3 9.71871337046798 18.6042583079578 19.8320126784252 13.2692934321444 15.1394255234483 13.1190358011977 16.5973282252667 13.751140352134 17.0956510996463 21.7165764315158
TCGA-BH-A0BR 8.9667967566161 3 20.0281229156282 18.4412430150281 13.563554268423 15.6703858070797 15.8354581041121 16.9681772445144 16.4383853889622 17.5885127602303 20.9251439618144
TCGA-A8-A06N 3 3 10.741788496464 14.0909460729773 10.231216382914 19.6444698887905 13.8838980821347 17.8283207089167 14.5365428517724 18.2248026005226 19.5449089731233
TCGA-AO-A03M 9.10721098434741 10.5301122447904 15.837468405805 14.9109629581437 15.6107810599959 19.6737440205833 15.7803037234492 16.9259632920554 14.7187143432451 17.7921900747872 21.8110006301876
TCGA-A8-A09X 3 11.2799785626234 11.2558879048779 16.8857563598163 12.7606000395824 14.6713535852329 15.309546162857 17.1719302165108 15.7740254991398 16.927984943596 20.6123241409282
TCGA-E2-A1LS 3 8.30003748180572 18.343162385889 19.2526025886469 10.9339108285078 15.9551922178486 13.7105419115757 19.9113824707331 15.8405721196122 16.2737593632642 22.2360279172415
TCGA-AC-A5XS 8.09637374448491 11.3016643633713 13.9909616722982 15.8306673259224 13.8649366560326 18.1345028592633 17.5988991889403 16.4160070542502 14.6574180828087 18.383638335102 21.2826515418776
TCGA-AC-A23E 3 9.52077697196362 18.3352078564224 17.767884869335 13.3699026626376 17.2860879578676 14.5032260618561 16.7558971112145 16.8363533795934 18.3335704114225 20.379029433146
TCGA-A8-A06Y 3 8.03911817532449 16.5321349695008 17.6520145672615 14.5449591956048 19.8216285600093 14.5153677082381 15.7529683167103 15.6374648202464 17.1895242575358 20.1763476492751
TCGA-BH-A0H3 7.5238147353632 9.54877429295816 18.6922386356976 16.6680780382293 16.3482201953958 18.977781967541 16.1104208290424 18.1796788612508 15.551524035222 18.1099723807931 20.1792436997751
TCGA-AR-A2LJ 3 12.5353433470812 16.1684191592777 16.5239051931393 16.6872419325067 16.7512141547132 18.350576841975 17.8023482066232 14.1634582624954 16.6507970325112 22.0451801276415
TCGA-A8-A06U 8.43539293521753 10.2219101962767 17.7964249381603 15.3894337932171 14.0507835041062 20.6806513320156 14.2059870720297 15.6965317631982 14.7071715169197 16.9052942245394 19.831492541722
TCGA-D8-A1X6 3 11.3421293890289 9.68797074627386 17.3053236648612 9.8775483430118 17.8331061434787 13.5974829989708 19.0928552712136 14.1587259446184 19.245980294931 19.6159951129267
TCGA-A7-A6VY 3 16.1621997467303 19.4504510992026 18.8525348670192 11.5437160050198 14.6191515527633 13.0697322023181 16.4745769523889 14.3635015241099 16.9537020193063 20.4501982004277
TCGA-E2-A15O 3 10.5155080455813 15.3927562078156 14.8761613621905 13.0000350525059 20.0336776539134 14.9434756620308 17.9417419769584 14.7094465530859 17.9010970548259 20.2995898303642
