X8342 X8359 X8290 X3018 X8337 X723790 X8468 X8370 X50511 X8338 X8334 X79682 X55839 X4001 X401541 X10735 X5928 X8467
TCGA-BH-A0HW 12.4875258936714 11.9692860472371 3 10.7067009633891 11.4771270444911 11.4383486443853 9.58219443359045 15.02975964509 15.4046035937823 14.4523465388772 22.7787135636319 17.9137126554894 14.5599094856121 17.8532702599437 13.3702543343583 18.6887759593514 19.3125332062972 18.7657348867922
TCGA-BH-A18S 10.8426666554941 3 3 9.29156000623536 12.4812977715797 12.5942596320858 7.21988087874653 15.525500527703 8.53863889369879 15.8028868323007 22.1180223520468 16.1560032658664 14.4738088132017 16.4239787845386 12.8885651997524 18.6834074666249 19.4742409042968 18.8295869443949
TCGA-D8-A27E 3 3 9.32607460624419 3 10.7090840422784 3 3 12.0475972565226 10.3241519734229 14.3115498919155 21.3170956715068 14.4046848647594 14.9211706419389 15.9127146500267 14.4803315673324 18.8902078233352 19.0462923168729 18.9274522294032
TCGA-E2-A1IH 9.80009877244954 3 3 3 3 3 7.17329444849248 10.0829405511525 11.0484117982828 14.6607473125491 21.1758645613988 17.2757919571468 15.2709398437676 18.113152361468 14.7437245732454 18.8218469897894 18.9280488291409 18.6320963770313
TCGA-A8-A091 10.3026368979933 3 12.6594485192437 11.3196109370583 11.0936734853354 10.7343562778007 11.6011256300253 12.2439815154738 11.9215394858584 13.9043955743517 21.5295392510837 16.6679369329362 14.7808724686279 19.0596092530554 14.890585109235 19.427510579048 19.0354034710793 19.1573703009046
TCGA-A2-A04W 14.4062259960537 3 3 3 11.0766780031082 3 3 11.1111246074541 9.28781896964962 15.9571551352825 18.1789283490072 16.8265146185647 16.3991262463795 17.0193201002128 13.7225131301265 17.6277377541622 18.414597184935 18.3946337075482
TCGA-D8-A1X5 11.2663526376781 3 3 3 9.74812821354836 3 3 13.0506863295838 11.0255648081195 15.5857631096001 19.1614001733168 17.9458227022007 15.0291054803439 18.3443443104762 13.5327947142821 18.3855246083014 18.6780741792581 18.7834828720376
TCGA-BH-A5J0 11.9474331186871 3 3 3 10.8388455213508 9.80658713703394 8.69166829285767 12.8162370607835 10.210141909424 15.7183937101562 20.4668056538372 16.4387798079311 15.3517371758583 18.0899944227759 15.1676767377375 17.5584716727248 18.406413293275 17.7707842405966
TCGA-A2-A1G1 10.553431819778 9.84656680193419 3 9.99375193170718 3 3 8.46760709201752 11.2506787717228 11.8920916275295 13.0983272715393 18.0117082807022 18.8739461146941 17.3745066847729 19.4526354375406 13.6340935069414 19.3721284636775 19.3277701694765 19.118882435974
TCGA-A8-A097 11.041575328237 3 11.9252067486443 9.89991464142812 11.5130288274572 10.4782987056653 8.37521073516354 14.0827327156065 9.46042699233043 13.1191813160944 20.9620248307982 18.4719717156556 15.5210359367541 18.9525300203394 14.6208593903089 18.3171488347309 18.548670867663 18.8382610598171
TCGA-C8-A130 12.0062774823511 11.8797426545112 3 11.4442731099646 9.49256572998169 10.4458634633 3 7.75800048420967 12.1363619940633 16.0360470601553 20.2116801832525 18.6209320403485 16.1878821111568 18.9301029551107 13.8040568489469 17.9084008600615 19.2239256486392 18.0215758861358
TCGA-A8-A0AD 10.2743865722006 3 3 9.71548735552957 3 3 3 11.4288645256361 10.8490938000759 14.8755944716753 19.0991424499342 18.1420661055373 15.3280841545276 17.8689906383453 15.5016037805745 18.7030044286039 19.1763292833617 19.2167518660577
TCGA-A2-A0YL 3 3 10.4409578824806 3 3 3 3 10.7975075275191 11.9662216267825 14.4905828651341 18.4762802209001 17.3528164570251 15.4214705762634 18.2034298624159 14.9708975476661 18.9001741496959 19.0383137506217 18.7052933414739
TCGA-A8-A09G 12.4897760883426 12.2928880842569 3 9.13770606281692 9.17352522670031 3 3 13.239790840408 11.3999798269681 14.2322923160264 21.0147079515847 17.9416735304116 16.3631904331472 19.2449163751886 13.8332191889885 18.194007817081 19.3652356772879 18.0288693299804
TCGA-A2-A25E 11.7230339780522 3 3 3 9.21219198105208 3 3 13.2538909111087 12.5623455025949 13.6868081794504 20.743392934794 18.8865308830789 16.6358596480576 19.2895035325124 14.3848482697536 18.7114958174926 19.7194489991471 18.8775036864532
TCGA-LL-A73Y 3 3 13.0017328571617 9.33181792532629 3 3 8.2203034582483 8.60724559243975 12.1943554161102 14.014078901237 17.7525596866909 16.34081238141 15.6999519351017 17.4826619129847 13.2386926236512 18.1298674604949 18.4585671679869 18.1000076350657
