X9370 X4656 X50674 X2167 X148738 X5346 X6327 X3785 X3172 X2657 X4825 X8913 X130399 X1287 X55800 X6329 X80031 X57556 X3786 X7026 X2494 X6478 X782 X375790 X6196 X784 X3280 X4088 X6195 X1175 X79718 X207 X1741 X9440 X5306 X998
TCGA-BH-A0HW 11.6985041219891 7.72979963679447 3 13.6882414500294 9.88591736979215 13.7966022660524 6.84739755812774 3 3 14.0860013809027 9.00485587486718 6.70662543808413 9.27386426826276 15.5383405186231 8.08666552726661 10.0603581574026 13.0784900600159 16.2645399048251 11.9962638958594 15.4071548335478 14.2139248616639 19.3495947763243 15.5550601549367 18.5739255844067 16.6125657489716 17.3480329370207 19.6348465954603 18.3036201361152 16.6104547803203 19.8916053870569 19.3197138589583 18.4167874344729 18.3234221411601 16.5047067601735 18.2287414993292 20.6445514637321
TCGA-BH-A18S 13.2055322727106 7.88234973862713 3 15.6910706468807 3 13.7001474857728 10.0004994749345 5.27331646969238 3 5.7656488396668 8.84383332054026 8.20457242623723 11.9328369739171 16.6657670185385 9.67539696684734 10.2174432874304 15.2341402588906 15.9059021289396 13.2676113423326 17.7655964685979 12.7468841381055 18.8733246872751 14.2835464039579 17.7493247949305 15.096619192701 16.3105927584576 20.3906535823886 17.162522558822 18.0346816148888 19.6500927145582 18.8829479851994 18.1862390560455 18.303390353527 16.2934759600668 17.9575483771203 20.823002516576
TCGA-D8-A27E 11.3362561847549 3 3 13.8590293282098 3 12.5190207343546 7.36625039413724 9.28896410267604 3 3 8.65526486037002 6.14574230090176 11.4304660841547 17.0204474649315 14.4572348150054 10.1724513858384 18.8723923070062 13.6666057940393 13.7537165306362 17.6572192208185 13.6522024561365 18.9157467217246 14.0372006090106 18.9109930700591 17.0824462539527 15.8389528536021 20.0097634287211 17.6219226361042 18.0779569620419 19.4937068743676 18.516486716159 18.5321073220957 18.2654879897717 15.9915895849985 19.2503931540998 20.6415872725747
TCGA-E2-A1IH 18.6911162449992 8.80927289913969 3 20.9984720382445 3 18.7813033610555 13.1483439043529 5.23437406153312 7.89609957393965 7.54985911850357 12.0573317677128 12.7611540701274 12.8538788887616 16.5049880419423 12.1323599780974 12.0951949135907 14.3422961648355 15.1510784188214 14.002273290012 17.6738073515084 15.0676848601025 18.8855011401613 14.0768204594008 17.2614515651232 16.8876441558395 16.2819197562719 20.2626883952841 16.6874256978532 16.8955693824062 19.9001304486435 19.1732320326615 17.3602928694928 17.666597005637 15.636491770618 18.5333748949141 21.1578112018232
TCGA-A8-A091 16.7591263610353 3 7.50579518300448 18.252960532773 7.73677100936508 16.5040737030178 10.6514226770604 5.64701465062979 6.19774828062998 12.1044360582263 13.5526796851713 11.3269492895312 12.1039865715308 17.4577461209461 9.99218753108262 12.7957251410417 13.6406760287241 14.2716341502907 13.5896291560727 18.5068255260166 13.5037673508243 19.2266090868991 14.2626725567829 19.3963168980982 16.0889495408212 16.6963421340194 19.1533638121951 18.5225017898271 17.4732375107948 19.0942392073962 18.781983742713 19.3178210873771 18.7823956135293 15.4516671202573 18.3793394727085 20.5138327914091
TCGA-A2-A04W 11.17542098203 3 3 14.7913996319589 9.00906826621459 11.6771884094322 9.26750863903682 8.0665808572622 3 9.12631456933803 13.731060415093 10.5783044042993 8.36277442286407 16.3317045815643 12.8233265359314 10.1723694887727 13.2696320365393 12.7429224073976 12.3484620453952 18.0809871540907 12.2903129191961 18.2685051854352 15.3311677008251 20.0426576889844 17.9668053961406 16.7908715744395 21.2888669563891 17.3204144362304 17.861949899509 20.8136799890991 18.3538557943393 19.5896859301675 18.1172964154377 15.7399610724037 19.2936853293712 20.9733775013518
TCGA-D8-A1X5 8.69199754303447 3 9.42591983845796 14.7284987079845 3 11.6487012816717 8.36251674010706 7.0397284688333 3 8.31998204552569 10.2532718169835 7.2528895648553 12.8098324934132 16.2352235687917 9.10757949323404 10.4776264069642 11.729510789229 12.4403190863978 13.1661017705536 19.0823024811657 11.7620089253723 21.0396757696689 13.7580019521878 18.2237867718635 16.8229259830108 16.3731846350265 19.0091353553623 17.3416617453133 16.3504102795872 19.9628582908694 19.73945366207 19.0189462649585 18.1588918663227 15.3946385401924 18.2677664752961 20.7080683125066
TCGA-BH-A5J0 14.8227971764766 10.9465861584419 3 18.9799870593699 3 16.3555688340828 11.75018499524 8.30643274082048 8.71012705624578 11.1089930041924 14.3080235756773 11.7575120701011 11.2631154205658 16.5082274860197 11.6112949967127 10.4553446727912 12.3638418562269 16.1341392726041 13.0485555065091 19.3680456532828 12.3182611016681 20.4322270236956 13.8489504391547 19.2378166923176 16.7651202866986 18.2881364963345 20.3068070976594 17.3701373432831 18.6890877500244 21.4898014300276 18.7507879625282 19.0236391298485 17.2708521513899 15.6791098435189 18.1015492991247 20.8522805440737
TCGA-A2-A1G1 12.0380986296048 7.60258865136902 3 15.0988888781523 3 11.8465813170865 10.5728819385493 6.37909017303945 7.66353309748812 8.85564435984332 12.5298091142754 8.08727096929972 13.8331188585625 16.9874677512875 10.2063484517297 10.6405349675854 13.2859580582307 16.3547186321468 13.2379883083063 16.6191131298062 12.9715460329305 18.792574839758 13.561569412035 18.0930294433549 17.4053990126372 15.5513002683278 18.9753054731364 16.1193822381825 18.3194262769601 19.3776240857837 18.9065811398542 17.1106440614316 17.5858742047563 16.859411004312 18.9043540538516 21.0779968015772
TCGA-A8-A097 15.6544082751543 3 9.61332073153375 18.7956739915983 7.88881614660128 15.860542029221 12.8667583513992 4.9766422779589 10.8390915760316 8.00397611390695 12.5013329948144 9.70049639849222 11.272205311251 17.0919559628163 11.0315174745616 10.9516970081582 13.6833558628741 15.4721007611555 13.3845389880012 17.9510424678232 13.0610088976382 19.0553412552714 16.3873432996396 18.4164219461042 16.3197422339559 16.7278468945797 18.2682386769856 17.7721707973365 17.229762787531 20.1646715483951 18.7577375854625 17.4784527432378 17.8452560219644 15.6831082314479 18.4090604625082 20.5599770190111
TCGA-C8-A130 14.3834468833958 9.59960364405791 9.74928711328356 17.7793406647851 3 15.7062787452103 9.25772999612478 6.79862755554401 6.84530060223475 12.3919373940547 12.1975067715251 9.73790699566124 10.843044256415 15.9660087700569 10.5858643683848 11.6585002954002 13.6074035224692 16.0900630718335 13.1006149034406 17.9448604321409 14.1935987320678 19.8046313847486 15.6614724428605 18.5839689445275 17.0184298164119 17.4108332219264 19.1560221843786 17.1695787324236 17.6334360339515 20.8105398256737 19.2942037957627 18.7746904024251 18.5721715243844 15.9151860780104 18.8243067332052 20.6866352665589
TCGA-A8-A0AD 16.481102393965 8.29839026437597 8.44590284983893 18.1581697423691 7.70941534175828 16.3639189414287 12.0610186755411 6.50105135097475 7.09012799942656 8.01032779162218 17.9588745320155 12.1959524485002 14.3936862406373 17.4172042236471 9.45435178316725 10.1610747523769 14.570179930805 16.0487779384971 15.1670642995559 15.1302785742372 12.5265180367461 20.6207028390934 12.1780767244029 18.4793610260066 16.2350219309654 16.0060708127933 19.8533152952456 17.6948572677359 18.2786739304065 19.8676143999018 18.3682713677017 18.4882995219545 17.9562995823358 16.1152558293751 18.9307046492074 21.3547348980437
TCGA-A2-A0YL 14.1083262068292 3 7.96326389900935 17.5429598516937 7.23571340353345 14.9360639341005 13.9590804275721 7.27018805109142 7.56877946564314 10.0644770217408 9.35371381733626 12.8868444174208 11.6871892616071 18.5185942350993 13.1853779330285 12.7439449373903 16.2166545126128 15.9176305684343 13.2640758228505 18.7126708582291 14.135143163789 18.7462422603318 14.2820390967988 19.0193768387049 17.3205495708879 17.3496352856458 19.3678554023932 17.9022474902245 17.2992892715499 19.4387421134382 19.1629633452595 18.0181170059042 17.59256086179 16.322028805094 18.5071090218292 20.6929653694686
TCGA-A8-A09G 16.158207727127 3 9.42959278401295 18.0442297604889 7.1520839398955 16.3942171885634 8.77240883415403 10.3156668024357 6.54721888388684 7.05472790118756 9.26636505514418 10.2662828368821 11.7202079710407 13.8691036193578 11.5731807316512 13.8598929725274 13.3716636586542 13.2787321025597 11.6838965195273 18.16496056863 13.3767906595343 18.5772302342302 12.0493647648623 18.6323527552235 16.7911380922117 16.6427496214345 19.5403026851098 16.0941610273995 18.553681252668 19.583097521942 19.2461751829297 19.6438168403384 19.131589430959 16.0433542908928 18.322990604818 21.0351775169529
TCGA-A2-A25E 16.131762780324 9.31898135107002 3 17.898795044879 3 15.5424119239082 10.7459058752655 6.9207721343163 5.69872926503955 10.7117350444185 9.88393295728225 10.5477401976122 11.5228741338313 16.7955345494171 11.0446989158338 11.9447515215546 12.9386978301346 15.9614731709759 15.1873151447614 17.83035864861 12.6778323303463 19.5593411856599 14.956569628355 17.3596409657019 15.3452824230263 17.2613183087214 19.17333806715 17.4880669606534 17.4858483500098 19.9174908962255 18.4893159472198 17.1616170311389 18.0938115055279 15.5313694723713 18.1630483042356 21.5523779972326
TCGA-LL-A73Y 15.2739416404706 10.6877269864496 3 17.9477287857772 8.30232359592006 15.6102214674716 11.8763070779048 5.30574799310159 3 9.18192988123194 14.3355558918075 13.1494647420205 11.2887732078552 16.1555187024404 13.2037778329707 12.817771637115 14.1227481132404 15.0706073198822 14.3930458050447 17.6454966737741 13.8202703245494 18.4100043276083 15.2266599483471 19.3278310078671 16.9412720147284 15.7446960199324 18.7786053947597 17.1500750356663 17.6502146349997 19.6090134816186 18.3026794257507 17.7983356389775 16.3691961441652 16.3001608787551 18.8522897084816 20.1407730405734
TCGA-AR-A1AK 16.1112094263269 11.7207201962289 3 18.8107856172184 9.42567151523622 17.2630918252588 12.5308907203947 3 7.81077356271166 8.74756267523054 11.70666024674 11.2366127149702 11.6407242580263 16.3569829283999 12.6639552033449 13.1633194114265 15.5283142776089 15.4123267366442 13.264484317234 19.274691263925 14.5181528589136 20.6788663627535 14.9771855867617 18.8560474446111 17.0722506385063 15.6834737765619 18.780469952868 17.5566541492124 17.3071912135981 19.5574273366025 18.099765867674 17.8797688545459 17.2917948028314 15.5547441019868 18.8386780715241 20.370380582035
TCGA-LL-A740 10.0074989541116 3 8.31864587097572 16.162241460524 3 12.3744203650249 11.2491541085437 8.96104706036977 9.88470814745291 9.84705820548932 13.3657994200955 12.4986122560818 11.9369307406119 17.4713130174154 11.8781748658772 11.679449863551 13.8551378339673 13.9153230022227 13.7130858886858 18.8340235836651 13.830737716822 17.9178451632043 13.4088315802303 19.7030071427025 16.6753049646952 16.4315753548136 20.2269353900358 16.3270451097613 18.9324662735135 20.8401032323004 18.0924040915336 18.9771189358539 17.7829039160821 15.8300511436145 18.5954636269608 21.2429470396243
TCGA-A7-A425 19.1903084208045 3 11.0916028941218 21.9942845725914 8.36257279329503 20.273209901589 12.2161602069226 5.35524639464565 6.78533881616735 9.97220493470601 13.3144975507558 12.7038213239684 13.061531450295 15.715465169161 12.1270961671155 14.2550498835768 13.4670019493233 15.3672042489433 13.3903610780954 19.5915733819967 13.4305350803083 18.8705619487692 14.770447066011 19.3611492567048 17.20413148176 18.2690833830162 19.7453323079254 16.8427727262923 18.2358747310269 20.6377895306404 17.1037611520111 18.9202761873885 17.5710217092076 15.678944632115 18.2457066046929 19.9852919436949
TCGA-AN-A0XO 9.8524878585186 3 8.80387746899195 14.9861748311929 7.10496477510669 13.3698125849429 13.4179478312207 7.13925826830426 7.04345180025901 11.4636306059973 14.0226459370678 11.3210469654611 12.315839779054 18.0456513056549 10.5272532813326 10.3730840959997 15.3357246058135 14.5500029777232 13.1981260792475 19.5818022768929 12.7311934088661 19.5333952957161 14.2546410197841 20.0233166545264 17.1945022697501 17.7293201668868 19.9556099006874 17.3277309220959 17.9927270906387 20.240047303536 20.4209309751397 19.2170342049203 18.156253363093 16.1606002481401 18.5392503894659 21.0451301777587
TCGA-AC-A3W7 16.5747424679759 3 8.78496660096407 18.7085944701174 3 17.7105051264799 13.4257779225199 5.91846428931658 7.98037648944988 10.7770213908646 15.6103425320177 12.4808981006726 11.2895965168345 17.2773060460949 12.1787553854484 12.3867822585154 14.4816848996755 14.9641984599175 12.9927713426169 20.1854496474934 13.2906831084187 19.9117903473715 14.3816677202344 20.3913633482282 17.4636483081644 18.6902809576852 20.1085136952031 17.2442940616166 17.8521176619776 19.6747347054004 18.1729930525069 19.3527273644559 18.1299442711204 15.9528960213481 18.0885375538294 20.4735017596683
TCGA-BH-A0H5 17.7326057498093 8.03048178948023 8.17724811197287 19.6734738466658 7.44537178610277 17.643316563885 11.7859821086049 7.48010469233007 3 9.1688752845727 13.3302303002249 10.6825642343726 13.041671318212 17.2733889536044 11.3592452144943 13.1245743955088 14.4688603537211 14.5829082436963 11.6178689334946 18.6656923856279 14.1060193281434 20.5114567536662 13.9710871786 19.0037588117564 16.9123210722036 16.2417037514218 17.5631391680631 17.46539322839 18.4320427942328 19.905531215841 18.9758273331066 18.1341421608442 17.6837522904697 16.0120428384351 18.8562794671077 20.9732023944122
TCGA-C8-A1HL 14.2564700869002 11.3308665957263 3 17.7812779243454 3 13.893068034681 8.93388539529209 5.84209564125331 7.33396951556991 10.0409765386212 11.4160510750872 10.5031764584946 10.0283760159992 16.4812499933249 10.1463658849798 12.1117771265165 13.7204137367895 14.6830827683261 13.899500256553 18.5932556881616 14.5572480037681 19.4706910852264 15.9299630646263 18.6768762254811 16.7449227129027 18.788999486236 20.1817013426963 17.3955655712302 18.179389821093 20.7099249304741 18.7103241368776 18.9895996922305 18.1762744845295 15.7770052275533 18.6990268878417 21.1516257761699
