X114 X111 X5136 X196883 X5153 X5575 X57761 X5154 X5155 X207 X5576 X6774 X801 X1399 X5566
TCGA-BH-A0HW 3 12.6852486311008 12.3826920375119 14.4766206207418 11.9141928186665 16.0748031179277 19.9589000258452 15.8730010441 20.0838928703009 18.4167874344729 17.4286332536239 19.6535565507085 19.8079095558819 19.5466757606321 18.6187042554512
TCGA-BH-A18S 11.2656892744342 13.8347579408801 13.0705943635003 14.1776554936116 13.5872191202752 14.2085413298883 17.9194160421116 15.9721521579235 17.7858311546198 18.1862390560455 18.079908292943 20.2776606024238 19.0632019991675 18.9179314270204 18.4718681754503
TCGA-D8-A27E 10.892073566505 15.1541919947944 12.4641162407888 14.3621378980192 12.2439208363557 15.9525125023995 17.4552562322977 16.2715779717999 17.3654876380546 18.5321073220957 18.5434744480116 20.3029927473939 20.1215868467701 18.7394453788671 18.7199024879425
TCGA-E2-A1IH 3 13.4849468839542 14.944395520319 15.6604350895837 14.9355549698791 14.8393389233858 17.9759588956145 16.6803444331749 18.138964206621 17.3602928694928 17.9865672127818 19.8619049129524 19.9525023579274 18.4569275799096 19.3662660399495
TCGA-A8-A091 7.70414187409255 18.6532768621625 14.3342674801033 14.9664763999006 13.8213406943921 15.7540953721929 17.6128521278117 16.7160316493222 20.1624191244623 19.3178210873771 18.0163813168802 19.1434934898034 20.491519337285 19.385184065338 18.6931627950941
TCGA-A2-A04W 6.74266179726588 14.5410803327678 13.868521233337 13.7185884315695 14.2199095022757 17.0863724418787 18.7352465244256 16.4612103376547 18.1398317305305 19.5896859301675 18.248150677142 18.5200341535785 20.3249905147091 18.8378395382324 19.33313595392
TCGA-D8-A1X5 3 18.5542064010153 12.5685945960354 13.5449566906913 13.4168992595068 15.9266726882878 18.3587934052404 16.2466644922092 17.0967602707767 19.0189462649585 17.9367979797621 18.4261838744241 20.2365488836515 18.2725608990126 18.4089870635851
TCGA-BH-A5J0 6.52313870618241 16.3524270918135 13.7996898825348 15.1180918774359 14.1261044088835 17.2619243930031 18.7902425149253 16.4705824525854 18.4815393606005 19.0236391298485 16.9752263497118 18.7903180015116 20.4457220175046 17.8504444767208 18.9404763767419
TCGA-A2-A1G1 3 11.0320622067339 13.6285510149581 13.8147883873154 13.893825276103 15.3726918791386 19.1261049196075 16.242391147592 17.7660915687337 17.1106440614316 18.9465962569149 20.4511369642476 20.1011583830785 19.2674524007347 18.871086021287
TCGA-A8-A097 7.54653045189876 13.8674423848339 13.730375164369 14.3984313437531 14.0431507655099 14.6066613583801 17.9493590704904 16.7250263090982 18.7314530139285 17.4784527432378 18.729443525717 19.9416395265126 19.6746756643904 18.8053164767202 19.1804551259893
TCGA-C8-A130 3 13.1566615729758 14.0177362808171 15.5317582755369 14.4605089948037 16.5239026735287 17.3173420635563 16.7601010048874 18.4476019312204 18.7746904024251 17.4141353464249 19.4388348678027 20.3660937969976 18.488888868222 19.3135360539366
TCGA-A8-A0AD 3 16.2953745064563 12.623740069911 13.7134765652971 13.9329108795839 16.0189203783188 18.0406900213765 15.7767490275024 17.9723569984787 18.4882995219545 18.5009033782872 20.0945624672889 19.6650003230071 18.8543378563545 18.4846746560628
TCGA-A2-A0YL 7.45354325003665 14.941930210531 15.1429426781282 15.1414600632413 13.677027788388 16.7605539474322 17.7287599845634 17.1594101969269 17.772875965803 18.0181170059042 17.6959511531517 19.5665911250719 19.5861731652433 18.8917600937598 18.4920909571929
TCGA-A8-A09G 6.8187630498853 16.5275317578839 14.071509034436 14.1867559101127 13.9595012745323 15.7508052702237 18.3012120292614 15.2657772360087 17.8097518709602 19.6438168403384 19.0645350061441 21.1211856574017 20.2627500592258 18.6157256385659 18.1983227049013
TCGA-A2-A25E 8.37214773696432 13.339042320323 13.1997064075238 14.3874474467297 13.2757476038088 16.1662234880544 18.0790118107809 16.2428354045154 18.8006318000626 17.1616170311389 17.6598883300102 19.5262037487139 19.7726044896768 18.6853884537188 18.6980769058058
TCGA-LL-A73Y 9.51032375515347 13.8441598421685 14.3210401618411 15.4969738596611 14.1964497020509 16.4538033107946 16.2540817090101 17.3279457848076 19.5134804895979 17.7983356389775 17.6793010703685 19.380004676806 19.8654380842994 19.0892236761799 18.4368980162612
TCGA-AR-A1AK 11.1455136812917 17.0149279162968 14.3437149645977 16.4699058142121 14.3614156067075 16.2897451911184 17.841598790085 16.4760358515997 18.0085995149941 17.8797688545459 17.8564998471057 20.1613565398597 19.5713693449748 18.6104792969908 19.1321712210009
TCGA-LL-A740 7.24512045384381 12.1348217046752 14.6217518586414 15.2699349083869 13.9986845180526 15.7875718417597 18.1085991492339 17.3230310765196 18.6347521760891 18.9771189358539 18.4054958885003 19.6101760252461 20.1788145643735 19.0493586831507 18.279773402801
TCGA-A7-A425 8.58653319522621 15.5837121266708 13.4031694055608 16.3113275299364 15.6385787351894 17.1774874870685 18.530967468574 16.3420877675697 18.1724404706472 18.9202761873885 17.6932213560824 19.4471929779417 19.2354793129539 18.2078482618517 18.4199934561384
TCGA-AN-A0XO 5.87427915478252 14.5426317839924 13.3538083444669 13.1223798136542 13.1367176948574 15.8995880050486 18.0555731803488 16.7481416212631 17.9008774671938 19.2170342049203 18.5289924392934 20.3872718937906 19.8554745057299 18.2806244538438 18.5581792941473
TCGA-AC-A3W7 6.75454584410486 16.558081497796 14.3405766694867 15.6656379865368 14.0284124094067 17.0882612912488 18.6169112057138 16.8635157903711 17.9189966308667 19.3527273644559 17.983887795679 19.2680246625462 19.4184787970421 18.1908125785396 18.6360652958727
TCGA-BH-A0H5 9.73578090976983 17.3000841642953 14.5521046188574 15.2455560457781 14.7636949843663 16.5952820632955 17.6962768746597 15.8084800782531 17.4335980057387 18.1341421608442 17.9764236346099 19.9938411602838 19.6417070595003 18.7858458215311 18.4987669076571
TCGA-C8-A1HL 3 13.9819601820578 15.2086847114346 15.6599559655402 14.2130914767416 16.9930076598948 18.9856119148298 17.6076738622403 18.7382319122991 18.9895996922305 17.9266285625751 18.6013302582412 21.2947088535627 18.3234018486431 18.8167222083532
TCGA-A2-A0YF 6.68310606124205 12.437333244637 14.5371162463463 16.9242057193111 14.0709687908562 14.8698958541571 18.5296015030025 15.7214791950331 18.0698587297607 18.0185261957053 18.5686321176476 19.8601557608382 20.0673688514616 18.7103635801785 19.0131731118139
TCGA-E2-A15J 7.61637788924084 12.8828423933526 12.0591707454282 13.7977929534277 11.3498566493158 16.2333423585924 18.1695479865155 15.9324371935282 17.5404985646571 18.5312275084215 18.2648266943805 20.3964538474116 18.7874192862667 18.8819354737256 18.9639376749251
TCGA-BH-A0BW 3 12.5995235539737 12.1811136048204 13.0430818405631 13.2003282420988 13.9401852044595 17.3864460321364 16.4902177334695 17.7160887833753 17.329316385854 17.553434720617 21.2581047131757 19.2659075167557 19.1598674980874 17.44037667576
