X8354 X3456 X3046 X3045 X3043 X5575 X161882 X91768 X3717 X3705 X221037 X64837 X5576 X3799 X998 X5566
TCGA-BH-A0HW 3 8.53671069696515 3 12.7245072308467 17.7402552257023 16.0748031179277 14.9040455141905 18.3274462136967 15.4796361011159 19.6588603301251 16.1793834363219 18.4341455576114 17.4286332536239 20.1693546234162 20.6445514637321 18.6187042554512
TCGA-BH-A18S 9.74057559887539 3 3 3 15.3768635112588 14.2085413298883 14.5817221837291 17.9974770048736 16.0797629183916 18.0890853357174 17.3868288810499 17.3263371465231 18.079908292943 19.8198084759363 20.823002516576 18.4718681754503
TCGA-D8-A27E 3 8.50351593909696 3 14.4512222588176 15.2436409619756 15.9525125023995 14.9427788025432 16.9177717856473 16.2732222900328 18.591841639417 17.2731596720038 17.9057668982414 18.5434744480116 20.3132790845377 20.6415872725747 18.7199024879425
TCGA-E2-A1IH 3 3 11.8278668055033 3 18.1404268836578 14.8393389233858 13.8014016212964 15.4970351629621 16.8262810090384 17.5088448264464 17.4959687488408 16.6056075069378 17.9865672127818 20.3657123664513 21.1578112018232 19.3662660399495
TCGA-A8-A091 3 3 3 3 15.6355390908115 15.7540953721929 15.7322788729697 18.6870199165798 15.623210205233 18.7037046509771 17.1982405976075 17.1851672231988 18.0163813168802 20.3988714652182 20.5138327914091 18.6931627950941
TCGA-A2-A04W 11.4930018762511 3 3 9.14002205340667 16.9112467437775 17.0863724418787 14.6122991051159 16.0457982502227 15.9982484488949 17.181603803893 16.426558642029 17.2827684290746 18.248150677142 19.486793813263 20.9733775013518 19.33313595392
TCGA-D8-A1X5 3 10.0993519365051 3 8.80870926140839 14.7198493269098 15.9266726882878 14.1538011610336 14.8326636835096 15.9331997152465 18.3421517566995 17.2223355350148 18.2630954204888 17.9367979797621 20.6895566857218 20.7080683125066 18.4089870635851
TCGA-BH-A5J0 3 3 12.2475120130023 8.90490567656975 17.771555245891 17.2619243930031 15.2299803135179 16.7039533540248 15.9914464272344 18.2375678078568 15.7490374441209 17.7435686550529 16.9752263497118 18.6534457019941 20.8522805440737 18.9404763767419
TCGA-A2-A1G1 3 10.9636176656695 3 10.07753144065 13.5317151645965 15.3726918791386 12.1742776781863 15.4026323206675 16.975575987909 16.6961306736356 17.981339408806 16.6749233078504 18.9465962569149 21.1362533268299 21.0779968015772 18.871086021287
TCGA-A8-A097 3 3 9.18673566677993 10.7861120176118 16.6061766968468 14.6066613583801 13.4088809946275 16.3801857598566 15.7867292141156 17.1312227341595 16.9965094329101 17.4731915556222 18.729443525717 20.039924997387 20.5599770190111 19.1804551259893
