X7200 X2925 X2864 X185 X6869 X846 X2867 X2151 X147 X146 X10125 X3357 X1910 X1902 X2149 X54331 X2791 X6196 X8503 X351 X6915 X10161 X6195 X10287
TCGA-BH-A0HW 21.29501159136 13.830814971288 9.89701646856003 20.0098667792918 7.52680016004766 3 15.9070589227284 13.9683866527629 15.4944692139661 14.9710239267558 17.1266363904957 11.5818664133226 15.9686693248812 17.6639485316984 18.0487246896689 14.6327375627311 16.4774931884556 16.6125657489716 15.8308541278585 22.1673539606094 14.3669958854551 16.5581078112473 16.6104547803203 15.9421054245541
TCGA-BH-A18S 8.49259318981927 16.1367829360445 3 18.1222533787497 11.1286892583834 3 13.6082765063717 13.9056000613898 13.4551858214906 8.98689488899264 11.9265622104538 12.8633851747672 14.6422823189192 16.8597665308816 16.5344844975517 14.762837733813 16.5266677847611 15.096619192701 16.2760020529295 21.9335204875073 13.1134654093011 17.0069612313603 18.0346816148888 17.0297390809826
TCGA-D8-A27E 8.87775502044002 12.2135580320877 7.12850714364171 21.0643416324564 12.9115080729759 6.01077573021683 14.8835144967625 13.7879997006912 11.3659306142212 7.8236893270196 13.0882583043007 11.4810911174262 14.8690267233027 16.4391556671009 17.1578155963936 14.7110455430559 16.4675919404428 17.0824462539527 16.9767240317885 21.9481386866255 13.94093196569 17.3527883354323 18.0779569620419 16.9412063506687
TCGA-E2-A1IH 12.3200641450192 12.3073638162927 3 17.9299007207495 14.4871372625307 7.05222608387036 13.099961689444 18.4006100735263 11.601248636527 13.1058263491562 16.9417673307385 13.9287791524226 15.6728423856341 18.0649806461632 19.5921932140536 17.1949021176884 18.9770243926935 16.8876441558395 17.9096075515413 21.2700709421949 14.3894128388783 18.3680568207945 16.8955693824062 17.5977525196828
TCGA-A8-A091 14.1940304178249 12.3819081600999 10.162353623316 14.1805119028497 12.3156089893861 3 16.9115028249431 17.1130205310031 15.0815172633243 10.8197843390077 15.5017161081575 13.0928482609218 15.4959731474505 17.2797965890644 19.4541046102691 15.6162493142996 16.8515456800278 16.0889495408212 15.2118354678718 22.3009178460252 14.7993001546048 17.0814163587982 17.4732375107948 16.7685988542636
TCGA-A2-A04W 10.2317901334577 11.9616853914251 3 14.1634609996685 13.2749322673952 6.87557599124019 13.910641398112 17.5958908145824 12.6584880195536 11.5371808809313 12.3008317151427 14.8972036613692 14.6880325498959 16.6054086060433 18.6041599671038 15.1405219132566 17.378095896124 17.9668053961406 18.9201465665699 22.8828795633649 15.2869178888701 16.6114864527833 17.861949899509 17.9089990851644
TCGA-D8-A1X5 11.0608180440829 14.314553263144 3 14.0492253936775 9.47763428697316 3 14.6611202602708 14.8335968497931 9.67128203380522 10.3978374493387 14.850528244106 13.6338101123893 14.0520347217915 16.5666214096517 19.014919444864 14.861915720857 16.2669250443413 16.8229259830108 16.1835519711617 19.6744325282486 15.2521887648794 16.8407042157481 16.3504102795872 17.9409460334522
TCGA-BH-A5J0 9.58345111498507 16.5780937720635 8.78529049052021 13.2364358989064 13.0841315000508 3 16.3637255060041 17.4529538560277 12.6312321327924 11.8122840955539 16.1506302316187 14.1226255817353 14.4428644648876 16.8434844460603 18.3637924079502 15.8217542415279 18.399980081025 16.7651202866986 18.1206605555517 20.6239783560866 15.5356841992754 17.189208191921 18.6890877500244 18.9196357016406
TCGA-A2-A1G1 3 11.4577776243179 10.2763414314936 12.9567015878938 11.0727223379213 6.82661353067755 11.3024331814447 16.8424907909152 12.9425953762846 9.27701642548807 16.1622008301578 13.0100038514518 14.4970163616299 15.9414619218968 18.7170849863317 15.8951384980923 16.6523644673666 17.4053990126372 19.1266812649443 22.9085428563305 14.0123271868182 16.6672565113772 18.3194262769601 17.0731994042193
TCGA-A8-A097 12.1219332908899 16.4841277004994 8.46839420557992 13.5470987123373 14.4683143903307 3 12.542223180518 17.9237514142514 12.4335746437478 10.9066775239713 14.8775385554771 14.8692975395909 14.4817252783184 16.7239590026698 19.289245156385 15.9940912592225 16.8887817744787 16.3197422339559 16.4665599907942 21.2553141477801 13.8633511512102 16.8914741163863 17.229762787531 17.6012326900723
TCGA-C8-A130 14.797620019432 17.2065871101979 9.01033400500861 12.7216744725238 11.3369155128941 3 12.2649011516301 17.2162440465305 13.8590750953224 13.3021351315409 15.6917009716578 14.1725198308528 14.7975281275054 16.281458501956 18.693657639278 15.6931072196799 17.7659120162051 17.0184298164119 17.3047774983855 20.7535811378894 15.1241931917937 17.1643678347109 17.6334360339515 18.5877772552667
TCGA-A8-A0AD 13.2475970844437 11.8351001964681 8.69255251817151 14.4060909796246 10.641898363981 3 14.6765662344826 15.1010653920054 11.2501434605188 8.4265751395488 16.9705230359067 14.4203144067437 14.9902364744758 18.7665162259405 18.1393489251781 16.2536436464815 16.6691064624656 16.2350219309654 18.4944693814345 22.1329411809543 13.784220489445 17.5623761382458 18.2786739304065 17.71862944733
TCGA-A2-A0YL 10.7214774666373 19.4763673810912 8.77968834962297 15.992286989425 14.6625036357203 6.12053438731714 12.2754044146297 19.8600306519615 15.293844707166 11.3603031982046 14.7605780910513 14.8751020404514 16.1224020882186 17.553583664837 20.2480514558465 16.104452905235 17.8662781911967 17.3205495708879 18.2985765182075 22.4019726525306 14.2792092528791 17.8371669280906 17.2992892715499 16.8803399048083
TCGA-A8-A09G 3 9.93720615934584 3 11.8506984950314 11.9274678876072 3 15.6524402109496 17.3809204809935 12.6219630838949 9.15039388044851 15.0898984129483 13.3699362565451 15.6972409149885 15.0525579796547 18.3338148224468 15.6207993839265 16.4700211057517 16.7911380922117 18.1869477228992 22.4247612577892 13.588757273851 16.8865522401887 18.553681252668 17.3962796182
