X11081 X4969 X4958 X63827 X4166 X166012 X10082 X1634 X727936 X3037 X6382 X10057 X960 X375790 X2683 X22856 X4669 X6548
TCGA-BH-A0HW 3 11.0194075735602 10.5863190118505 12.6441580601347 10.0223268786255 10.9123021302027 12.2954405594248 15.5563716077663 13.1541560902025 10.7493548587101 16.1249410703367 16.3615408854072 21.5321908315504 18.5739255844067 20.2983047979068 17.5692683724069 18.7208386548824 18.8440207633083
TCGA-BH-A18S 12.2883698487238 14.3784911355951 14.8528679880307 14.2090494373035 8.56281295641416 3 12.7412825544297 18.4749338481918 14.5243168711234 11.6662385205171 19.7352435196369 16.294555511121 21.0156116067201 17.7493247949305 19.8288868420173 18.5443580630159 18.4921884929854 18.5660031748953
TCGA-D8-A27E 12.0965560171604 13.0763964347482 14.5750784733335 14.1700030092167 9.76815642200575 8.44640626521351 19.0423540561929 18.5679658568501 14.577632645221 12.6132461976495 18.4715445865075 16.0029095254466 21.4175072571353 18.9109930700591 19.463474887524 18.8657885596204 18.8006175851353 18.604711730387
TCGA-E2-A1IH 15.2996850300815 17.9243052935183 19.6361082058585 11.9785826242245 14.3820843698403 13.9488511667297 16.5488151406664 21.6493196279026 18.5640974595945 16.6724132523883 21.6361416012977 17.2419299242592 20.8501853703319 17.2614515651232 20.6426819910693 18.7840267869311 17.6854111595944 18.2543088453821
TCGA-A8-A091 12.5188543761324 16.2074142791295 15.2783151771453 12.2882620672514 10.8255149830005 12.9216484010679 14.8666107078345 18.7326518300844 15.7497492612352 14.4273632375382 18.2136728130878 16.4487153839059 20.2207787898056 19.3963168980982 18.6297853684729 17.4565518141394 17.893811028901 18.7997863770547
TCGA-A2-A04W 14.3038599218846 17.0138306173294 16.9502742960018 10.0849132072291 12.8534914536229 12.5389146646737 16.7739051649089 20.2790432166084 17.3344868962061 14.7543795655482 22.7816853023584 16.382811634487 18.1539823199066 20.0426576889844 20.9461246219874 18.2696703220767 17.7421981361431 19.9550690729789
TCGA-D8-A1X5 12.3443395818757 14.4513029714905 16.1435431360628 14.247715700824 13.5761786617903 13.5232028095297 17.6790895535462 19.7547852007616 17.5027789516458 13.8146007076524 21.64992767253 19.5799586238789 19.2645658522663 18.2237867718635 19.5801545925111 17.5862361915757 17.4425737497626 18.0742745549753
TCGA-BH-A5J0 12.3807694091072 17.6303100900256 17.1691492210085 13.0419365759072 13.2957557328971 13.8014887668994 16.0992117077759 20.6205623501032 16.8377403421066 14.3848133803322 21.5589772252796 17.7911678677576 19.035109914827 19.2378166923176 20.5828258777395 18.067310527304 19.4503249238452 19.1251331088974
TCGA-A2-A1G1 11.2160126564885 14.25545667865 15.8728209751891 11.8548333059162 13.0035459573199 11.7771645263971 17.0699988237706 19.752213850149 17.8602429636992 14.4965342326373 20.5422776948054 16.0955115651841 21.7824183621578 18.0930294433549 20.1002759456545 18.208055241306 16.8579771952467 18.2690736442438
TCGA-A8-A097 12.306455671423 16.5907582903066 16.9467975538858 12.4316256381219 13.9053286183144 13.1518425146066 17.3533584326964 20.4883016044078 17.4418422756708 17.2287269753254 22.0760012155229 18.2695290675147 19.3513884730421 18.4164219461042 19.7738298736608 18.3665968224565 19.0132234875183 18.2700665470401
TCGA-C8-A130 10.5069191923346 13.9993603994706 15.1138807398227 9.13744736852937 11.2064582215367 10.5870563767264 15.3694962200899 19.0605736894741 16.3515797308255 13.5677005668004 21.2213785692724 17.2570263035556 18.7227484093831 18.5839689445275 19.3640327432968 18.0083389902866 18.2180105249327 18.2611897211941
TCGA-A8-A0AD 14.950722859672 17.8785778334351 18.3604611943809 13.2726265439793 13.7573266975746 8.07712993022756 16.5438361020971 20.881699020324 17.9164645568279 14.8342512283923 21.6712753023343 16.9816437090587 19.9708164063064 18.4793610260066 22.6175016035241 18.3071662531624 18.1276201546177 18.4920653835665
TCGA-A2-A0YL 13.9089801059432 17.4166776423648 15.9886065171967 12.2670277821728 11.9978128190376 12.3471582963973 14.6293195652135 20.3739406486845 17.6159392854398 15.1110157543395 20.9974037301869 16.6063886813763 20.5188978288277 19.0193768387049 20.3111381822882 19.0958828338201 17.4463446034185 18.6921297871705
TCGA-A8-A09G 11.2680599099507 15.4395611051932 14.810266241842 9.70077147806079 10.0245628894879 12.808284671042 14.5291352575601 18.4973007099346 15.7758252806757 14.2663057412718 21.1507265281944 16.9755723557127 21.5715670293301 18.6323527552235 20.3401979350078 18.1830343744164 19.5366673237043 19.3683652059381
TCGA-A2-A25E 12.8890598259267 15.7098185136912 14.7905807388951 11.3874651060526 11.157240142397 11.1937009515816 15.2156629576348 18.7547100736875 15.6503195658265 15.438207981941 19.7477009600964 19.0081151398383 18.6523502156708 17.3596409657019 20.1294799248134 17.9913676869419 18.1356324870589 18.1027962922272
TCGA-LL-A73Y 13.5830298231973 17.4364440912219 17.191476928801 9.65692172246172 13.6704825386758 11.2356056445279 16.6513294004029 20.2626194988799 17.0973192292532 16.0692714713201 21.3369053894607 16.4683358396549 19.3613714165758 19.3278310078671 19.8159342856974 18.3547130233817 17.5758960637472 17.1772620942023
TCGA-AR-A1AK 13.7457939396993 16.58525132987 16.3835674955045 12.6138657466755 9.64822804428839 13.7209403302419 13.3371767994343 20.1189851557105 16.1969982256512 14.9627920157215 20.283982650887 17.4955868213946 19.3083945451727 18.8560474446111 20.4032039893655 17.9576799813569 18.4990285751911 17.7786262975167
TCGA-LL-A740 14.584815745982 17.2143223884543 17.1104008961182 13.3365698737093 13.4361533215545 12.0759635367691 15.877524739031 20.6963826025867 17.124205423261 14.4376374082915 22.9787788468476 15.0064450041912 19.0633487036568 19.7030071427025 20.9711074526666 18.3199735066627 19.5233344669823 18.5550925249699
TCGA-A7-A425 12.3435313101119 17.0307862946843 15.5494534791161 11.9482678812703 11.8076663967431 14.7304238927864 13.2724845299033 20.0580772393545 16.0859784131901 12.9407349044375 19.7083594560208 17.5225579640449 18.6206293859064 19.3611492567048 20.1158718503617 17.7634843357428 18.9082906967409 18.4100274220467
TCGA-AN-A0XO 12.587241286524 16.4434491553632 16.5846600027423 13.8738261411203 12.2877009928031 11.6506677747357 15.867100959396 20.0643542472033 17.1178326792375 13.342385847793 22.8730835844133 17.7101865234372 20.4661514786358 20.0233166545264 20.8961495459321 18.5459023858992 17.7448847227817 19.3210639123937
TCGA-AC-A3W7 14.03809862814 17.1748775345778 16.5744254937507 12.5772625978759 13.4954017005919 12.8077635296216 15.1966855029203 20.0970398793922 17.5995279875426 14.1011154647241 21.6579135257048 18.0940508712271 19.0749711990047 20.3913633482282 20.4242618956965 19.0743711237096 18.1350286544302 18.8962817354383
TCGA-BH-A0H5 12.2422005239879 16.7144078368985 15.5674350588863 12.6722238026823 10.1105437997006 10.7647906465244 13.646343004011 20.1213414969671 15.9802614079974 15.1416891455235 19.3214140049478 14.962629502102 20.5368493625436 19.0037588117564 20.0306609688601 18.5085928083904 17.94045441727 18.2549481697365
TCGA-C8-A1HL 13.1070736847264 17.3778291740133 16.4198081300665 11.6902662049358 11.7243175115775 12.878011790519 17.6266128591977 19.8172596423508 16.4311247097967 14.9588986336006 18.7420841010309 16.4585766312836 18.5800841912526 18.6768762254811 19.7681580028071 18.4480769197555 17.4188310736223 18.4273695723799
TCGA-A2-A0YF 10.3600991106492 15.465649094969 14.7568440636782 13.2672848923082 10.4255063521975 12.2119014159711 15.0597723848462 18.5217954489833 15.5200401101169 13.2558685441815 20.6426737766399 17.9162295983419 19.3501711751058 17.4428018107747 23.0505486572932 18.4165875517085 18.9096682688878 17.8499274210061
TCGA-E2-A15J 10.0305926667654 15.6420761887767 15.2323067237008 15.4026528572128 12.195111965326 11.2973221001463 15.226766109368 18.4226114797387 15.2909928558641 13.8644478010962 20.9605297551965 16.9351288467165 20.8750090828248 18.8293365332826 22.3516721090942 18.0320910114244 17.4629305848599 18.4849388781707
TCGA-BH-A0BW 8.42086674402518 14.8393955543752 13.5829446979787 14.6774976939127 13.1863885209079 10.9876271656562 15.0938799334894 19.4164239126161 16.7920767537947 17.3003292828734 21.3491048230628 15.617148974014 20.2885871623394 20.5770798732531 20.0906434885084 19.2150593708419 18.5439343564114 17.495588847945
TCGA-A1-A0SJ 12.3909000744972 18.0580221992273 16.4745869041126 13.1883998671115 10.1659713331966 9.76836716442156 15.1131197328522 19.9487244264026 15.9121051557775 13.4471721711331 22.0052190103165 15.2545525979425 19.52664793515 20.3020444897777 20.1956924771142 17.8547734336204 17.7147533950794 18.2029185088673
TCGA-A2-A0EY 12.1198912358197 17.1878511808094 15.9376534844027 10.818709195428 12.2822399726132 12.4994188162851 16.3258914308492 19.7079326519826 16.2713171441936 14.4906798238117 21.4244385907772 17.7514371076862 17.8624786871911 19.0110495451045 22.1831922195964 17.550351443607 18.8589880243876 17.9040414216195
TCGA-A8-A07R 10.2175574224322 10.1835018467594 8.07155854287961 10.6692787777825 14.0620484532594 12.652762896712 14.8680555562026 17.5943614699228 13.7951379373036 14.8974820541488 20.130752773152 16.5961499730573 20.7520949451192 18.229961789422 21.5478669535275 19.3140342449739 17.9561533756738 18.1572819100116
TCGA-BH-A18G 10.3994126225552 9.37405263944323 14.8407656190363 14.9565786741346 11.8165376132166 9.67821169370906 15.5105756955738 20.1791962923825 14.9952837618776 14.5965954204652 24.04698305412 15.7751755280888 20.8615552283883 18.3748261030427 20.7885113135877 20.5923866546199 17.0559596436562 17.9744045247575
TCGA-BH-A0BR 14.1130629852635 16.4697589329005 18.4450675868684 13.4803013941461 14.2256511197407 12.6219220441322 17.7941014586527 21.3543550222938 17.8514783497425 15.7542702158408 22.8861626571497 18.3411108280314 19.7941083891495 20.1909789347391 21.4553139635182 19.4699326681813 18.711841105899 19.0190955609289
TCGA-A8-A06N 3 7.20862252636052 6.6846320135355 9.89226660480656 7.43126267231523 12.6665015881438 10.7281119407967 10.593542631198 8.81856918312083 8.98594150253453 18.8113119462951 19.0481843777334 21.3609831133845 18.3057795872229 17.3051097942736 17.2731480722982 19.1473704077753 19.1032192779989
TCGA-AO-A03M 12.397944349175 13.8544087271319 13.7661452336384 12.8836894986597 9.72597679140958 13.7880149853655 15.8379572148182 19.1100082130554 14.8348342148855 15.8717635797662 20.3296022426113 17.8972069415246 18.8623451188576 21.307029120525 20.6474907789213 17.5728449515409 17.2220209377039 18.7870249636137
TCGA-A8-A09X 11.344178940436 15.7884300220828 15.9515019442739 8.07809526667537 12.1314740958795 14.0629277440675 15.9548539242155 19.8766225023656 16.9606290346517 13.4801354973818 22.5520314078813 15.7445136349924 19.3255249020788 18.6030903024235 20.8264137790938 17.2708838868145 17.9494551101388 17.459584038012
TCGA-E2-A1LS 11.9517538605187 14.7562679891169 15.0912698366195 8.37936879246171 13.579867947675 11.0349166694849 12.6176492809541 17.4547240985911 17.4732247774321 14.2522330154816 20.7692077401404 16.2933991572347 21.124739380075 19.8179788397865 19.977439929434 19.0100292334619 16.6241804191619 17.6443246934716
TCGA-AC-A5XS 13.5953438532581 17.3166988147451 16.1530197163501 11.0214182040929 11.3711519527736 14.3347506415032 14.417501030988 20.1528982235218 16.2007179393361 16.0459902652437 19.8276313238754 16.9441573346474 19.0836527837567 18.9102761445649 20.6637913977558 18.7034362244961 18.9230490453006 17.7923036683313
TCGA-AC-A23E 14.4675043887604 20.4538881967595 19.0683800534028 12.3434292803364 13.4508951062091 12.2213900009844 16.6310109377806 22.0171536063285 18.4991242559661 15.8101347935962 21.7035809342042 16.9289760466395 20.0055960767533 18.0507111465063 20.9374815658955 18.9268469709976 17.7114663850065 18.6608374227864
TCGA-A8-A06Y 8.70831075162377 15.2010568673541 12.750227704866 14.0614673754998 12.2521518436921 10.5463644163973 11.7467157719575 16.8233728119922 14.0686355261388 13.2506132227469 19.852600273972 16.732108799534 21.3906791349149 18.8622320063195 19.7034080620079 18.0967373460885 18.9844421050666 18.5216356841199
TCGA-BH-A0H3 14.7114563772117 19.1600354727093 17.9552715549646 10.7368779461007 13.4887570186356 10.6694154169834 16.9551578780649 21.4040757286584 17.9276444361102 15.8212946933731 20.6360161528604 16.2862015861271 20.2811036051408 18.6443266707503 20.6953419117048 18.8043186394809 17.7517342853436 18.5442389047687
TCGA-AR-A2LJ 14.3401400285636 18.6824459220482 15.2304467685608 12.7367241416903 11.6836114319484 15.0027149863246 15.4703794349344 20.7453042397696 16.8359672811311 14.3855390622813 20.1841518462062 15.5891028864828 19.6521251384874 19.6640751106293 19.8139518872687 17.8386785451025 19.5757486176346 18.496507007094
TCGA-A8-A06U 11.2812613639614 13.7391296860718 14.672916936948 10.3952586695926 10.3699871499753 11.4385169192839 15.0095941061984 18.5210374830991 15.7999873707757 13.9261155382743 21.3617621287888 18.7359823726069 19.8470208496522 18.305293560157 19.8590037498305 17.2344220541095 18.1657669029641 18.7794212628416
TCGA-D8-A1X6 10.7308154790704 15.6381630089072 16.0582302252249 13.6991086822418 11.6120238697075 7.36837812157575 14.7353598761238 18.7255959547184 15.3303928918865 12.4109553529193 20.0550324087412 17.3845252202259 20.6841278655851 17.4537050371444 21.4228561984324 17.8655441451084 18.2338359726245 18.2760207583831
TCGA-A7-A6VY 9.39352203456983 12.6894929627235 15.7435371466403 11.6166895624076 15.1414624225051 11.9742711026725 15.0600858867998 19.6830905233557 16.5581243380884 15.6459016230385 21.4548647719552 15.5359230474826 20.4525872300527 20.8667347204964 20.2120185342964 18.4290275435164 17.9116156879205 17.6459631495724
TCGA-E2-A15O 8.63780089067625 12.9906981950314 14.1017863962909 12.2287784596293 10.5046527219554 12.5275561175486 15.03914763433 17.9534624769981 15.3622708298784 13.1146804122367 19.4213340885191 16.1728589130164 19.0924211214214 18.2559499159601 19.4560885542053 18.4261190936759 17.5253171846617 17.9731561227654
TCGA-A2-A0CY 3 10.6104636175822 9.64196838020141 8.64684761096275 12.2321692069801 11.085809021693 14.1418448285719 16.7067107482839 16.0376801446399 11.5195938023618 21.931310696139 16.4185833577427 18.6993721627713 19.3156894415886 20.3790948503502 17.1783835201981 17.3309479636907 18.0958739649399
TCGA-OL-A6VO 11.5058892192571 14.1563146026063 13.5454468945509 9.85542920488579 14.1733614066306 11.6089031264742 14.1695159055021 17.949785942515 13.4776590478016 14.0219565000043 19.4031175144726 16.2974106519644 20.7577530055581 19.2472827950422 20.38976822057 18.5765416379561 18.7447186639224 17.6251885600179
TCGA-A2-A0CL 13.5595865619168 16.1451423642463 15.8767072148749 9.81718279490612 11.0295524529769 11.4934598511583 15.3673619261127 19.6630118848846 16.9562165861813 16.6880284759816 20.2221618523584 17.1124070086244 19.9627771255512 18.544122180154 20.0473654107674 18.6649580495625 17.8254387957079 18.3811182738504
TCGA-AR-A0TQ 12.2489517480512 15.7286994061816 15.1430202436588 8.68331857852798 10.7743446383076 12.3999383779006 16.3057196942162 19.2060373363456 15.4475773246202 14.6976857810729 19.4854444309495 16.3673497815953 18.8783940215457 19.4282344235761 20.527577299825 18.0699415281168 18.6524164717931 18.5750445682326
TCGA-E2-A573 9.65430930966284 11.1133457289229 13.9365584190672 11.5834500984894 13.4590176941925 13.6689020175711 14.6777877176695 18.4809939255904 13.3217523778788 14.5866671777184 20.7475657387292 15.9701827322724 20.163630169073 19.7565194011815 20.4088579651475 17.7573162665167 18.3638759063589 17.5399670056792
TCGA-A2-A0CW 11.0462643455797 14.354409426478 13.4942388497126 12.0132758454332 12.8167329168656 12.4965802753435 14.0927721008517 17.8557143060484 14.542080861687 12.7508530483356 21.6810184397911 17.9679834882489 17.5359663366468 19.5824207087295 20.3310931818421 18.1076373691375 17.705201108241 18.073556044845
TCGA-AC-A3EH 12.4375798139283 16.8036114654929 14.9070988906365 8.28350859521034 13.5751430834346 13.3822176115292 16.4302145512522 19.154975348948 17.00762488972 14.1610243148529 21.4241504992059 15.3482812599299 20.7152828897865 19.6119554027403 20.4845160903947 18.3545926094979 19.0454770322883 18.5579115823424
TCGA-A2-A3XX 10.56786720772 14.0755167135639 13.7349009876555 14.0024081019497 15.901472158992 11.9883032270645 15.0881461794182 18.4084244894801 14.1205859477798 13.9678367358114 23.2943664204366 16.0283756083439 18.659545468121 19.3569320766115 19.484585076097 17.9050783282665 18.558784317414 17.7486012192646
TCGA-AO-A1KQ 12.8789538099094 15.3979882870462 17.1652786290696 12.3048996989081 11.1605739739125 13.4735770355061 15.3329209253907 19.254539596087 15.3681254156538 14.1034020407453 20.6923834859594 16.8989564256612 18.2938255067358 17.9258091541475 20.0537238771481 18.0008673114619 18.3593129929055 17.7725371698092
TCGA-BH-A0HN 11.9869846591062 12.9513078360299 14.505248413099 14.6152637266756 9.61407945079453 3 10.1140770391347 16.8915044455216 14.0299498661007 11.6181934821381 20.1985250295166 18.8634763780623 19.6515153499922 18.8317405077319 19.8643057995899 17.3801758332731 17.9526092588578 19.531843536343
TCGA-AR-A1AR 11.6898329932672 15.7457683974784 15.2463453982977 12.598219620473 12.8993512796877 11.7992915423478 16.9419749323438 20.1204253062416 16.159931406318 15.7965045458491 21.8799617542447 16.6890265369279 19.5153719344842 18.0439580124242 20.4799455680516 18.442590257808 16.689973324359 17.5143586110413
TCGA-AO-A0JD 9.52842702610206 14.286357040603 12.7608154834491 9.79567567545299 9.72650143461447 12.1104667376639 13.8394381057295 17.0656022400311 14.61512546707 14.0264267313268 19.5061728916708 17.1834918948254 19.8933648442657 18.9502495878823 20.4139111956071 17.8413398110023 17.4760101738445 18.5259406139373
