X4852 X7200 X5473 X4161 X5196 X6366 X2925 X4160 X8484 X2532 X6363 X2864 X6360 X185 X7476 X89780 X6019 X51384 X6869 X846 X50846 X2867 X2587 X2151 X3576 X5733 X64805 X5744 X147 X1524 X554 X146 X3357 X53829 X1910 X187 X9934 X1902 X2149 X54331 X2791 X351 X6915 X10161
TCGA-BH-A0HW 3 21.29501159136 8.79620627493218 8.90968501144265 3 16.258186209576 13.830814971288 3 3 12.4989148319578 11.823149967201 9.89701646856003 3 20.0098667792918 9.56573244823851 7.78735125713374 16.1802178262394 7.63977236941787 7.52680016004766 3 11.50684029211 15.9070589227284 5.25954500755587 13.9683866527629 14.1567049648157 19.0166512156466 8.42546238235595 14.4849802578787 15.4944692139661 13.5256547648671 9.94742411366225 14.9710239267558 11.5818664133226 11.3472638057743 15.9686693248812 17.6168339904544 11.1200109295382 17.6639485316984 18.0487246896689 14.6327375627311 16.4774931884556 22.1673539606094 14.3669958854551 16.5581078112473
TCGA-BH-A18S 3 8.49259318981927 10.9341267094736 14.7023375044975 10.1815829706422 10.1533986011399 16.1367829360445 3 3 15.1315982997839 12.1327449037976 3 10.4574178581458 18.1222533787497 6.3934673108857 8.91643221711535 15.7271805245792 8.35945537146852 11.1286892583834 3 10.6681873354598 13.6082765063717 5.38611617638632 13.9056000613898 14.7751102327261 17.8560774013705 14.9594574244368 13.6201430312424 13.4551858214906 17.4073159593839 11.291153433544 8.98689488899264 12.8633851747672 15.866409796726 14.6422823189192 16.5093143765197 11.812289906481 16.8597665308816 16.5344844975517 14.762837733813 16.5266677847611 21.9335204875073 13.1134654093011 17.0069612313603
TCGA-D8-A27E 22.8014002119537 8.87775502044002 3 12.1021056772143 9.9908555623169 11.6915454980732 12.2135580320877 3 3 17.0587815360909 15.6716055452173 7.12850714364171 9.78476074827182 21.0643416324564 3 7.75465990483311 14.8527870554798 6.66522497850507 12.9115080729759 6.01077573021683 12.2555680806828 14.8835144967625 3 13.7879997006912 11.6554011508767 17.6164331853257 13.6982802668024 14.6260858094195 11.3659306142212 18.0722569124338 12.3061321516285 7.8236893270196 11.4810911174262 15.7073875170234 14.8690267233027 16.5397676077113 13.2358838474363 16.4391556671009 17.1578155963936 14.7110455430559 16.4675919404428 21.9481386866255 13.94093196569 17.3527883354323
TCGA-E2-A1IH 9.52938745118407 12.3200641450192 12.0515882877291 10.0056897540558 3 17.0129053375317 12.3073638162927 10.8348266844694 3 19.9016640116012 21.6836009653594 3 10.7691108679526 17.9299007207495 9.02953553913038 9.18496721001026 15.018696897065 11.1541476112564 14.4871372625307 7.05222608387036 13.0579420285095 13.099961689444 8.07400327881887 18.4006100735263 15.5091803457617 16.0534078323317 13.6098782373818 15.9477365520666 11.601248636527 16.613988988067 13.5601505285143 13.1058263491562 13.9287791524226 16.1833831340478 15.6728423856341 18.5788562151449 15.2987133171822 18.0649806461632 19.5921932140536 17.1949021176884 18.9770243926935 21.2700709421949 14.3894128388783 18.3680568207945
TCGA-A8-A091 3 14.1940304178249 9.98173988139201 3 3 15.9164211903038 12.3819081600999 3 10.0239996582587 17.3267431747661 17.2960848645837 10.162353623316 9.91826502273538 14.1805119028497 3 9.8216895878793 13.0406681450686 8.23484738774027 12.3156089893861 3 12.4738458543124 16.9115028249431 3 17.1130205310031 11.9285175614193 13.5620470799637 14.7820025344497 16.2992854892474 15.0815172633243 17.6286394895248 12.9929859561364 10.8197843390077 13.0928482609218 15.4599705469102 15.4959731474505 18.9186974726507 13.1776281240467 17.2797965890644 19.4541046102691 15.6162493142996 16.8515456800278 22.3009178460252 14.7993001546048 17.0814163587982
TCGA-A2-A04W 3 10.2317901334577 3 3 9.9453359209681 16.6953857459726 11.9616853914251 3 3 15.8253826157222 14.9281380689931 3 9.42074119891303 14.1634609996685 3 11.9791070064703 9.86474672581635 3 13.2749322673952 6.87557599124019 12.5030405087225 13.910641398112 7.89122286699457 17.5958908145824 20.0244987909059 13.6503683530116 11.1242103819505 15.2056530931684 12.6584880195536 12.6600433510822 12.6352895490526 11.5371808809313 14.8972036613692 10.5544945140452 14.6880325498959 17.7878025242965 13.4420252953066 16.6054086060433 18.6041599671038 15.1405219132566 17.378095896124 22.8828795633649 15.2869178888701 16.6114864527833
TCGA-D8-A1X5 3 11.0608180440829 3 13.0553035368601 3 9.00617987127115 14.314553263144 8.17366918147837 8.68740471264732 13.6032996074145 13.141704166902 3 8.10952772036189 14.0492253936775 3 3 13.5166197508842 7.24251196330433 9.47763428697316 3 9.92833742986925 14.6611202602708 3 14.8335968497931 15.0940111516177 13.0345494794485 12.225335494553 14.9845010405725 9.67128203380522 13.0010595603224 11.0392547194007 10.3978374493387 13.6338101123893 14.3221916130295 14.0520347217915 16.4712086449905 13.1849823008262 16.5666214096517 19.014919444864 14.861915720857 16.2669250443413 19.6744325282486 15.2521887648794 16.8407042157481
TCGA-BH-A5J0 3 9.58345111498507 13.9115738647551 3 11.6982652112038 21.2394265852936 16.5780937720635 9.25009971190528 3 19.0369451204862 20.619141272172 8.78529049052021 9.76331269805077 13.2364358989064 10.3661096716536 11.5891990018992 13.6588071776944 8.29920698898049 13.0841315000508 3 13.569867575235 16.3637255060041 5.82280868408317 17.4529538560277 15.5637739969433 14.702488352446 13.8016104284236 14.9399537417313 12.6312321327924 15.3266364001669 13.6435099136858 11.8122840955539 14.1226255817353 15.425725357514 14.4428644648876 17.8547239988661 13.541330917798 16.8434844460603 18.3637924079502 15.8217542415279 18.399980081025 20.6239783560866 15.5356841992754 17.189208191921
TCGA-A2-A1G1 3 3 9.65199657147196 7.80558907457842 3 19.0862322983906 11.4577776243179 3 3 15.1128374649627 18.4200156590224 10.2763414314936 3 12.9567015878938 6.13315006301641 6.715904938688 10.8061666575845 10.1588508245844 11.0727223379213 6.82661353067755 10.9069783270736 11.3024331814447 8.81501803818998 16.8424907909152 17.2008594267406 15.5240103270788 13.5819369991637 14.517285300866 12.9425953762846 14.5879722077117 9.81611889195997 9.27701642548807 13.0100038514518 15.4150211723522 14.4970163616299 17.8231299862784 14.1767823920937 15.9414619218968 18.7170849863317 15.8951384980923 16.6523644673666 22.9085428563305 14.0123271868182 16.6672565113772
TCGA-A8-A097 10.5075947628733 12.1219332908899 8.573591291039 8.68673631803932 8.81227531918131 14.4403308980099 16.4841277004994 3 12.3103068602175 16.6552525127333 17.0741387061405 8.46839420557992 9.2753366941215 13.5470987123373 10.3961097149444 8.85419043435113 13.3500639863551 8.38853326953553 14.4683143903307 3 10.9192381868154 12.542223180518 5.90179407234979 17.9237514142514 13.6428445416687 16.5825459678093 14.2943206737526 14.7589912337003 12.4335746437478 16.3351902173197 12.1517655090777 10.9066775239713 14.8692975395909 14.7873973132715 14.4817252783184 17.3552371822492 13.1063231391979 16.7239590026698 19.289245156385 15.9940912592225 16.8887817744787 21.2553141477801 13.8633511512102 16.8914741163863
