X4852 X5473 X5196 X6366 X8484 X6363 X114 X6360 X846 X111 X2587 X3576 X5733 X64805 X53829 X187 X9934 X1902 X196883 X54331 X2791 X351 X10287
TCGA-BH-A0HW 3 8.79620627493218 3 16.258186209576 3 11.823149967201 3 3 3 12.6852486311008 5.25954500755587 14.1567049648157 19.0166512156466 8.42546238235595 11.3472638057743 17.6168339904544 11.1200109295382 17.6639485316984 14.4766206207418 14.6327375627311 16.4774931884556 22.1673539606094 15.9421054245541
TCGA-BH-A18S 3 10.9341267094736 10.1815829706422 10.1533986011399 3 12.1327449037976 11.2656892744342 10.4574178581458 3 13.8347579408801 5.38611617638632 14.7751102327261 17.8560774013705 14.9594574244368 15.866409796726 16.5093143765197 11.812289906481 16.8597665308816 14.1776554936116 14.762837733813 16.5266677847611 21.9335204875073 17.0297390809826
TCGA-D8-A27E 22.8014002119537 3 9.9908555623169 11.6915454980732 3 15.6716055452173 10.892073566505 9.78476074827182 6.01077573021683 15.1541919947944 3 11.6554011508767 17.6164331853257 13.6982802668024 15.7073875170234 16.5397676077113 13.2358838474363 16.4391556671009 14.3621378980192 14.7110455430559 16.4675919404428 21.9481386866255 16.9412063506687
TCGA-E2-A1IH 9.52938745118407 12.0515882877291 3 17.0129053375317 3 21.6836009653594 3 10.7691108679526 7.05222608387036 13.4849468839542 8.07400327881887 15.5091803457617 16.0534078323317 13.6098782373818 16.1833831340478 18.5788562151449 15.2987133171822 18.0649806461632 15.6604350895837 17.1949021176884 18.9770243926935 21.2700709421949 17.5977525196828
TCGA-A8-A091 3 9.98173988139201 3 15.9164211903038 10.0239996582587 17.2960848645837 7.70414187409255 9.91826502273538 3 18.6532768621625 3 11.9285175614193 13.5620470799637 14.7820025344497 15.4599705469102 18.9186974726507 13.1776281240467 17.2797965890644 14.9664763999006 15.6162493142996 16.8515456800278 22.3009178460252 16.7685988542636
TCGA-A2-A04W 3 3 9.9453359209681 16.6953857459726 3 14.9281380689931 6.74266179726588 9.42074119891303 6.87557599124019 14.5410803327678 7.89122286699457 20.0244987909059 13.6503683530116 11.1242103819505 10.5544945140452 17.7878025242965 13.4420252953066 16.6054086060433 13.7185884315695 15.1405219132566 17.378095896124 22.8828795633649 17.9089990851644
TCGA-D8-A1X5 3 3 3 9.00617987127115 8.68740471264732 13.141704166902 3 8.10952772036189 3 18.5542064010153 3 15.0940111516177 13.0345494794485 12.225335494553 14.3221916130295 16.4712086449905 13.1849823008262 16.5666214096517 13.5449566906913 14.861915720857 16.2669250443413 19.6744325282486 17.9409460334522
TCGA-BH-A5J0 3 13.9115738647551 11.6982652112038 21.2394265852936 3 20.619141272172 6.52313870618241 9.76331269805077 3 16.3524270918135 5.82280868408317 15.5637739969433 14.702488352446 13.8016104284236 15.425725357514 17.8547239988661 13.541330917798 16.8434844460603 15.1180918774359 15.8217542415279 18.399980081025 20.6239783560866 18.9196357016406
TCGA-A2-A1G1 3 9.65199657147196 3 19.0862322983906 3 18.4200156590224 3 3 6.82661353067755 11.0320622067339 8.81501803818998 17.2008594267406 15.5240103270788 13.5819369991637 15.4150211723522 17.8231299862784 14.1767823920937 15.9414619218968 13.8147883873154 15.8951384980923 16.6523644673666 22.9085428563305 17.0731994042193
TCGA-A8-A097 10.5075947628733 8.573591291039 8.81227531918131 14.4403308980099 12.3103068602175 17.0741387061405 7.54653045189876 9.2753366941215 3 13.8674423848339 5.90179407234979 13.6428445416687 16.5825459678093 14.2943206737526 14.7873973132715 17.3552371822492 13.1063231391979 16.7239590026698 14.3984313437531 15.9940912592225 16.8887817744787 21.2553141477801 17.6012326900723
TCGA-C8-A130 3 3 3 15.9829334269568 10.9915854186547 16.9061769328931 3 10.1411173348322 3 13.1566615729758 3 12.9194435240108 15.2063933182465 12.2427506610016 13.12314862154 18.321047740798 14.3761279203 16.281458501956 15.5317582755369 15.6931072196799 17.7659120162051 20.7535811378894 18.5877772552667
TCGA-A8-A0AD 9.01412425072591 10.9477030992986 3 12.9883565602439 3 13.4079011088791 3 3 3 16.2953745064563 7.57050058508774 14.5336448307076 19.4290834815211 16.8050228367673 17.2765801181865 16.2445780048448 12.5110270586443 18.7665162259405 13.7134765652971 16.2536436464815 16.6691064624656 22.1329411809543 17.71862944733
TCGA-A2-A0YL 9.51136874772423 3 3 20.4734202325996 8.20597613705272 19.1638889842726 7.45354325003665 11.386013805331 6.12053438731714 14.941930210531 5.33178253608893 14.7465164621492 17.6599274336081 14.9337930775013 15.7897693133715 18.1758187973491 14.5494223431178 17.553583664837 15.1414600632413 16.104452905235 17.8662781911967 22.4019726525306 16.8803399048083
TCGA-A8-A09G 3 3 3 17.0641736099851 3 18.872691911182 6.8187630498853 8.5177150624981 3 16.5275317578839 6.10243175796887 12.3531788964509 13.2424917349741 13.4822210489543 14.7761261417684 18.1546469083075 14.0437521937042 15.0525579796547 14.1867559101127 15.6207993839265 16.4700211057517 22.4247612577892 17.3962796182
