X8354 X5473 X3456 X3046 X5196 X3045 X6403 X7066 X22915 X2151 X5265 X64805 X3043 X7042 X10125 X11136 X2159 X7043 X5136 X58494 X11069 X2149 X2 X7450 X10335 X54331 X5153 X5575 X408 X2791 X83700 X161882 X5175 X10461 X4846 X8503 X5154 X351 X91768 X3717 X5155 X5770 X6915 X3705 X221037 X64837 X5590 X27154 X207 X5576 X3799 X5908 X801 X998 X5566
TCGA-BH-A0HW 3 8.79620627493218 8.53671069696515 3 3 12.7245072308467 12.0091602805438 3 10.8303232367216 13.9683866527629 14.4890092653543 8.42546238235595 17.7402552257023 13.514613735161 17.1266363904957 12.7437504193556 12.4779724613432 17.3279313892943 12.3826920375119 14.0033661176896 14.8124737182569 18.0487246896689 19.5846462418474 17.9982546771495 14.2152153233203 14.6327375627311 11.9141928186665 16.0748031179277 18.451922361455 16.4774931884556 15.4247267125866 14.9040455141905 17.7924494599273 13.5700111440768 14.8523473996545 15.8308541278585 15.8730010441 22.1673539606094 18.3274462136967 15.4796361011159 20.0838928703009 22.7705505894937 14.3669958854551 19.6588603301251 16.1793834363219 18.4341455576114 16.3162430651364 18.2422130832483 18.4167874344729 17.4286332536239 20.1693546234162 15.3433194299674 19.8079095558819 20.6445514637321 18.6187042554512
TCGA-BH-A18S 9.74057559887539 10.9341267094736 3 3 10.1815829706422 3 14.5363074983882 15.7971081265894 13.7709071047189 13.9056000613898 19.8158757192793 14.9594574244368 15.3768635112588 14.7732775894864 11.9265622104538 10.078101752827 12.3394032234327 18.1300104641248 13.0705943635003 14.8898698523008 16.2919135021116 16.5344844975517 19.8721681714061 17.7737317070481 14.7851835567588 14.762837733813 13.5872191202752 14.2085413298883 16.8864557186536 16.5266677847611 14.9049768790168 14.5817221837291 17.7715001653311 14.9193018610982 13.9428095353912 16.2760020529295 15.9721521579235 21.9335204875073 17.9974770048736 16.0797629183916 17.7858311546198 18.7132126254023 13.1134654093011 18.0890853357174 17.3868288810499 17.3263371465231 15.454185473149 18.6133936863259 18.1862390560455 18.079908292943 19.8198084759363 15.9159944985183 19.0632019991675 20.823002516576 18.4718681754503
TCGA-D8-A27E 3 3 8.50351593909696 3 9.9908555623169 14.4512222588176 15.8774133474089 14.9517329479485 13.4775488876578 13.7879997006912 19.9460822569361 13.6982802668024 15.2436409619756 14.6723128796645 13.0882583043007 11.2020778380933 11.3421296216741 19.3908776623031 12.4641162407888 15.2324484328565 17.1791864687828 17.1578155963936 20.8591293010029 18.1269402357267 15.05408364593 14.7110455430559 12.2439208363557 15.9525125023995 18.2346458207402 16.4675919404428 15.6002157786825 14.9427788025432 18.2319727916782 15.5761700361259 15.5398007822398 16.9767240317885 16.2715779717999 21.9481386866255 16.9177717856473 16.2732222900328 17.3654876380546 18.8525703146851 13.94093196569 18.591841639417 17.2731596720038 17.9057668982414 15.0861321213703 18.0261744377477 18.5321073220957 18.5434744480116 20.3132790845377 16.2808368165409 20.1215868467701 20.6415872725747 18.7199024879425
TCGA-E2-A1IH 3 12.0515882877291 3 11.8278668055033 3 3 18.2896024248315 16.0651113528806 14.2509094877026 18.4006100735263 18.6312895846909 13.6098782373818 18.1404268836578 14.9161742562538 16.9417673307385 11.8286426185377 13.6513679206063 18.8361761458189 14.944395520319 17.2707655759369 15.8258986740274 19.5921932140536 21.6742189095154 18.2019882574018 16.1191457807146 17.1949021176884 14.9355549698791 14.8393389233858 16.3479496086238 18.9770243926935 17.5050042671785 13.8014016212964 19.7186377720182 15.5001672780022 16.0670610158045 17.9096075515413 16.6803444331749 21.2700709421949 15.4970351629621 16.8262810090384 18.138964206621 18.8167210194814 14.3894128388783 17.5088448264464 17.4959687488408 16.6056075069378 14.8001664870675 17.9461131268931 17.3602928694928 17.9865672127818 20.3657123664513 16.6546113389728 19.9525023579274 21.1578112018232 19.3662660399495
TCGA-A8-A091 3 9.98173988139201 3 3 3 3 16.1535462504825 16.1564389565585 13.9752723678667 17.1130205310031 17.0918604315549 14.7820025344497 15.6355390908115 14.1183296696177 15.5017161081575 11.4827213892463 13.7638550149615 20.2404454352911 14.3342674801033 15.6285675052352 16.1019080469192 19.4541046102691 20.8631060094321 19.2629721818224 15.6220388584573 15.6162493142996 13.8213406943921 15.7540953721929 20.3139903972139 16.8515456800278 16.3429325842377 15.7322788729697 18.8236333948595 15.6995557926225 15.2836549067885 15.2118354678718 16.7160316493222 22.3009178460252 18.6870199165798 15.623210205233 20.1624191244623 19.435097151838 14.7993001546048 18.7037046509771 17.1982405976075 17.1851672231988 16.2189651467189 18.6994941626759 19.3178210873771 18.0163813168802 20.3988714652182 15.5367194654282 20.491519337285 20.5138327914091 18.6931627950941
TCGA-A2-A04W 11.4930018762511 3 3 3 9.9453359209681 9.14002205340667 14.1717850982547 13.3992096498611 12.603986081415 17.5958908145824 19.2220428078331 11.1242103819505 16.9112467437775 16.9034900592731 12.3008317151427 10.1613978650956 14.5249412845963 19.010317094902 13.868521233337 15.2743564011784 13.9506605518829 18.6041599671038 21.9859473264592 17.9253718149543 16.8208206590876 15.1405219132566 14.2199095022757 17.0863724418787 15.8003948024683 17.378095896124 17.3512727650837 14.6122991051159 18.3741636465338 14.0616795125279 15.4562094130584 18.9201465665699 16.4612103376547 22.8828795633649 16.0457982502227 15.9982484488949 18.1398317305305 18.5291423718495 15.2869178888701 17.181603803893 16.426558642029 17.2827684290746 17.1811046814628 16.5684790119379 19.5896859301675 18.248150677142 19.486793813263 15.7632182669649 20.3249905147091 20.9733775013518 19.33313595392
TCGA-D8-A1X5 3 3 10.0993519365051 3 3 8.80870926140839 13.2769120583875 17.7315126950881 15.062443481461 14.8335968497931 17.8086231484489 12.225335494553 14.7198493269098 15.3058547528572 14.850528244106 10.8209986416916 13.1580081282133 17.9703441495016 12.5685945960354 14.8247203811464 13.8820774031688 19.014919444864 20.9508939251854 18.2267954000603 15.7609222078159 14.861915720857 13.4168992595068 15.9266726882878 19.9706143808981 16.2669250443413 16.4811194087497 14.1538011610336 18.6349928992174 16.9532341656722 14.1852684647195 16.1835519711617 16.2466644922092 19.6744325282486 14.8326636835096 15.9331997152465 17.0967602707767 19.4355560089546 15.2521887648794 18.3421517566995 17.2223355350148 18.2630954204888 15.4187682677004 18.0753661502711 19.0189462649585 17.9367979797621 20.6895566857218 15.366579294569 20.2365488836515 20.7080683125066 18.4089870635851
TCGA-BH-A5J0 3 13.9115738647551 3 12.2475120130023 11.6982652112038 8.90490567656975 16.3417397051548 14.7029220018417 15.4155130976521 17.4529538560277 20.2805676904316 13.8016104284236 17.771555245891 15.5943108521282 16.1506302316187 12.9495739558472 15.3751964685167 19.2801689753025 13.7996898825348 16.2489814877336 13.7119976798728 18.3637924079502 21.2816367928938 18.7324387720168 15.928121907976 15.8217542415279 14.1261044088835 17.2619243930031 17.4329012050124 18.399980081025 17.0386424284907 15.2299803135179 19.2885522667023 16.1674461939735 15.6419445869469 18.1206605555517 16.4705824525854 20.6239783560866 16.7039533540248 15.9914464272344 18.4815393606005 18.6457753145544 15.5356841992754 18.2375678078568 15.7490374441209 17.7435686550529 16.8388206153297 17.0559692267991 19.0236391298485 16.9752263497118 18.6534457019941 15.3889706855079 20.4457220175046 20.8522805440737 18.9404763767419
TCGA-A2-A1G1 3 9.65199657147196 10.9636176656695 3 3 10.07753144065 14.1192001524856 11.7431824166632 13.652440368038 16.8424907909152 19.0652742519092 13.5819369991637 13.5317151645965 17.8087300274958 16.1622008301578 11.3048793265965 11.7280158996845 18.4605863999047 13.6285510149581 15.199848892741 14.462512795612 18.7170849863317 21.3889136087162 18.1723063366635 16.0210865660413 15.8951384980923 13.893825276103 15.3726918791386 16.6365382200808 16.6523644673666 16.3654214140983 12.1742776781863 18.8793152064472 15.9041151838118 14.7677431223675 19.1266812649443 16.242391147592 22.9085428563305 15.4026323206675 16.975575987909 17.7660915687337 18.7982341052628 14.0123271868182 16.6961306736356 17.981339408806 16.6749233078504 14.6806482138957 16.9991817848966 17.1106440614316 18.9465962569149 21.1362533268299 16.6040206331694 20.1011583830785 21.0779968015772 18.871086021287
TCGA-A8-A097 3 8.573591291039 3 9.18673566677993 8.81227531918131 10.7861120176118 15.2419026512118 12.4456440208952 14.1444694700059 17.9237514142514 18.9576265711986 14.2943206737526 16.6061766968468 17.2304596044593 14.8775385554771 11.8146345313622 13.7061572157227 18.5620105255995 13.730375164369 15.5511644204256 14.2426939308324 19.289245156385 20.9566133372042 18.3536344655643 16.3775361938991 15.9940912592225 14.0431507655099 14.6066613583801 16.774657973304 16.8887817744787 16.9191934442469 13.4088809946275 18.7269129508589 15.892608037932 14.7804039129296 16.4665599907942 16.7250263090982 21.2553141477801 16.3801857598566 15.7867292141156 18.7314530139285 18.6493220396766 13.8633511512102 17.1312227341595 16.9965094329101 17.4731915556222 15.0438865564343 17.8218259637687 17.4784527432378 18.729443525717 20.039924997387 15.8225387922266 19.6746756643904 20.5599770190111 19.1804551259893
