X5709 X51160 X5688 X23198 X1175 X3981 X8480 X9818 X51497 X5437 X5702 X5693 X5683 X5903 X6749 X6884 X375 X55746 X905 X6908 X2959 X7520
TCGA-BH-A0HW 21.0755156025664 20.2925749224266 20.6412235285814 16.5596694522678 19.8916053870569 16.512661011057 17.4690085941666 17.6411322499555 18.1831162641901 18.5125009839763 20.2763277199616 20.4263646503474 14.8964444237891 17.5156455349512 19.5644565594126 18.4818658220748 21.5916117930736 17.6823584371702 16.8523004682019 16.8883204251267 18.1949766046492 20.407260585455
TCGA-BH-A18S 19.5734820548426 18.9500321267279 20.2811920513209 18.3668653936426 19.6500927145582 15.4171685558779 17.4496946499318 17.7572983315015 18.1816934376117 18.3841371421004 19.9018237717746 20.2758478352964 14.9924139431369 18.3028470248867 19.1615297460832 18.8581853377023 22.7101250210179 18.9256552677442 16.8590639124483 16.3772144323259 18.6230502630584 20.8681318591937
TCGA-D8-A27E 19.2158558525837 19.1843958573807 20.3038889595219 18.2696570511349 19.4937068743676 16.6425285382559 17.0097075754918 17.2783996689914 18.1055256211954 17.7610130884831 19.675703756455 20.2720268847847 14.6291514512126 18.7827853681837 19.0006269651548 18.8321025082587 21.8436614726232 18.218147869932 16.9183445533505 17.1777535152436 18.1081525993677 20.5479193456595
TCGA-E2-A1IH 18.8703602446214 18.8336710464331 20.4960025860772 17.8504972821146 19.9001304486435 17.0374184602936 17.6458396913871 17.1485442157313 18.2208913040074 18.5924357632759 18.9524721373683 20.0835892726605 16.1924306167515 17.8238642625924 18.7872810028394 18.6868129219867 22.0029636466123 18.5497636390888 17.0913888773062 17.7254082948099 17.9792886711071 20.8010144613496
TCGA-A8-A091 18.7372197530271 19.4130387760576 21.6229846059235 17.1596064608691 19.0942392073962 16.9690863767473 19.2348026071017 17.3737345324077 19.813397212639 18.151358795682 19.5031579911582 19.6353077959993 13.9791002878372 18.2689664933712 19.4552102620115 17.7964174519002 21.2410426303027 17.9996943868277 17.2300620104623 17.0739344649107 17.5132893593109 20.2525987708306
TCGA-A2-A04W 23.2219021271226 18.7973612062715 21.5063952956615 18.6544799940648 20.8136799890991 15.7631731193646 17.3457268388561 16.6151055372175 18.4274744916012 17.9789930693984 20.4055724639578 21.1572029561373 15.3919986356264 18.4117642962602 19.0060709097322 20.5694058421829 23.4541051549999 17.8660353198253 16.0976571913954 16.2719512624737 18.106363755821 20.626495351005
TCGA-D8-A1X5 22.0048468994113 19.8156641986353 20.999730745887 18.5102716669902 19.9628582908694 15.6099626358879 18.6090364808715 17.0354246621851 19.4160033575403 18.8621366237579 20.0142296500181 20.2747694369547 14.6166146030856 18.0123724596438 19.2297383460593 19.7088521831691 22.8233869284568 19.0398477949672 17.0204724988186 17.829681937526 17.6973386828145 20.7566209995511
TCGA-BH-A5J0 19.15726447323 20.5574322012916 21.6224313421557 17.5263171278019 21.4898014300276 14.4196627603244 17.7725909491792 15.3740223436717 18.6761292738391 19.34767397395 20.8089926778102 20.8405796081973 16.1278022958298 17.0613464733736 19.0463900020783 18.8016787820042 22.7336858487018 17.850220773105 15.6597613687849 17.538367310483 18.3595669786507 20.5055194895789
TCGA-A2-A1G1 21.6860400262647 18.3741934839244 21.029019791852 20.3477041655962 19.3776240857837 16.8302266183348 17.7141356659899 18.0959742631537 19.1043161242605 18.1060588174421 19.7205326421226 19.9016561987439 15.2229601847629 19.1923424281491 19.7117129440998 19.95097755987 21.1759710535095 17.6736993316991 16.7282392855974 17.9538282538271 18.3617668417738 20.6620525349025
TCGA-A8-A097 21.0065734250329 18.2767013816982 20.6403320388007 17.7039914811776 20.1646715483951 16.8342465657068 17.6054348178191 17.2344894222946 18.3173948784123 17.761975097418 19.441886479811 20.4973065446124 15.1336186911625 18.1226292373355 18.9558670517947 19.4748229174399 22.1816221131869 18.480781766611 16.3259437379402 16.6685712413568 18.6284473172283 20.3682048163941
