X3381 X1287 X10125 X3908 X58494 X11069 X7450 X3384 X83700 X5175 X5770 X207 X5908
TCGA-BH-A0HW 17.4904350859553 15.5383405186231 17.1266363904957 11.5394417970275 14.0033661176896 14.8124737182569 17.9982546771495 14.4779428140271 15.4247267125866 17.7924494599273 22.7705505894937 18.4167874344729 15.3433194299674
TCGA-BH-A18S 13.6992016938385 16.6657670185385 11.9265622104538 13.8744451567606 14.8898698523008 16.2919135021116 17.7737317070481 14.2151144683135 14.9049768790168 17.7715001653311 18.7132126254023 18.1862390560455 15.9159944985183
TCGA-D8-A27E 16.2420825659108 17.0204474649315 13.0882583043007 14.5281757443944 15.2324484328565 17.1791864687828 18.1269402357267 14.577599366562 15.6002157786825 18.2319727916782 18.8525703146851 18.5321073220957 16.2808368165409
TCGA-E2-A1IH 15.4177321511198 16.5049880419423 16.9417673307385 16.9125441423304 17.2707655759369 15.8258986740274 18.2019882574018 16.2733130297474 17.5050042671785 19.7186377720182 18.8167210194814 17.3602928694928 16.6546113389728
TCGA-A8-A091 18.9771505302658 17.4577461209461 15.5017161081575 15.9340514951698 15.6285675052352 16.1019080469192 19.2629721818224 14.9186217142172 16.3429325842377 18.8236333948595 19.435097151838 19.3178210873771 15.5367194654282
TCGA-A2-A04W 15.1926800546422 16.3317045815643 12.3008317151427 16.4577442485127 15.2743564011784 13.9506605518829 17.9253718149543 14.718754750358 17.3512727650837 18.3741636465338 18.5291423718495 19.5896859301675 15.7632182669649
TCGA-D8-A1X5 15.3073559677976 16.2352235687917 14.850528244106 16.3750100735604 14.8247203811464 13.8820774031688 18.2267954000603 14.5125373002259 16.4811194087497 18.6349928992174 19.4355560089546 19.0189462649585 15.366579294569
TCGA-BH-A5J0 15.2218130164744 16.5082274860197 16.1506302316187 15.946181663001 16.2489814877336 13.7119976798728 18.7324387720168 16.6538954321976 17.0386424284907 19.2885522667023 18.6457753145544 19.0236391298485 15.3889706855079
TCGA-A2-A1G1 16.5885660216967 16.9874677512875 16.1622008301578 15.3032764197837 15.199848892741 14.462512795612 18.1723063366635 16.4149499293629 16.3654214140983 18.8793152064472 18.7982341052628 17.1106440614316 16.6040206331694
TCGA-A8-A097 16.5338590063773 17.0919559628163 14.8775385554771 16.3516915875835 15.5511644204256 14.2426939308324 18.3536344655643 14.4602050680785 16.9191934442469 18.7269129508589 18.6493220396766 17.4784527432378 15.8225387922266
TCGA-C8-A130 14.7905540371982 15.9660087700569 15.6917009716578 14.9129048453942 16.188657018397 15.0019858561833 18.9260542633647 15.9226175485836 16.8123699189353 19.2057462928834 18.6248997513282 18.7746904024251 15.8848922227625
TCGA-A8-A0AD 15.5300061701181 17.4172042236471 16.9705230359067 16.1300922033777 15.0526710189871 16.768074863299 17.841923540453 14.2205701109438 16.644449765146 18.7596023738164 18.9286675131753 18.4882995219545 16.567742166187
TCGA-A2-A0YL 11.658664534445 18.5185942350993 14.7605780910513 18.164181128333 17.0458709207568 15.8100276579352 19.0866293637698 15.4805632617264 17.9178849264793 19.4447263437439 18.5447624682879 18.0181170059042 15.8737158093823
TCGA-A8-A09G 12.4691276387197 13.8691036193578 15.0898984129483 16.1304303897894 15.0883520565081 16.2523857006476 18.7685343827355 15.03008386425 15.6151243026134 18.6357863221716 18.8008215903398 19.6438168403384 15.9670595915188
TCGA-A2-A25E 13.9475965859742 16.7955345494171 15.7391809136728 15.973085665271 15.7232711564805 14.2290897423505 17.4686870198479 14.8054784844577 16.5204212798983 18.505583907706 20.4690944421502 17.1616170311389 16.6861844960012
TCGA-LL-A73Y 16.1785455541052 16.1555187024404 15.3549363096478 16.5843217650187 16.1416074686701 14.8756880805872 18.4426038878143 16.9105948189194 17.2817276598642 18.9234833557069 18.4839929026689 17.7983356389775 15.6357170114912
TCGA-AR-A1AK 12.5868008748492 16.3569829283999 16.7381838133693 17.7510214279377 16.6855579191355 14.8258662312052 19.8430655331175 16.4131040292256 16.9377945266401 19.971849871553 21.0586150713882 17.8797688545459 15.936859439566
TCGA-LL-A740 17.108411007781 17.4713130174154 12.7210895410706 16.3475421331748 15.6106966471953 15.1594303092179 18.1898532397195 15.3808480637882 17.1250058633242 18.7989461317586 18.298169763976 18.9771189358539 16.0916468021749
TCGA-A7-A425 13.1674270688306 15.715465169161 12.4485461958889 16.8512492478854 15.9324039166982 14.3966149017444 19.7915867596486 15.7744742224015 16.6209970946801 19.289202685981 18.9340416354541 18.9202761873885 15.531930516819
TCGA-AN-A0XO 12.8592407287709 18.0456513056549 12.465132540771 15.7994081384471 15.2472632455023 14.4711971450199 18.2803749454052 14.2964316196982 17.106443544935 17.7516140204269 18.9026508119691 19.2170342049203 16.1353526802543
TCGA-AC-A3W7 12.5923713481173 17.2773060460949 13.3933747827454 16.7428672162929 16.0481247616208 15.5974629491124 18.6909180862379 15.2085179251683 17.1579227520222 18.558108627192 18.4546597617531 19.3527273644559 15.8714114403334
TCGA-BH-A0H5 11.6727342816146 17.2733889536044 17.1069206068921 16.8553576645631 16.3573459066256 14.3971257904547 19.2247109151839 16.7424218747474 16.5979739473342 19.6598125626349 19.2957725501381 18.1341421608442 16.1050459208743
TCGA-C8-A1HL 15.9031961313001 16.4812499933249 15.6469153963834 15.6993413609509 17.238820116269 15.5616502071975 18.9435622868291 16.1816877748327 17.3459951272422 19.9687172632981 18.1827570398491 18.9895996922305 15.9671797909576
TCGA-A2-A0YF 15.8576792719271 16.4642183952543 18.9196502050708 15.1486956433442 16.2286485476433 16.7711461892777 18.0048547313143 15.5764934532757 15.8375125567234 19.2110171555992 19.2513183389636 18.0185261957053 16.0889949239316
TCGA-E2-A15J 16.5551238739147 17.3610996312114 11.3009538787009 14.0098549615384 14.0503007507434 16.3751338774303 17.3031918238416 13.4204993446323 15.3509733915096 17.4373879200651 18.4473720938818 18.5312275084215 16.1378565632572
TCGA-BH-A0BW 16.3301885546041 17.7639549530124 17.3200117100898 13.2310211799881 13.8199369362162 13.4079866592493 17.5979394377711 15.5768513572915 14.8474436699898 18.2767618640362 18.9907745493684 17.329316385854 16.4621711150121
TCGA-A1-A0SJ 14.6665686893258 16.2068555201771 17.12127477977 17.4384624454167 16.0876755128686 13.9311897456373 19.477163117279 15.7612903568317 16.8184606170521 19.8551127238786 19.4669400300848 18.5311892274098 18.481111196713
TCGA-A2-A0EY 14.071277961751 15.9168201635693 15.4566551479612 15.1010155891168 15.037619650474 13.6093360713547 18.8914479729071 14.6965145102373 16.0587187846515 18.789668539495 18.9100678545466 19.2309569015164 15.4076818861288
TCGA-A8-A07R 14.6807817825749 16.0004257840331 14.9316362331033 13.2759547291331 13.7295659657381 13.8838666525668 17.2944985094626 16.2395668917351 15.2293285614349 17.4335064371556 18.3177962155843 18.0658274149146 16.4359338508734
TCGA-BH-A18G 17.5436134731387 16.0414123450548 16.7469628323045 13.4356109268517 15.2108753741991 13.6129446877952 16.4275729409004 13.4216414361542 16.0736631175808 16.8625840907559 17.8668391865721 18.5717770303022 15.5895823071724
TCGA-BH-A0BR 15.0451691628367 16.9879531761829 14.0345239718218 16.810978259852 16.055758918545 14.9535946958118 19.0536603913639 15.5487514128243 17.2981961854746 19.4413215978625 18.8904799699103 19.7099842218528 16.2580334141761
TCGA-A8-A06N 12.041577330235 14.8507530671643 14.8259674835712 9.44810574204445 12.7767220469537 14.1968624075807 17.2847425010081 13.821702197528 14.4638608793285 17.2800781791237 21.4000229803187 18.0875463279419 15.5082079230228
TCGA-AO-A03M 15.3740992870585 15.3701019464749 15.2134792799099 16.2686095178496 15.8192665762405 13.2068834800884 18.7219326146664 15.2705653884571 16.3660126026962 19.0018230178031 21.0389933664478 19.4720719041049 15.7003896687764
TCGA-A8-A09X 15.0303546839631 13.9957504723489 15.301192752492 15.6584397135302 15.9774924532339 14.1474146055634 18.4995185648847 15.809418952774 16.4814378549553 19.5544433799054 18.4876855134142 19.5280231809819 16.1795523703638
TCGA-E2-A1LS 10.7612567192742 17.1391630304829 16.4560477060077 14.9858767561089 15.4699763077416 16.2610740958838 16.2895648627348 15.3241581266105 16.1884846666945 17.9718842305434 18.5433754860324 17.3852820255023 16.0827812892655
TCGA-AC-A5XS 9.31511136311539 17.3953031166275 13.5179748703166 16.1466569056118 16.6247273622195 14.7141993908177 19.4610605727888 16.3728830655684 16.7770622620498 19.6018752825018 18.9417403181963 18.6955158887244 15.8730552196997
TCGA-AC-A23E 16.6719866547032 17.0120715279688 13.0184571466481 17.1496636872151 16.6902342283868 15.3215681493243 18.5440458612484 14.8010691372827 17.9225151937796 19.0937962050053 18.5620586587973 18.2925182446935 16.5039172145969
TCGA-A8-A06Y 16.4544238629855 16.5367702825899 13.1517702987742 13.9175683917852 14.2799177777683 16.0226855374769 18.5164115586938 13.9910145598313 15.4126497014306 17.8728242364339 21.4406099978952 18.0838241701246 15.7280015808098
TCGA-BH-A0H3 11.0304556966917 17.4228653512507 14.1164073926095 17.7050358053664 17.4085025276692 16.5680795526142 18.9990345934752 15.829165628561 17.5365795425144 19.6302688077641 18.3893284068618 17.9201764837384 16.2307246179168
