X8342 X8359 X8354 X8290 X3018 X8337 X723790 X8468 X8370 X50511 X8338 X8334 X5932 X4001 X472 X10735
TCGA-BH-A0HW 12.4875258936714 11.9692860472371 3 3 10.7067009633891 11.4771270444911 11.4383486443853 9.58219443359045 15.02975964509 15.4046035937823 14.4523465388772 22.7787135636319 17.4646366955406 17.8532702599437 14.9824812295029 18.6887759593514
TCGA-BH-A18S 10.8426666554941 3 9.74057559887539 3 9.29156000623536 12.4812977715797 12.5942596320858 7.21988087874653 15.525500527703 8.53863889369879 15.8028868323007 22.1180223520468 18.9154864095383 16.4239787845386 15.9622256771307 18.6834074666249
TCGA-D8-A27E 3 3 3 9.32607460624419 3 10.7090840422784 3 3 12.0475972565226 10.3241519734229 14.3115498919155 21.3170956715068 17.8020353641876 15.9127146500267 16.2174423054713 18.8902078233352
TCGA-E2-A1IH 9.80009877244954 3 3 3 3 3 3 7.17329444849248 10.0829405511525 11.0484117982828 14.6607473125491 21.1758645613988 17.7313713675313 18.113152361468 15.8208483428467 18.8218469897894
TCGA-A8-A091 10.3026368979933 3 3 12.6594485192437 11.3196109370583 11.0936734853354 10.7343562778007 11.6011256300253 12.2439815154738 11.9215394858584 13.9043955743517 21.5295392510837 17.0882554910978 19.0596092530554 16.125326354313 19.427510579048
TCGA-A2-A04W 14.4062259960537 3 11.4930018762511 3 3 11.0766780031082 3 3 11.1111246074541 9.28781896964962 15.9571551352825 18.1789283490072 16.3259992939214 17.0193201002128 14.6807669442543 17.6277377541622
TCGA-D8-A1X5 11.2663526376781 3 3 3 3 9.74812821354836 3 3 13.0506863295838 11.0255648081195 15.5857631096001 19.1614001733168 16.0782462434093 18.3443443104762 15.7444618299241 18.3855246083014
TCGA-BH-A5J0 11.9474331186871 3 3 3 3 10.8388455213508 9.80658713703394 8.69166829285767 12.8162370607835 10.210141909424 15.7183937101562 20.4668056538372 16.0437963078947 18.0899944227759 14.3644012856941 17.5584716727248
TCGA-A2-A1G1 10.553431819778 9.84656680193419 3 3 9.99375193170718 3 3 8.46760709201752 11.2506787717228 11.8920916275295 13.0983272715393 18.0117082807022 17.2875166533929 19.4526354375406 16.4862271154642 19.3721284636775
TCGA-A8-A097 11.041575328237 3 3 11.9252067486443 9.89991464142812 11.5130288274572 10.4782987056653 8.37521073516354 14.0827327156065 9.46042699233043 13.1191813160944 20.9620248307982 18.1781757531898 18.9525300203394 15.7955643474341 18.3171488347309
TCGA-C8-A130 12.0062774823511 11.8797426545112 9.90620045823574 3 11.4442731099646 9.49256572998169 10.4458634633 3 7.75800048420967 12.1363619940633 16.0360470601553 20.2116801832525 17.0241895995589 18.9301029551107 14.5819118710125 17.9084008600615
TCGA-A8-A0AD 10.2743865722006 3 10.1657727633766 3 9.71548735552957 3 3 3 11.4288645256361 10.8490938000759 14.8755944716753 19.0991424499342 19.1408307135306 17.8689906383453 16.5203014555282 18.7030044286039
TCGA-A2-A0YL 3 3 9.67373057093797 10.4409578824806 3 3 3 3 10.7975075275191 11.9662216267825 14.4905828651341 18.4762802209001 18.0908783403208 18.2034298624159 16.4125008889618 18.9001741496959
TCGA-A8-A09G 12.4897760883426 12.2928880842569 9.58616003542462 3 9.13770606281692 9.17352522670031 3 3 13.239790840408 11.3999798269681 14.2322923160264 21.0147079515847 16.1241239592097 19.2449163751886 16.5861938752586 18.194007817081
TCGA-A2-A25E 11.7230339780522 3 3 3 3 9.21219198105208 3 3 13.2538909111087 12.5623455025949 13.6868081794504 20.743392934794 18.0968892366855 19.2895035325124 15.2818041902327 18.7114958174926
TCGA-LL-A73Y 3 3 3 13.0017328571617 9.33181792532629 3 3 8.2203034582483 8.60724559243975 12.1943554161102 14.014078901237 17.7525596866909 15.9526183920987 17.4826619129847 16.0849151004046 18.1298674604949
TCGA-AR-A1AK 3 3 3 9.69835203095316 9.47362037023892 3 3 7.39483793671251 10.8968325482397 11.6950189738655 16.053214259532 18.1419043810145 19.9328486331001 18.379320780308 15.8542573883474 18.3158736175791
TCGA-LL-A740 10.1448836229146 10.4312812278932 3 15.7986099147878 3 11.6113318491184 3 3 13.5362679225366 10.137757796425 14.8562468572168 20.1119511354284 16.9569002940094 17.9964426284697 15.0000446043434 17.8112071666592
TCGA-A7-A425 10.944789205594 3 3 3 3 9.42875135482638 10.9637706971761 9.26178296236649 12.9260109946544 9.9435142301026 16.6867079198089 19.4890407388369 17.4767675763511 18.7514023090409 14.3422298779228 17.4669825933122
TCGA-AN-A0XO 10.6376990994299 9.93055708232545 9.53671259457362 9.31245824484546 10.0778115755166 3 3 7.02577962188662 13.706542632708 10.2179457819533 14.3521928587996 20.7234343644489 17.9715457873299 18.6413156279776 15.1858507531608 18.777572027346
TCGA-AC-A3W7 9.62586115372749 3 3 9.29344429965387 3 3 3 3 11.2231084885756 10.8732028157036 14.5779675268262 20.1941035857481 17.1362015703483 17.5241045197764 15.6389311225342 17.8794592777872
TCGA-BH-A0H5 3 3 3 9.66744969386597 3 3 3 7.36513065561734 11.7803831067756 11.4717519933105 14.8630272025485 21.6704537887089 17.6086044539598 18.2597326484875 16.8865373448275 18.5096180365719
TCGA-C8-A1HL 10.5306293596061 13.3970835262837 3 3 9.97100776817389 3 3 3 14.2009017635198 10.0122750041551 15.9155741307467 21.1455621248362 17.7742929344336 19.8269834146164 15.3676899369456 18.162452602443
TCGA-A2-A0YF 3 9.83480547888098 9.44121782125559 3 8.99334837901569 3 3 6.93532817198992 10.7004537844705 11.63466076902 13.8932594310473 20.1036264071508 18.8721219119489 18.4691885855259 15.290391675135 19.0551391448657
TCGA-E2-A15J 9.95076652734462 3 3 9.61757836737065 3 3 9.39045310729377 3 13.5943896288472 10.4257223813274 14.153934479263 20.6737672335081 18.5929265077296 17.7692893322782 15.7860137035807 18.441950530276
TCGA-BH-A0BW 10.8973580670897 10.189457232893 9.79499772983497 3 10.3369017926719 10.3730086439042 11.6509118053561 7.27191198899934 13.236549842883 11.1522321085318 14.3817138691403 19.8051030066473 18.715622605563 18.6496005679822 16.8839479118617 18.8502257396195
TCGA-A1-A0SJ 3 10.2838950303477 3 3 3 3 3 3 12.7756752735404 9.83983252578949 14.9530433119682 17.7000813868009 17.2975569433388 18.7937853845628 15.7345857458705 18.8121021064168
TCGA-A2-A0EY 9.93321339259369 10.2193188456774 3 10.5926075940373 9.37549765284661 3 3 7.30043644280125 9.63614052940376 12.1184149961188 11.8907193123198 17.3591280798785 17.2030241159091 17.0615361130926 15.7155899478481 18.0674454131233
TCGA-A8-A07R 3 11.5892930940314 3 9.39335459951141 3 9.20500961952198 3 7.10278184523111 10.2295383343773 11.3418799170051 14.8489680168563 17.5406918593796 17.485545839649 19.5562606473701 15.0462610954926 18.7574208294443
TCGA-BH-A18G 3 3 3 3 12.9184556492772 3 3 3 13.2405977216061 9.58138533045911 16.1837455207204 19.364089182785 17.4985073766389 18.8648661093541 14.73436712059 18.1559757675622
TCGA-BH-A0BR 3 3 11.1034319831665 10.877426624482 11.2339426659527 3 3 7.57336706090549 12.3023315288725 9.89062968087855 14.4222943428843 19.3346730930391 17.949283052524 18.2626014483887 15.3426209417819 18.0855890565056
TCGA-A8-A06N 3 9.55582126981708 3 8.93961288816929 11.0163265766811 9.73871685662893 8.71400500286996 8.18137426776578 14.1128854879432 13.0224746036539 14.773477392963 21.0096051987539 16.4085384329708 17.7749342207052 15.4290402619971 19.3072430886127
TCGA-AO-A03M 12.8662305553522 12.4180737597851 11.0239244905347 3 10.5719764150789 11.6044146884931 9.98825983841585 6.94363824766405 12.566790613025 10.8050788479503 15.6385820228715 21.433223121482 18.915784025663 19.1130440333227 15.2979119474362 18.392423433119
TCGA-A8-A09X 10.1539624912748 10.4403716925683 3 3 3 9.63140729073622 10.5854236701442 7.51237360893045 11.5482982475612 12.5171018625723 14.7543872916907 19.0722293798011 17.0138996901604 19.4135864675386 15.5954391776717 18.1362171601763
TCGA-E2-A1LS 3 3 3 3 12.2143558814741 10.9322444305802 3 8.78370581427052 11.6166557140444 11.3765112831296 14.7420071671529 22.0480273410493 18.0481292958848 17.0440489450125 15.4229597417187 19.1342883720271
TCGA-AC-A5XS 11.3220699747024 11.6094983066681 3 3 3 3 3 3 11.828290339781 9.01099638565634 13.8696055949696 21.1239415417695 17.552660266338 18.4496118906675 15.0250087892946 17.3643344672354
TCGA-AC-A23E 3 3 3 9.37659660274173 3 9.18827992266893 3 3 9.73114944103914 10.2824567263633 13.8324073599252 19.5774077637001 17.6483953637767 18.328188243732 15.9180896716861 18.639527668172
TCGA-A8-A06Y 3 3 3 13.4347132306997 3 3 3 9.09511225537385 14.3614388397014 11.1827508230076 13.6116247441599 21.4554475737098 18.0359654566876 16.4592605454196 15.5478039970472 18.6501542475198
TCGA-BH-A0H3 3 3 9.62897985734239 11.3917326197338 3 3 9.17783919157059 9.367125006358 11.8863632376153 12.805575850246 12.6917390594355 20.3038051346462 17.9662726731059 17.0260124255289 16.5947363499141 18.8249732364864
TCGA-AR-A2LJ 11.7884598194217 3 11.6793693102332 9.87631748610917 10.6441172013977 3 10.6415697712702 9.1101669110555 11.8105413191866 10.6855063121341 16.6585124139624 18.9940667725508 17.3916880598141 17.706042323237 14.4026970031799 17.1633930082757
TCGA-A8-A06U 3 12.3711057646057 3 9.75782765317989 3 3 3 3 14.1738255954901 10.7582547355115 15.2952119422338 21.1278486722737 15.7201865081477 18.5633908543765 15.2010088968157 19.3432575460845
TCGA-D8-A1X6 10.5358669866481 3 10.4271315978896 10.7833519895114 8.98764494152613 9.02340823289447 9.97369203503299 10.1640309499284 10.9346234783237 11.2481140982075 14.0186462143613 18.7647099358103 19.2525498882871 18.7257534466597 15.2804920875677 18.3234667583977
TCGA-A7-A6VY 11.469799637369 10.1789975599315 9.78456082803646 9.55988942521846 3 10.3625403195305 3 8.79586569061601 12.4898637458621 10.8060458219468 15.2049366596728 19.4308816383043 18.6457713416375 18.9753842450999 14.6246404716858 19.1619137905985
TCGA-E2-A15O 11.1182357762022 11.9890837548214 10.0148856373223 3 3 9.60095862309792 3 9.02427098564836 12.5700242106402 12.6925647148101 15.033891590455 19.5488470228819 19.7250049040191 19.0999514541853 15.2255457614979 18.3721258306162
TCGA-A2-A0CY 10.7336114471703 3 3 11.9783968179984 3 11.2047003080524 10.1709593685019 3 13.5572609729414 10.8633527037304 15.7808018365595 19.343092389313 16.7383805622031 18.3781871335793 14.9102661119178 18.7697404174783
TCGA-OL-A6VO 11.4256579420393 10.1350392673583 9.7407000560667 10.5081943321891 10.2824466600736 9.32755479489431 10.8617676021578 7.21999976901183 10.8648272399511 9.97830796203979 14.6612370641984 20.8207992598532 17.8111325343218 19.9908723942013 14.5886353870044 17.8265490515387
TCGA-A2-A0CL 11.5023333008188 3 10.8104804496611 3 9.36762103058202 3 9.36509182274898 3 10.6209375618107 10.179233349972 15.3718290167764 18.1538574195973 16.8790288090678 18.7435939843848 16.8771274516464 18.8558998677689
TCGA-AR-A0TQ 13.4495515294678 11.419057405536 9.44889121173376 9.22480265817636 9.98968181001659 11.3409979213059 10.9814445189006 6.94258453171686 14.2311169349593 10.6790127921568 16.3409748172364 20.389018592122 17.2879470970639 19.3891737993089 15.8442304368228 18.5618482491391
TCGA-E2-A573 3 12.0204068967014 11.0405608901954 9.8209894712922 3 10.6247317254413 3 7.5129683465404 12.1690580954394 9.41725643943798 16.1983517731241 20.073855080775 17.2855186060807 19.1643525524438 15.003031927315 17.8620592957804
