X8342 X8359 X8354 X8290 X3018 X8337 X723790 X8370 X8338 X8334 X5932 X472
TCGA-BH-A0HW 12.4875258936714 11.9692860472371 3 3 10.7067009633891 11.4771270444911 11.4383486443853 15.02975964509 14.4523465388772 22.7787135636319 17.4646366955406 14.9824812295029
TCGA-BH-A18S 10.8426666554941 3 9.74057559887539 3 9.29156000623536 12.4812977715797 12.5942596320858 15.525500527703 15.8028868323007 22.1180223520468 18.9154864095383 15.9622256771307
TCGA-D8-A27E 3 3 3 9.32607460624419 3 10.7090840422784 3 12.0475972565226 14.3115498919155 21.3170956715068 17.8020353641876 16.2174423054713
TCGA-E2-A1IH 9.80009877244954 3 3 3 3 3 3 10.0829405511525 14.6607473125491 21.1758645613988 17.7313713675313 15.8208483428467
TCGA-A8-A091 10.3026368979933 3 3 12.6594485192437 11.3196109370583 11.0936734853354 10.7343562778007 12.2439815154738 13.9043955743517 21.5295392510837 17.0882554910978 16.125326354313
TCGA-A2-A04W 14.4062259960537 3 11.4930018762511 3 3 11.0766780031082 3 11.1111246074541 15.9571551352825 18.1789283490072 16.3259992939214 14.6807669442543
TCGA-D8-A1X5 11.2663526376781 3 3 3 3 9.74812821354836 3 13.0506863295838 15.5857631096001 19.1614001733168 16.0782462434093 15.7444618299241
TCGA-BH-A5J0 11.9474331186871 3 3 3 3 10.8388455213508 9.80658713703394 12.8162370607835 15.7183937101562 20.4668056538372 16.0437963078947 14.3644012856941
TCGA-A2-A1G1 10.553431819778 9.84656680193419 3 3 9.99375193170718 3 3 11.2506787717228 13.0983272715393 18.0117082807022 17.2875166533929 16.4862271154642
TCGA-A8-A097 11.041575328237 3 3 11.9252067486443 9.89991464142812 11.5130288274572 10.4782987056653 14.0827327156065 13.1191813160944 20.9620248307982 18.1781757531898 15.7955643474341
TCGA-C8-A130 12.0062774823511 11.8797426545112 9.90620045823574 3 11.4442731099646 9.49256572998169 10.4458634633 7.75800048420967 16.0360470601553 20.2116801832525 17.0241895995589 14.5819118710125
TCGA-A8-A0AD 10.2743865722006 3 10.1657727633766 3 9.71548735552957 3 3 11.4288645256361 14.8755944716753 19.0991424499342 19.1408307135306 16.5203014555282
TCGA-A2-A0YL 3 3 9.67373057093797 10.4409578824806 3 3 3 10.7975075275191 14.4905828651341 18.4762802209001 18.0908783403208 16.4125008889618
TCGA-A8-A09G 12.4897760883426 12.2928880842569 9.58616003542462 3 9.13770606281692 9.17352522670031 3 13.239790840408 14.2322923160264 21.0147079515847 16.1241239592097 16.5861938752586
TCGA-A2-A25E 11.7230339780522 3 3 3 3 9.21219198105208 3 13.2538909111087 13.6868081794504 20.743392934794 18.0968892366855 15.2818041902327
TCGA-LL-A73Y 3 3 3 13.0017328571617 9.33181792532629 3 3 8.60724559243975 14.014078901237 17.7525596866909 15.9526183920987 16.0849151004046
TCGA-AR-A1AK 3 3 3 9.69835203095316 9.47362037023892 3 3 10.8968325482397 16.053214259532 18.1419043810145 19.9328486331001 15.8542573883474
TCGA-LL-A740 10.1448836229146 10.4312812278932 3 15.7986099147878 3 11.6113318491184 3 13.5362679225366 14.8562468572168 20.1119511354284 16.9569002940094 15.0000446043434
TCGA-A7-A425 10.944789205594 3 3 3 3 9.42875135482638 10.9637706971761 12.9260109946544 16.6867079198089 19.4890407388369 17.4767675763511 14.3422298779228
TCGA-AN-A0XO 10.6376990994299 9.93055708232545 9.53671259457362 9.31245824484546 10.0778115755166 3 3 13.706542632708 14.3521928587996 20.7234343644489 17.9715457873299 15.1858507531608
TCGA-AC-A3W7 9.62586115372749 3 3 9.29344429965387 3 3 3 11.2231084885756 14.5779675268262 20.1941035857481 17.1362015703483 15.6389311225342
TCGA-BH-A0H5 3 3 3 9.66744969386597 3 3 3 11.7803831067756 14.8630272025485 21.6704537887089 17.6086044539598 16.8865373448275
TCGA-C8-A1HL 10.5306293596061 13.3970835262837 3 3 9.97100776817389 3 3 14.2009017635198 15.9155741307467 21.1455621248362 17.7742929344336 15.3676899369456
TCGA-A2-A0YF 3 9.83480547888098 9.44121782125559 3 8.99334837901569 3 3 10.7004537844705 13.8932594310473 20.1036264071508 18.8721219119489 15.290391675135
TCGA-E2-A15J 9.95076652734462 3 3 9.61757836737065 3 3 9.39045310729377 13.5943896288472 14.153934479263 20.6737672335081 18.5929265077296 15.7860137035807
TCGA-BH-A0BW 10.8973580670897 10.189457232893 9.79499772983497 3 10.3369017926719 10.3730086439042 11.6509118053561 13.236549842883 14.3817138691403 19.8051030066473 18.715622605563 16.8839479118617
TCGA-A1-A0SJ 3 10.2838950303477 3 3 3 3 3 12.7756752735404 14.9530433119682 17.7000813868009 17.2975569433388 15.7345857458705
TCGA-A2-A0EY 9.93321339259369 10.2193188456774 3 10.5926075940373 9.37549765284661 3 3 9.63614052940376 11.8907193123198 17.3591280798785 17.2030241159091 15.7155899478481
TCGA-A8-A07R 3 11.5892930940314 3 9.39335459951141 3 9.20500961952198 3 10.2295383343773 14.8489680168563 17.5406918593796 17.485545839649 15.0462610954926
