X26330 X57818 X3938 X11081 X4969 X4958 X63827 X4166 X166012 X10082 X1634 X230 X727936 X3037 X6382 X10057 X960 X3099 X375790 X2683 X22856 X4669 X2806 X8480 X9818 X6548 X5903 X8604 X55746 X801 X5566
TCGA-BH-A0HW 3 8.26514078482337 7.93644935048896 3 11.0194075735602 10.5863190118505 12.6441580601347 10.0223268786255 10.9123021302027 12.2954405594248 15.5563716077663 18.0848768243956 13.1541560902025 10.7493548587101 16.1249410703367 16.3615408854072 21.5321908315504 19.9952403547774 18.5739255844067 20.2983047979068 17.5692683724069 18.7208386548824 20.6894195021177 17.4690085941666 17.6411322499555 18.8440207633083 17.5156455349512 16.036547101375 17.6823584371702 19.8079095558819 18.6187042554512
TCGA-BH-A18S 3 9.62244713811788 6.83001520145245 12.2883698487238 14.3784911355951 14.8528679880307 14.2090494373035 8.56281295641416 3 12.7412825544297 18.4749338481918 12.4199849832489 14.5243168711234 11.6662385205171 19.7352435196369 16.294555511121 21.0156116067201 19.4221144136607 17.7493247949305 19.8288868420173 18.5443580630159 18.4921884929854 21.1555985619935 17.4496946499318 17.7572983315015 18.5660031748953 18.3028470248867 18.4289033464798 18.9256552677442 19.0632019991675 18.4718681754503
TCGA-D8-A27E 3 8.23209914189541 3 12.0965560171604 13.0763964347482 14.5750784733335 14.1700030092167 9.76815642200575 8.44640626521351 19.0423540561929 18.5679658568501 15.7871854208666 14.577632645221 12.6132461976495 18.4715445865075 16.0029095254466 21.4175072571353 19.2337441268072 18.9109930700591 19.463474887524 18.8657885596204 18.8006175851353 21.6897563971908 17.0097075754918 17.2783996689914 18.604711730387 18.7827853681837 19.3360057631487 18.218147869932 20.1215868467701 18.7199024879425
TCGA-E2-A1IH 7.84299923684369 10.3449648060474 8.70350883342079 15.2996850300815 17.9243052935183 19.6361082058585 11.9785826242245 14.3820843698403 13.9488511667297 16.5488151406664 21.6493196279026 15.8896257734074 18.5640974595945 16.6724132523883 21.6361416012977 17.2419299242592 20.8501853703319 17.3114432381562 17.2614515651232 20.6426819910693 18.7840267869311 17.6854111595944 19.3177947808511 17.6458396913871 17.1485442157313 18.2543088453821 17.8238642625924 17.2180568044901 18.5497636390888 19.9525023579274 19.3662660399495
TCGA-A8-A091 10.7642933093525 9.85495609936864 7.25930315527231 12.5188543761324 16.2074142791295 15.2783151771453 12.2882620672514 10.8255149830005 12.9216484010679 14.8666107078345 18.7326518300844 13.2106159793863 15.7497492612352 14.4273632375382 18.2136728130878 16.4487153839059 20.2207787898056 21.0219803956558 19.3963168980982 18.6297853684729 17.4565518141394 17.893811028901 20.4122115502211 19.2348026071017 17.3737345324077 18.7997863770547 18.2689664933712 16.215470864858 17.9996943868277 20.491519337285 18.6931627950941
TCGA-A2-A04W 3 9.5775314396705 8.11403344212599 14.3038599218846 17.0138306173294 16.9502742960018 10.0849132072291 12.8534914536229 12.5389146646737 16.7739051649089 20.2790432166084 14.9327802301613 17.3344868962061 14.7543795655482 22.7816853023584 16.382811634487 18.1539823199066 19.1458382480524 20.0426576889844 20.9461246219874 18.2696703220767 17.7421981361431 20.0857666520737 17.3457268388561 16.6151055372175 19.9550690729789 18.4117642962602 17.0470736837858 17.8660353198253 20.3249905147091 19.33313595392
TCGA-D8-A1X5 3 3 8.50419032321977 12.3443395818757 14.4513029714905 16.1435431360628 14.247715700824 13.5761786617903 13.5232028095297 17.6790895535462 19.7547852007616 18.3599309057706 17.5027789516458 13.8146007076524 21.64992767253 19.5799586238789 19.2645658522663 19.259906895843 18.2237867718635 19.5801545925111 17.5862361915757 17.4425737497626 20.4933515334988 18.6090364808715 17.0354246621851 18.0742745549753 18.0123724596438 16.4290264520251 19.0398477949672 20.2365488836515 18.4089870635851
TCGA-BH-A5J0 3 7.39386407903532 9.26686372992269 12.3807694091072 17.6303100900256 17.1691492210085 13.0419365759072 13.2957557328971 13.8014887668994 16.0992117077759 20.6205623501032 16.4455279994463 16.8377403421066 14.3848133803322 21.5589772252796 17.7911678677576 19.035109914827 17.6133428123963 19.2378166923176 20.5828258777395 18.067310527304 19.4503249238452 19.6161548559245 17.7725909491792 15.3740223436717 19.1251331088974 17.0613464733736 16.9540659048519 17.850220773105 20.4457220175046 18.9404763767419
TCGA-A2-A1G1 12.506653238448 3 8.27918522399133 11.2160126564885 14.25545667865 15.8728209751891 11.8548333059162 13.0035459573199 11.7771645263971 17.0699988237706 19.752213850149 18.0373069327846 17.8602429636992 14.4965342326373 20.5422776948054 16.0955115651841 21.7824183621578 19.2065244305649 18.0930294433549 20.1002759456545 18.208055241306 16.8579771952467 19.4075253627334 17.7141356659899 18.0959742631537 18.2690736442438 19.1923424281491 16.2195304589454 17.6736993316991 20.1011583830785 18.871086021287
TCGA-A8-A097 7.52015346253377 3 8.54083961361589 12.306455671423 16.5907582903066 16.9467975538858 12.4316256381219 13.9053286183144 13.1518425146066 17.3533584326964 20.4883016044078 18.2285007182037 17.4418422756708 17.2287269753254 22.0760012155229 18.2695290675147 19.3513884730421 17.8077751398828 18.4164219461042 19.7738298736608 18.3665968224565 19.0132234875183 20.4185219975482 17.6054348178191 17.2344894222946 18.2700665470401 18.1226292373355 16.6118043195836 18.480781766611 19.6746756643904 19.1804551259893
