X114 X111 X5136 X196883 X5153 X5575 X57761 X6196 X6195 X1175 X207 X5576 X6774 X466 X801 X5566
TCGA-BH-A0HW 3 12.6852486311008 12.3826920375119 14.4766206207418 11.9141928186665 16.0748031179277 19.9589000258452 16.6125657489716 16.6104547803203 19.8916053870569 18.4167874344729 17.4286332536239 19.6535565507085 17.0632297134786 19.8079095558819 18.6187042554512
TCGA-BH-A18S 11.2656892744342 13.8347579408801 13.0705943635003 14.1776554936116 13.5872191202752 14.2085413298883 17.9194160421116 15.096619192701 18.0346816148888 19.6500927145582 18.1862390560455 18.079908292943 20.2776606024238 17.7945318063678 19.0632019991675 18.4718681754503
TCGA-D8-A27E 10.892073566505 15.1541919947944 12.4641162407888 14.3621378980192 12.2439208363557 15.9525125023995 17.4552562322977 17.0824462539527 18.0779569620419 19.4937068743676 18.5321073220957 18.5434744480116 20.3029927473939 17.2476309475595 20.1215868467701 18.7199024879425
TCGA-E2-A1IH 3 13.4849468839542 14.944395520319 15.6604350895837 14.9355549698791 14.8393389233858 17.9759588956145 16.8876441558395 16.8955693824062 19.9001304486435 17.3602928694928 17.9865672127818 19.8619049129524 17.9217657092859 19.9525023579274 19.3662660399495
TCGA-A8-A091 7.70414187409255 18.6532768621625 14.3342674801033 14.9664763999006 13.8213406943921 15.7540953721929 17.6128521278117 16.0889495408212 17.4732375107948 19.0942392073962 19.3178210873771 18.0163813168802 19.1434934898034 17.2008633586591 20.491519337285 18.6931627950941
TCGA-A2-A04W 6.74266179726588 14.5410803327678 13.868521233337 13.7185884315695 14.2199095022757 17.0863724418787 18.7352465244256 17.9668053961406 17.861949899509 20.8136799890991 19.5896859301675 18.248150677142 18.5200341535785 16.2338815916185 20.3249905147091 19.33313595392
TCGA-D8-A1X5 3 18.5542064010153 12.5685945960354 13.5449566906913 13.4168992595068 15.9266726882878 18.3587934052404 16.8229259830108 16.3504102795872 19.9628582908694 19.0189462649585 17.9367979797621 18.4261838744241 17.5975498625197 20.2365488836515 18.4089870635851
TCGA-BH-A5J0 6.52313870618241 16.3524270918135 13.7996898825348 15.1180918774359 14.1261044088835 17.2619243930031 18.7902425149253 16.7651202866986 18.6890877500244 21.4898014300276 19.0236391298485 16.9752263497118 18.7903180015116 16.9281048331827 20.4457220175046 18.9404763767419
TCGA-A2-A1G1 3 11.0320622067339 13.6285510149581 13.8147883873154 13.893825276103 15.3726918791386 19.1261049196075 17.4053990126372 18.3194262769601 19.3776240857837 17.1106440614316 18.9465962569149 20.4511369642476 18.1949679213046 20.1011583830785 18.871086021287
TCGA-A8-A097 7.54653045189876 13.8674423848339 13.730375164369 14.3984313437531 14.0431507655099 14.6066613583801 17.9493590704904 16.3197422339559 17.229762787531 20.1646715483951 17.4784527432378 18.729443525717 19.9416395265126 17.1199024002085 19.6746756643904 19.1804551259893
TCGA-C8-A130 3 13.1566615729758 14.0177362808171 15.5317582755369 14.4605089948037 16.5239026735287 17.3173420635563 17.0184298164119 17.6334360339515 20.8105398256737 18.7746904024251 17.4141353464249 19.4388348678027 16.4688161593628 20.3660937969976 19.3135360539366
TCGA-A8-A0AD 3 16.2953745064563 12.623740069911 13.7134765652971 13.9329108795839 16.0189203783188 18.0406900213765 16.2350219309654 18.2786739304065 19.8676143999018 18.4882995219545 18.5009033782872 20.0945624672889 17.2192593261023 19.6650003230071 18.4846746560628
TCGA-A2-A0YL 7.45354325003665 14.941930210531 15.1429426781282 15.1414600632413 13.677027788388 16.7605539474322 17.7287599845634 17.3205495708879 17.2992892715499 19.4387421134382 18.0181170059042 17.6959511531517 19.5665911250719 17.6547539528338 19.5861731652433 18.4920909571929
TCGA-A8-A09G 6.8187630498853 16.5275317578839 14.071509034436 14.1867559101127 13.9595012745323 15.7508052702237 18.3012120292614 16.7911380922117 18.553681252668 19.583097521942 19.6438168403384 19.0645350061441 21.1211856574017 17.8721281095918 20.2627500592258 18.1983227049013
TCGA-A2-A25E 8.37214773696432 13.339042320323 13.1997064075238 14.3874474467297 13.2757476038088 16.1662234880544 18.0790118107809 15.3452824230263 17.4858483500098 19.9174908962255 17.1616170311389 17.6598883300102 19.5262037487139 17.7631448485735 19.7726044896768 18.6980769058058
TCGA-LL-A73Y 9.51032375515347 13.8441598421685 14.3210401618411 15.4969738596611 14.1964497020509 16.4538033107946 16.2540817090101 16.9412720147284 17.6502146349997 19.6090134816186 17.7983356389775 17.6793010703685 19.380004676806 17.7812213085384 19.8654380842994 18.4368980162612
TCGA-AR-A1AK 11.1455136812917 17.0149279162968 14.3437149645977 16.4699058142121 14.3614156067075 16.2897451911184 17.841598790085 17.0722506385063 17.3071912135981 19.5574273366025 17.8797688545459 17.8564998471057 20.1613565398597 17.2685472120229 19.5713693449748 19.1321712210009
TCGA-LL-A740 7.24512045384381 12.1348217046752 14.6217518586414 15.2699349083869 13.9986845180526 15.7875718417597 18.1085991492339 16.6753049646952 18.9324662735135 20.8401032323004 18.9771189358539 18.4054958885003 19.6101760252461 17.3550770715886 20.1788145643735 18.279773402801
