X114 X111 X5136 X196883 X54331 X5153 X5575 X2791 X5499 X5576 X801 X5566
TCGA-BH-A0HW 3 12.6852486311008 12.3826920375119 14.4766206207418 14.6327375627311 11.9141928186665 16.0748031179277 16.4774931884556 20.2099728582034 17.4286332536239 19.8079095558819 18.6187042554512
TCGA-BH-A18S 11.2656892744342 13.8347579408801 13.0705943635003 14.1776554936116 14.762837733813 13.5872191202752 14.2085413298883 16.5266677847611 20.2012489646898 18.079908292943 19.0632019991675 18.4718681754503
TCGA-D8-A27E 10.892073566505 15.1541919947944 12.4641162407888 14.3621378980192 14.7110455430559 12.2439208363557 15.9525125023995 16.4675919404428 19.8766704271901 18.5434744480116 20.1215868467701 18.7199024879425
TCGA-E2-A1IH 3 13.4849468839542 14.944395520319 15.6604350895837 17.1949021176884 14.9355549698791 14.8393389233858 18.9770243926935 19.810038838747 17.9865672127818 19.9525023579274 19.3662660399495
TCGA-A8-A091 7.70414187409255 18.6532768621625 14.3342674801033 14.9664763999006 15.6162493142996 13.8213406943921 15.7540953721929 16.8515456800278 19.1849074007248 18.0163813168802 20.491519337285 18.6931627950941
TCGA-A2-A04W 6.74266179726588 14.5410803327678 13.868521233337 13.7185884315695 15.1405219132566 14.2199095022757 17.0863724418787 17.378095896124 20.5374291822927 18.248150677142 20.3249905147091 19.33313595392
TCGA-D8-A1X5 3 18.5542064010153 12.5685945960354 13.5449566906913 14.861915720857 13.4168992595068 15.9266726882878 16.2669250443413 20.8145428456873 17.9367979797621 20.2365488836515 18.4089870635851
TCGA-BH-A5J0 6.52313870618241 16.3524270918135 13.7996898825348 15.1180918774359 15.8217542415279 14.1261044088835 17.2619243930031 18.399980081025 21.0852141001552 16.9752263497118 20.4457220175046 18.9404763767419
TCGA-A2-A1G1 3 11.0320622067339 13.6285510149581 13.8147883873154 15.8951384980923 13.893825276103 15.3726918791386 16.6523644673666 20.2133784502144 18.9465962569149 20.1011583830785 18.871086021287
TCGA-A8-A097 7.54653045189876 13.8674423848339 13.730375164369 14.3984313437531 15.9940912592225 14.0431507655099 14.6066613583801 16.8887817744787 20.0778125687304 18.729443525717 19.6746756643904 19.1804551259893
TCGA-C8-A130 3 13.1566615729758 14.0177362808171 15.5317582755369 15.6931072196799 14.4605089948037 16.5239026735287 17.7659120162051 21.2018853056605 17.4141353464249 20.3660937969976 19.3135360539366
TCGA-A8-A0AD 3 16.2953745064563 12.623740069911 13.7134765652971 16.2536436464815 13.9329108795839 16.0189203783188 16.6691064624656 20.0365528391963 18.5009033782872 19.6650003230071 18.4846746560628
TCGA-A2-A0YL 7.45354325003665 14.941930210531 15.1429426781282 15.1414600632413 16.104452905235 13.677027788388 16.7605539474322 17.8662781911967 19.8180847574667 17.6959511531517 19.5861731652433 18.4920909571929
TCGA-A8-A09G 6.8187630498853 16.5275317578839 14.071509034436 14.1867559101127 15.6207993839265 13.9595012745323 15.7508052702237 16.4700211057517 20.4959049405718 19.0645350061441 20.2627500592258 18.1983227049013
TCGA-A2-A25E 8.37214773696432 13.339042320323 13.1997064075238 14.3874474467297 15.4439410231683 13.2757476038088 16.1662234880544 17.1300147257891 19.0877331334507 17.6598883300102 19.7726044896768 18.6980769058058
TCGA-LL-A73Y 9.51032375515347 13.8441598421685 14.3210401618411 15.4969738596611 16.5208784390719 14.1964497020509 16.4538033107946 17.8273483679995 19.7201619308366 17.6793010703685 19.8654380842994 18.4368980162612
TCGA-AR-A1AK 11.1455136812917 17.0149279162968 14.3437149645977 16.4699058142121 16.2973890571548 14.3614156067075 16.2897451911184 18.006767297466 20.8824066755949 17.8564998471057 19.5713693449748 19.1321712210009
TCGA-LL-A740 7.24512045384381 12.1348217046752 14.6217518586414 15.2699349083869 15.9148628073892 13.9986845180526 15.7875718417597 17.9037054683041 20.443410405044 18.4054958885003 20.1788145643735 18.279773402801
TCGA-A7-A425 8.58653319522621 15.5837121266708 13.4031694055608 16.3113275299364 15.8176343087685 15.6385787351894 17.1774874870685 18.2331393986663 21.1077006240851 17.6932213560824 19.2354793129539 18.4199934561384
TCGA-AN-A0XO 5.87427915478252 14.5426317839924 13.3538083444669 13.1223798136542 15.1389362534704 13.1367176948574 15.8995880050486 16.9902553312611 20.2785057348527 18.5289924392934 19.8554745057299 18.5581792941473
