X4852 X7200 X5473 X4161 X5196 X6366 X2925 X4160 X8484 X2532 X6363 X6360 X185 X6019 X6869 X2587 X2151 X3576 X1524 X554 X1910 X187 X2149 X351
TCGA-BH-A0HW 3 21.29501159136 8.79620627493218 8.90968501144265 3 16.258186209576 13.830814971288 3 3 12.4989148319578 11.823149967201 3 20.0098667792918 16.1802178262394 7.52680016004766 5.25954500755587 13.9683866527629 14.1567049648157 13.5256547648671 9.94742411366225 15.9686693248812 17.6168339904544 18.0487246896689 22.1673539606094
TCGA-BH-A18S 3 8.49259318981927 10.9341267094736 14.7023375044975 10.1815829706422 10.1533986011399 16.1367829360445 3 3 15.1315982997839 12.1327449037976 10.4574178581458 18.1222533787497 15.7271805245792 11.1286892583834 5.38611617638632 13.9056000613898 14.7751102327261 17.4073159593839 11.291153433544 14.6422823189192 16.5093143765197 16.5344844975517 21.9335204875073
TCGA-D8-A27E 22.8014002119537 8.87775502044002 3 12.1021056772143 9.9908555623169 11.6915454980732 12.2135580320877 3 3 17.0587815360909 15.6716055452173 9.78476074827182 21.0643416324564 14.8527870554798 12.9115080729759 3 13.7879997006912 11.6554011508767 18.0722569124338 12.3061321516285 14.8690267233027 16.5397676077113 17.1578155963936 21.9481386866255
TCGA-E2-A1IH 9.52938745118407 12.3200641450192 12.0515882877291 10.0056897540558 3 17.0129053375317 12.3073638162927 10.8348266844694 3 19.9016640116012 21.6836009653594 10.7691108679526 17.9299007207495 15.018696897065 14.4871372625307 8.07400327881887 18.4006100735263 15.5091803457617 16.613988988067 13.5601505285143 15.6728423856341 18.5788562151449 19.5921932140536 21.2700709421949
TCGA-A8-A091 3 14.1940304178249 9.98173988139201 3 3 15.9164211903038 12.3819081600999 3 10.0239996582587 17.3267431747661 17.2960848645837 9.91826502273538 14.1805119028497 13.0406681450686 12.3156089893861 3 17.1130205310031 11.9285175614193 17.6286394895248 12.9929859561364 15.4959731474505 18.9186974726507 19.4541046102691 22.3009178460252
TCGA-A2-A04W 3 10.2317901334577 3 3 9.9453359209681 16.6953857459726 11.9616853914251 3 3 15.8253826157222 14.9281380689931 9.42074119891303 14.1634609996685 9.86474672581635 13.2749322673952 7.89122286699457 17.5958908145824 20.0244987909059 12.6600433510822 12.6352895490526 14.6880325498959 17.7878025242965 18.6041599671038 22.8828795633649
TCGA-D8-A1X5 3 11.0608180440829 3 13.0553035368601 3 9.00617987127115 14.314553263144 8.17366918147837 8.68740471264732 13.6032996074145 13.141704166902 8.10952772036189 14.0492253936775 13.5166197508842 9.47763428697316 3 14.8335968497931 15.0940111516177 13.0010595603224 11.0392547194007 14.0520347217915 16.4712086449905 19.014919444864 19.6744325282486
TCGA-BH-A5J0 3 9.58345111498507 13.9115738647551 3 11.6982652112038 21.2394265852936 16.5780937720635 9.25009971190528 3 19.0369451204862 20.619141272172 9.76331269805077 13.2364358989064 13.6588071776944 13.0841315000508 5.82280868408317 17.4529538560277 15.5637739969433 15.3266364001669 13.6435099136858 14.4428644648876 17.8547239988661 18.3637924079502 20.6239783560866
TCGA-A2-A1G1 3 3 9.65199657147196 7.80558907457842 3 19.0862322983906 11.4577776243179 3 3 15.1128374649627 18.4200156590224 3 12.9567015878938 10.8061666575845 11.0727223379213 8.81501803818998 16.8424907909152 17.2008594267406 14.5879722077117 9.81611889195997 14.4970163616299 17.8231299862784 18.7170849863317 22.9085428563305
TCGA-A8-A097 10.5075947628733 12.1219332908899 8.573591291039 8.68673631803932 8.81227531918131 14.4403308980099 16.4841277004994 3 12.3103068602175 16.6552525127333 17.0741387061405 9.2753366941215 13.5470987123373 13.3500639863551 14.4683143903307 5.90179407234979 17.9237514142514 13.6428445416687 16.3351902173197 12.1517655090777 14.4817252783184 17.3552371822492 19.289245156385 21.2553141477801
TCGA-C8-A130 3 14.797620019432 3 9.2301416498412 3 15.9829334269568 17.2065871101979 7.92329110109482 10.9915854186547 15.8544341215183 16.9061769328931 10.1411173348322 12.7216744725238 12.7185892541777 11.3369155128941 3 17.2162440465305 12.9194435240108 14.018280861964 12.2109656006839 14.7975281275054 18.321047740798 18.693657639278 20.7535811378894
