X5473 X5196 X6403 X7066 X22915 X2151 X5265 X64805 X7042 X10125 X7043 X11069 X2149 X2 X7450 X54331 X408 X2791 X5175 X8503 X5154 X351 X5155 X5770 X6915 X5590 X27154 X207 X5908 X801 X998
TCGA-BH-A0HW 8.79620627493218 3 12.0091602805438 3 10.8303232367216 13.9683866527629 14.4890092653543 8.42546238235595 13.514613735161 17.1266363904957 17.3279313892943 14.8124737182569 18.0487246896689 19.5846462418474 17.9982546771495 14.6327375627311 18.451922361455 16.4774931884556 17.7924494599273 15.8308541278585 15.8730010441 22.1673539606094 20.0838928703009 22.7705505894937 14.3669958854551 16.3162430651364 18.2422130832483 18.4167874344729 15.3433194299674 19.8079095558819 20.6445514637321
TCGA-BH-A18S 10.9341267094736 10.1815829706422 14.5363074983882 15.7971081265894 13.7709071047189 13.9056000613898 19.8158757192793 14.9594574244368 14.7732775894864 11.9265622104538 18.1300104641248 16.2919135021116 16.5344844975517 19.8721681714061 17.7737317070481 14.762837733813 16.8864557186536 16.5266677847611 17.7715001653311 16.2760020529295 15.9721521579235 21.9335204875073 17.7858311546198 18.7132126254023 13.1134654093011 15.454185473149 18.6133936863259 18.1862390560455 15.9159944985183 19.0632019991675 20.823002516576
TCGA-D8-A27E 3 9.9908555623169 15.8774133474089 14.9517329479485 13.4775488876578 13.7879997006912 19.9460822569361 13.6982802668024 14.6723128796645 13.0882583043007 19.3908776623031 17.1791864687828 17.1578155963936 20.8591293010029 18.1269402357267 14.7110455430559 18.2346458207402 16.4675919404428 18.2319727916782 16.9767240317885 16.2715779717999 21.9481386866255 17.3654876380546 18.8525703146851 13.94093196569 15.0861321213703 18.0261744377477 18.5321073220957 16.2808368165409 20.1215868467701 20.6415872725747
TCGA-E2-A1IH 12.0515882877291 3 18.2896024248315 16.0651113528806 14.2509094877026 18.4006100735263 18.6312895846909 13.6098782373818 14.9161742562538 16.9417673307385 18.8361761458189 15.8258986740274 19.5921932140536 21.6742189095154 18.2019882574018 17.1949021176884 16.3479496086238 18.9770243926935 19.7186377720182 17.9096075515413 16.6803444331749 21.2700709421949 18.138964206621 18.8167210194814 14.3894128388783 14.8001664870675 17.9461131268931 17.3602928694928 16.6546113389728 19.9525023579274 21.1578112018232
TCGA-A8-A091 9.98173988139201 3 16.1535462504825 16.1564389565585 13.9752723678667 17.1130205310031 17.0918604315549 14.7820025344497 14.1183296696177 15.5017161081575 20.2404454352911 16.1019080469192 19.4541046102691 20.8631060094321 19.2629721818224 15.6162493142996 20.3139903972139 16.8515456800278 18.8236333948595 15.2118354678718 16.7160316493222 22.3009178460252 20.1624191244623 19.435097151838 14.7993001546048 16.2189651467189 18.6994941626759 19.3178210873771 15.5367194654282 20.491519337285 20.5138327914091
TCGA-A2-A04W 3 9.9453359209681 14.1717850982547 13.3992096498611 12.603986081415 17.5958908145824 19.2220428078331 11.1242103819505 16.9034900592731 12.3008317151427 19.010317094902 13.9506605518829 18.6041599671038 21.9859473264592 17.9253718149543 15.1405219132566 15.8003948024683 17.378095896124 18.3741636465338 18.9201465665699 16.4612103376547 22.8828795633649 18.1398317305305 18.5291423718495 15.2869178888701 17.1811046814628 16.5684790119379 19.5896859301675 15.7632182669649 20.3249905147091 20.9733775013518
TCGA-D8-A1X5 3 3 13.2769120583875 17.7315126950881 15.062443481461 14.8335968497931 17.8086231484489 12.225335494553 15.3058547528572 14.850528244106 17.9703441495016 13.8820774031688 19.014919444864 20.9508939251854 18.2267954000603 14.861915720857 19.9706143808981 16.2669250443413 18.6349928992174 16.1835519711617 16.2466644922092 19.6744325282486 17.0967602707767 19.4355560089546 15.2521887648794 15.4187682677004 18.0753661502711 19.0189462649585 15.366579294569 20.2365488836515 20.7080683125066
TCGA-BH-A5J0 13.9115738647551 11.6982652112038 16.3417397051548 14.7029220018417 15.4155130976521 17.4529538560277 20.2805676904316 13.8016104284236 15.5943108521282 16.1506302316187 19.2801689753025 13.7119976798728 18.3637924079502 21.2816367928938 18.7324387720168 15.8217542415279 17.4329012050124 18.399980081025 19.2885522667023 18.1206605555517 16.4705824525854 20.6239783560866 18.4815393606005 18.6457753145544 15.5356841992754 16.8388206153297 17.0559692267991 19.0236391298485 15.3889706855079 20.4457220175046 20.8522805440737
TCGA-A2-A1G1 9.65199657147196 3 14.1192001524856 11.7431824166632 13.652440368038 16.8424907909152 19.0652742519092 13.5819369991637 17.8087300274958 16.1622008301578 18.4605863999047 14.462512795612 18.7170849863317 21.3889136087162 18.1723063366635 15.8951384980923 16.6365382200808 16.6523644673666 18.8793152064472 19.1266812649443 16.242391147592 22.9085428563305 17.7660915687337 18.7982341052628 14.0123271868182 14.6806482138957 16.9991817848966 17.1106440614316 16.6040206331694 20.1011583830785 21.0779968015772
TCGA-A8-A097 8.573591291039 8.81227531918131 15.2419026512118 12.4456440208952 14.1444694700059 17.9237514142514 18.9576265711986 14.2943206737526 17.2304596044593 14.8775385554771 18.5620105255995 14.2426939308324 19.289245156385 20.9566133372042 18.3536344655643 15.9940912592225 16.774657973304 16.8887817744787 18.7269129508589 16.4665599907942 16.7250263090982 21.2553141477801 18.7314530139285 18.6493220396766 13.8633511512102 15.0438865564343 17.8218259637687 17.4784527432378 15.8225387922266 19.6746756643904 20.5599770190111
