X5473 X5196 X6403 X22915 X5265 X7042 X7043 X2 X7450 X5175 X5154 X351 X5155 X27154 X801
TCGA-BH-A0HW 8.79620627493218 3 12.0091602805438 10.8303232367216 14.4890092653543 13.514613735161 17.3279313892943 19.5846462418474 17.9982546771495 17.7924494599273 15.8730010441 22.1673539606094 20.0838928703009 18.2422130832483 19.8079095558819
TCGA-BH-A18S 10.9341267094736 10.1815829706422 14.5363074983882 13.7709071047189 19.8158757192793 14.7732775894864 18.1300104641248 19.8721681714061 17.7737317070481 17.7715001653311 15.9721521579235 21.9335204875073 17.7858311546198 18.6133936863259 19.0632019991675
TCGA-D8-A27E 3 9.9908555623169 15.8774133474089 13.4775488876578 19.9460822569361 14.6723128796645 19.3908776623031 20.8591293010029 18.1269402357267 18.2319727916782 16.2715779717999 21.9481386866255 17.3654876380546 18.0261744377477 20.1215868467701
TCGA-E2-A1IH 12.0515882877291 3 18.2896024248315 14.2509094877026 18.6312895846909 14.9161742562538 18.8361761458189 21.6742189095154 18.2019882574018 19.7186377720182 16.6803444331749 21.2700709421949 18.138964206621 17.9461131268931 19.9525023579274
TCGA-A8-A091 9.98173988139201 3 16.1535462504825 13.9752723678667 17.0918604315549 14.1183296696177 20.2404454352911 20.8631060094321 19.2629721818224 18.8236333948595 16.7160316493222 22.3009178460252 20.1624191244623 18.6994941626759 20.491519337285
TCGA-A2-A04W 3 9.9453359209681 14.1717850982547 12.603986081415 19.2220428078331 16.9034900592731 19.010317094902 21.9859473264592 17.9253718149543 18.3741636465338 16.4612103376547 22.8828795633649 18.1398317305305 16.5684790119379 20.3249905147091
TCGA-D8-A1X5 3 3 13.2769120583875 15.062443481461 17.8086231484489 15.3058547528572 17.9703441495016 20.9508939251854 18.2267954000603 18.6349928992174 16.2466644922092 19.6744325282486 17.0967602707767 18.0753661502711 20.2365488836515
TCGA-BH-A5J0 13.9115738647551 11.6982652112038 16.3417397051548 15.4155130976521 20.2805676904316 15.5943108521282 19.2801689753025 21.2816367928938 18.7324387720168 19.2885522667023 16.4705824525854 20.6239783560866 18.4815393606005 17.0559692267991 20.4457220175046
TCGA-A2-A1G1 9.65199657147196 3 14.1192001524856 13.652440368038 19.0652742519092 17.8087300274958 18.4605863999047 21.3889136087162 18.1723063366635 18.8793152064472 16.242391147592 22.9085428563305 17.7660915687337 16.9991817848966 20.1011583830785
TCGA-A8-A097 8.573591291039 8.81227531918131 15.2419026512118 14.1444694700059 18.9576265711986 17.2304596044593 18.5620105255995 20.9566133372042 18.3536344655643 18.7269129508589 16.7250263090982 21.2553141477801 18.7314530139285 17.8218259637687 19.6746756643904
TCGA-C8-A130 3 3 15.1122117359643 13.8154165339195 16.4792198637885 14.7743684963872 18.1732314128646 21.4638636681875 18.9260542633647 19.2057462928834 16.7601010048874 20.7535811378894 18.4476019312204 17.3123628916481 20.3660937969976
TCGA-A8-A0AD 10.9477030992986 3 13.2606743114364 12.787520795682 18.1517959786106 16.0685485610832 20.1964610189202 20.7049399671488 17.841923540453 18.7596023738164 15.7767490275024 22.1329411809543 17.9723569984787 18.4607938835626 19.6650003230071
TCGA-A2-A0YL 3 3 16.9112284399663 17.0015752564257 17.3307736369229 18.224421458387 19.1288598560336 22.2803445963573 19.0866293637698 19.4447263437439 17.1594101969269 22.4019726525306 17.772875965803 18.0013131059506 19.5861731652433
