X2253 X114 X2264 X111 X2247 X2252 X5136 X196883 X5153 X5575 X57761 X867 X207 X5576 X801 X5566
TCGA-BH-A0HW 7.84847445582232 3 12.5707854075906 12.6852486311008 11.8864055910653 10.645835016372 12.3826920375119 14.4766206207418 11.9141928186665 16.0748031179277 19.9589000258452 15.2235143765567 18.4167874344729 17.4286332536239 19.8079095558819 18.6187042554512
TCGA-BH-A18S 3 11.2656892744342 16.0900440340939 13.8347579408801 19.988728916443 14.5042713800932 13.0705943635003 14.1776554936116 13.5872191202752 14.2085413298883 17.9194160421116 15.7058222318393 18.1862390560455 18.079908292943 19.0632019991675 18.4718681754503
TCGA-D8-A27E 7.81573156675942 10.892073566505 11.7386328790437 15.1541919947944 18.4305609007611 14.2491281743146 12.4641162407888 14.3621378980192 12.2439208363557 15.9525125023995 17.4552562322977 16.4460101247711 18.5321073220957 18.5434744480116 20.1215868467701 18.7199024879425
TCGA-E2-A1IH 3 3 16.3795766835052 13.4849468839542 15.1289137340186 16.2629305560199 14.944395520319 15.6604350895837 14.9355549698791 14.8393389233858 17.9759588956145 16.289564653508 17.3602928694928 17.9865672127818 19.9525023579274 19.3662660399495
TCGA-A8-A091 3 7.70414187409255 18.4585699166342 18.6532768621625 13.1921938005879 13.4154446083606 14.3342674801033 14.9664763999006 13.8213406943921 15.7540953721929 17.6128521278117 16.7016662266489 19.3178210873771 18.0163813168802 20.491519337285 18.6931627950941
TCGA-A2-A04W 3 6.74266179726588 14.1639254545927 14.5410803327678 12.5771543229141 15.1651312617743 13.868521233337 13.7185884315695 14.2199095022757 17.0863724418787 18.7352465244256 15.6801960284529 19.5896859301675 18.248150677142 20.3249905147091 19.33313595392
TCGA-D8-A1X5 3 3 13.9294547788422 18.5542064010153 12.433317804552 14.6935066327776 12.5685945960354 13.5449566906913 13.4168992595068 15.9266726882878 18.3587934052404 15.8099905159098 19.0189462649585 17.9367979797621 20.2365488836515 18.4089870635851
TCGA-BH-A5J0 3 6.52313870618241 15.6442763713569 16.3524270918135 13.5744559281355 15.2043853434049 13.7996898825348 15.1180918774359 14.1261044088835 17.2619243930031 18.7902425149253 14.9564014934014 19.0236391298485 16.9752263497118 20.4457220175046 18.9404763767419
TCGA-A2-A1G1 7.72085214031306 3 14.4673417875524 11.0320622067339 12.7525986064819 14.5329510879324 13.6285510149581 13.8147883873154 13.893825276103 15.3726918791386 19.1261049196075 17.9187220209275 17.1106440614316 18.9465962569149 20.1011583830785 18.871086021287
TCGA-A8-A097 7.62995085948226 7.54653045189876 11.0023561051329 13.8674423848339 13.4596651017157 15.1269566546945 13.730375164369 14.3984313437531 14.0431507655099 14.6066613583801 17.9493590704904 16.2610715766491 17.4784527432378 18.729443525717 19.6746756643904 19.1804551259893
TCGA-C8-A130 9.14337248822027 3 17.0085801804727 13.1566615729758 13.012380034779 13.9540029985247 14.0177362808171 15.5317582755369 14.4605089948037 16.5239026735287 17.3173420635563 15.7190033224277 18.7746904024251 17.4141353464249 20.3660937969976 19.3135360539366
TCGA-A8-A0AD 3 3 14.7205444944655 16.2953745064563 13.389879428016 13.7970507074832 12.623740069911 13.7134765652971 13.9329108795839 16.0189203783188 18.0406900213765 16.8616274316284 18.4882995219545 18.5009033782872 19.6650003230071 18.4846746560628
TCGA-A2-A0YL 3 7.45354325003665 13.183072573942 14.941930210531 15.6542897494858 15.4003578660453 15.1429426781282 15.1414600632413 13.677027788388 16.7605539474322 17.7287599845634 16.8374564686176 18.0181170059042 17.6959511531517 19.5861731652433 18.4920909571929
TCGA-A8-A09G 3 6.8187630498853 20.6698514428989 16.5275317578839 13.250339216307 14.4181173191927 14.071509034436 14.1867559101127 13.9595012745323 15.7508052702237 18.3012120292614 16.0679150210453 19.6438168403384 19.0645350061441 20.2627500592258 18.1983227049013
TCGA-A2-A25E 7.88851126462642 8.37214773696432 14.1753192848064 13.339042320323 13.4386623545965 15.298525339888 13.1997064075238 14.3874474467297 13.2757476038088 16.1662234880544 18.0790118107809 15.6485300380821 17.1616170311389 17.6598883300102 19.7726044896768 18.6980769058058
TCGA-LL-A73Y 3 9.51032375515347 14.0843070244994 13.8441598421685 18.6110781921136 18.0791270322042 14.3210401618411 15.4969738596611 14.1964497020509 16.4538033107946 16.2540817090101 16.5760579120099 17.7983356389775 17.6793010703685 19.8654380842994 18.4368980162612
TCGA-AR-A1AK 3 11.1455136812917 14.5019326687089 17.0149279162968 15.5793225953724 15.762659358803 14.3437149645977 16.4699058142121 14.3614156067075 16.2897451911184 17.841598790085 16.3739154139869 17.8797688545459 17.8564998471057 19.5713693449748 19.1321712210009
TCGA-LL-A740 8.29132048707614 7.24512045384381 16.3474471148353 12.1348217046752 12.4273356641578 14.8153993158743 14.6217518586414 15.2699349083869 13.9986845180526 15.7875718417597 18.1085991492339 16.1183317717193 18.9771189358539 18.4054958885003 20.1788145643735 18.279773402801
TCGA-A7-A425 10.6504309169377 8.58653319522621 14.615370264417 15.5837121266708 15.0536898068904 14.6949909084487 13.4031694055608 16.3113275299364 15.6385787351894 17.1774874870685 18.530967468574 15.6099931443286 18.9202761873885 17.6932213560824 19.2354793129539 18.4199934561384
TCGA-AN-A0XO 7.80243440155259 5.87427915478252 14.1766517201506 14.5426317839924 12.3750705675448 14.9936290413152 13.3538083444669 13.1223798136542 13.1367176948574 15.8995880050486 18.0555731803488 16.5152978059776 19.2170342049203 18.5289924392934 19.8554745057299 18.5581792941473
TCGA-AC-A3W7 7.78387113385947 6.75454584410486 15.2919007445289 16.558081497796 14.4816929997106 14.3704108057857 14.3405766694867 15.6656379865368 14.0284124094067 17.0882612912488 18.6169112057138 16.3068873281736 19.3527273644559 17.983887795679 19.4184787970421 18.6360652958727
