X60482 X2558 X496 X359 X57818 X89872 X114 X26154 X153201 X477 X6521 X111 X2561 X51761 X554 X10350 X368 X57030 X11136 X23460 X55630 X9429 X64116 X6578 X10057 X196883 X3162 X3099 X126969 X54331 X5575 X2791 X5825 X65010 X84679 X2512 X6560 X54407 X23446 X8480 X9818 X6548 X5576 X5903 X374868 X7355 X148867 X55746 X5566
TCGA-BH-A0HW 7.56371081231636 6.37748194493352 3 3 8.26514078482337 3 3 11.6837775857849 3 15.9178731536525 11.6684831548988 12.6852486311008 9.92988357477101 12.8727556713025 9.94742411366225 9.75129670516997 10.4206664835778 8.72546573611344 12.7437504193556 9.18361629934196 17.4698747233191 15.6235714875374 15.2662788184281 16.3349851740103 16.3615408854072 14.4766206207418 18.3025308226455 19.9952403547774 15.9628721487301 14.6327375627311 16.0748031179277 16.4774931884556 18.3900591040724 16.0498904455547 16.3920176745965 23.8775082679355 16.1817815550596 21.118522624395 19.1295036391306 17.4690085941666 17.6411322499555 18.8440207633083 17.4286332536239 17.5156455349512 15.2840152151872 17.9973882496195 16.2388061416857 17.6823584371702 18.6187042554512
TCGA-BH-A18S 8.1168134483642 6.52119947162975 3 10.5936336408549 9.62244713811788 7.32163967315058 11.2656892744342 13.0746412426353 7.42131646364459 13.0480883779163 6.20712353341307 13.8347579408801 10.652763253815 13.0134037800034 11.291153433544 10.5816736480039 14.5709039882863 9.4576174844767 10.078101752827 10.7367030783906 15.11876132927 15.2730412815244 15.9196001539698 16.3341839467081 16.294555511121 14.1776554936116 18.3049341727939 19.4221144136607 18.4497253296273 14.762837733813 14.2085413298883 16.5266677847611 18.6485992669831 15.5652866453412 16.7497409550427 24.9497750064008 16.056972515139 18.4015008656616 19.5627856775477 17.4496946499318 17.7572983315015 18.5660031748953 18.079908292943 18.3028470248867 15.2841585831732 18.5816602208206 17.4234535675773 18.9256552677442 18.4718681754503
TCGA-D8-A27E 7.5312277583221 3 3 9.85899706229156 8.23209914189541 3 10.892073566505 12.9726070632303 3 13.3397753766909 7.8988275838117 15.1541919947944 9.46980316284427 9.83835661305353 12.3061321516285 11.5234098934796 10.9544310532933 8.85900159487299 11.2020778380933 11.352540138171 15.6143869208546 15.9188649955837 19.771716383961 16.9229565523901 16.0029095254466 14.3621378980192 18.3578625761461 19.2337441268072 17.2541958650535 14.7110455430559 15.9525125023995 16.4675919404428 18.9311048750307 15.4491963710542 17.7239324341396 24.116855175067 16.2736119691761 19.4306342718854 18.8720515967868 17.0097075754918 17.2783996689914 18.604711730387 18.5434744480116 18.7827853681837 15.4350211021299 18.0383877851099 17.0195946460649 18.218147869932 18.7199024879425
TCGA-E2-A1IH 10.3561117980046 9.67655697248847 3 3 10.3449648060474 3 3 15.9090617249874 3 12.1854867584502 8.03712948563097 13.4849468839542 12.9870520979552 12.1666258677477 13.5601505285143 13.0807705039539 11.6097424835058 12.438309750475 11.8286426185377 13.7478898599948 16.5494881281048 15.4238916462842 16.8601921713001 18.1880873988125 17.2419299242592 15.6604350895837 19.6357377948914 17.3114432381562 16.3523053403046 17.1949021176884 14.8393389233858 18.9770243926935 17.493607613058 15.5640006155353 16.7962977992053 26.336938621309 16.1925343796456 19.8559340624015 18.9488839046098 17.6458396913871 17.1485442157313 18.2543088453821 17.9865672127818 17.8238642625924 14.7372206237903 17.9195435272496 17.1855876210676 18.5497636390888 19.3662660399495
TCGA-A8-A091 5.76184534706041 8.68255353074868 8.93666858142855 7.44794523053921 9.85495609936864 3 7.70414187409255 14.5090636163456 6.90885865800036 14.9576079584376 7.87097542514275 18.6532768621625 12.0816270176261 13.3292183611769 12.9929859561364 12.8504112066938 11.6731761644144 10.1309325603164 11.4827213892463 12.5234056362485 17.5296146800619 15.3142240984733 16.1450771849017 17.345926421112 16.4487153839059 14.9664763999006 19.5240541766566 21.0219803956558 14.9958476679042 15.6162493142996 15.7540953721929 16.8515456800278 19.2404423407811 15.1440637672984 16.5488277749346 24.7362876868266 15.2325729597197 20.071788784284 18.3540335107989 19.2348026071017 17.3737345324077 18.7997863770547 18.0163813168802 18.2689664933712 15.8095510021677 17.8142682108464 16.5707456689888 17.9996943868277 18.6931627950941
TCGA-A2-A04W 3 9.97060517880775 9.64729268433782 10.8070850244996 9.5775314396705 8.05369955669633 6.74266179726588 15.9471186558686 7.19531567278935 10.879376666952 3 14.5410803327678 11.3801753385828 11.916063878265 12.6352895490526 12.4756254507378 12.8441662147955 12.2928446454042 10.1613978650956 12.3742304883134 17.2302098799133 13.0798933303342 16.5229556053594 18.6357845172895 16.382811634487 13.7185884315695 18.3975797195681 19.1458382480524 17.4016829906144 15.1405219132566 17.0863724418787 17.378095896124 18.0733696359936 15.1270092620858 17.0663385505347 26.2691190007156 17.9527657693476 19.6340126469574 17.6014702832907 17.3457268388561 16.6151055372175 19.9550690729789 18.248150677142 18.4117642962602 15.0596148025189 20.1046267494391 18.7081614725173 17.8660353198253 19.33313595392
TCGA-D8-A1X5 10.0954669819417 9.15730571926337 9.89329800596846 6.86600973884062 3 3 3 16.2474249711708 6.87918829034747 6.36222322144984 3 18.5542064010153 11.6383936379851 10.7436063405183 11.0392547194007 12.1877567942436 15.6079830207986 10.4595821213507 10.8209986416916 12.6183826005229 16.8590014814858 13.5356195002846 17.6355762498358 15.462774048768 19.5799586238789 13.5449566906913 19.4544697538598 19.259906895843 17.8358588187323 14.861915720857 15.9266726882878 16.2669250443413 20.4777041533588 15.8106190960944 16.8749738594047 25.3822190138658 16.6856908224773 19.5799586466779 18.4771639466283 18.6090364808715 17.0354246621851 18.0742745549753 17.9367979797621 18.0123724596438 15.0331195203611 19.0592546397225 18.4253455947417 19.0398477949672 18.4089870635851
TCGA-BH-A5J0 3 7.96001904191844 3 7.91019092323369 7.39386407903532 8.7969856190157 6.52313870618241 11.7799737717572 7.92386693252898 12.7236127975095 6.68198474482446 16.3524270918135 12.2768758376892 12.5999049036498 13.6435099136858 12.4498616575546 14.7535343132524 12.4258165095009 12.9495739558472 12.7008994785093 16.0976336754584 11.9782840883133 16.3254808471563 16.7448207675355 17.7911678677576 15.1180918774359 20.272184888402 17.6133428123963 17.0431354821032 15.8217542415279 17.2619243930031 18.399980081025 17.9272784528803 15.8172359181101 16.6188371353218 27.0528841278089 17.1137847760198 18.8134362991588 18.2292301960387 17.7725909491792 15.3740223436717 19.1251331088974 16.9752263497118 17.0613464733736 14.5271864875867 19.0360295296848 16.4974612975598 17.850220773105 18.9404763767419
TCGA-A2-A1G1 3 11.8835105967048 3 7.13228788851386 3 3 3 13.2280222622563 6.22492071969651 9.68273751110718 6.85449673559101 11.0320622067339 10.9247897375945 12.418968509762 9.81611889195997 11.9756536525204 11.3894545631375 10.0996286473193 11.3048793265965 12.4875912206185 16.1088966204923 13.1812282916551 17.6134248240916 18.4354832424003 16.0955115651841 13.8147883873154 18.5683859727671 19.2065244305649 17.4193816448062 15.8951384980923 15.3726918791386 16.6523644673666 18.005271589219 15.5357903371051 19.0271435562639 25.3928185345386 15.9782934083754 19.7864677877767 18.1305172626758 17.7141356659899 18.0959742631537 18.2690736442438 18.9465962569149 19.1923424281491 15.2974493706102 18.5910803452217 17.6532047981759 17.6736993316991 18.871086021287
TCGA-A8-A097 3 6.17391560676132 3 6.12820278461735 3 7.91114591673316 7.54653045189876 16.9743471580003 7.05653860955424 11.8501691402918 9.8391215718512 13.8674423848339 12.8205187169657 13.3833830176928 12.1517655090777 13.0079067741858 15.5344281451118 12.2148019120377 11.8146345313622 13.3167741370599 14.9373925286289 13.7249673190489 17.2299636692013 16.9563586311008 18.2695290675147 14.3984313437531 18.3882440994272 17.8077751398828 17.8342602266135 15.9940912592225 14.6066613583801 16.8887817744787 18.339543080088 16.4410728189916 17.3283355992124 25.4966810272778 17.1138516222735 20.3526860365052 18.7661917032765 17.6054348178191 17.2344894222946 18.2700665470401 18.729443525717 18.1226292373355 15.1633826200473 18.5774667967625 17.9720198646069 18.480781766611 19.1804551259893
